frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.392800,0.695760,1.329892,0.658701,0.923284,0.007841,0.014097,0.007841,0.008594,0
17,0.300006,1.068600,0.673120,1.324152,0.658211,0.923284,0.008717,0.014149,0.008717,0.009497,0
18,0.316673,1.161200,0.689800,1.347898,0.665809,0.922549,0.008424,0.013594,0.008424,0.009236,0
19,0.333340,1.046100,0.671080,1.333724,0.664951,0.925735,0.010243,0.016858,0.010243,0.011250,0
20,0.350007,1.627700,0.692360,1.338948,0.659069,0.926961,0.010141,0.016424,0.010141,0.012622,0
21,0.366674,1.096400,0.672160,1.354086,0.668750,0.929779,0.009959,0.018264,0.009959,0.012083,0
22,0.383341,1.155900,0.764200,1.349573,0.671936,0.933211,0.009333,0.016823,0.009333,0.011753,0
23,0.400008,1.200100,0.673240,1.292378,0.674877,0.943505,0.010010,0.018819,0.010010,0.010937,0
24,0.416675,1.148000,0.698200,1.393870,0.671814,0.940196,0.009209,0.018490,0.009209,0.010486,0
25,0.433342,1.076100,0.680280,1.399988,0.678064,0.942279,0.009323,0.017483,0.009323,0.010729,0
26,0.450009,1.618200,0.727320,1.459241,0.677083,0.940931,0.008206,0.019392,0.008206,0.007899,0
27,0.466676,1.127900,0.697920,1.451460,0.681127,0.944485,0.008829,0.017812,0.008829,0.007309,0
28,0.483343,1.148200,0.727400,1.408011,0.669363,0.941054,0.008852,0.018733,0.008852,0.006875,0
29,0.500010,1.066400,0.674520,1.407183,0.687377,0.946201,0.008254,0.017691,0.008254,0.005972,0
30,0.516677,1.483100,0.681440,1.563114,0.678064,0.941912,0.009084,0.018073,0.009084,0.006007,0
31,0.533344,1.162300,0.670800,1.659156,0.682598,0.937132,0.010413,0.020382,0.010413,0.007326,0
32,0.550011,1.096700,0.687000,1.679913,0.681250,0.932598,0.012691,0.034392,0.012691,0.007361,0
33,0.566678,1.106000,0.698640,1.703659,0.679534,0.934926,0.013943,0.038594,0.013943,0.009167,0
34,0.583345,1.194500,0.712680,1.810817,0.680392,0.931127,0.014886,0.043351,0.014886,0.011580,0
35,0.600012,1.127400,0.669600,1.904941,0.683946,0.933088,0.014967,0.041354,0.014967,0.011875,0
36,0.616679,1.279900,0.684960,1.974491,0.677083,0.928186,0.015652,0.043559,0.015652,0.014201,0
37,0.633346,1.100800,0.676280,2.400450,0.665319,0.907843,0.015112,0.042847,0.015112,0.014097,0
38,0.650013,1.325600,0.683840,2.496647,0.658333,0.912990,0.015436,0.043073,0.015436,0.016285,0
39,0.666680,1.072400,0.673720,2.790478,0.656740,0.903554,0.015849,0.043715,0.015849,0.015781,0
40,0.683347,1.112800,0.768120,3.614342,0.651471,0.903676,0.015693,0.041632,0.015693,0.016215,0
41,0.700014,1.260900,0.674840,4.290821,0.637868,0.890441,0.014645,0.036979,0.014645,0.011233,0
42,0.716681,1.213600,0.694440,4.860836,0.628186,0.874877,0.014142,0.037257,0.014142,0.009063,0
43,0.733348,1.297800,0.674080,4.495170,0.600735,0.853309,0.015949,0.041823,0.015949,0.010729,0
44,0.750015,1.277100,0.742960,7.353916,0.579657,0.830392,0.016566,0.044844,0.016566,0.012396,0
45,0.766682,1.158200,0.685480,12.006803,0.575245,0.813848,0.018059,0.051649,0.018059,0.019497,0
46,0.783349,1.337600,0.792080,20.889708,0.520098,0.739338,0.025939,0.095972,0.025939,0.013837,0
47,0.800016,1.156400,0.692240,15.871379,0.536520,0.754167,0.038127,0.118628,0.038127,0.031788,0
48,0.816683,1.199300,0.703800,20.318769,0.498162,0.703799,0.015831,0.032361,0.015831,0.013142,0
49,0.833350,1.218700,0.677000,11.413679,0.533701,0.751593,0.014817,0.032969,0.014817,0.010608,0
50,0.850017,1.242800,0.771080,11.286249,0.526961,0.730760,0.014726,0.036111,0.014726,0.007743,0
51,0.866684,1.228000,0.681360,20.394641,0.481740,0.677696,0.015131,0.042049,0.015131,0.007674,0
52,0.883351,2.249200,0.685320,28.785977,0.449020,0.623775,0.016429,0.048333,0.016429,0.004826,0
53,0.900018,1.392300,0.673480,32.036814,0.416912,0.607108,0.044495,0.106458,0.044495,0.045538,0
54,0.916685,1.074900,0.710480,27.560349,0.396936,0.614461,0.053395,0.107222,0.053395,0.073108,0
55,0.933352,1.200800,0.809280,24.816269,0.374142,0.596691,0.100515,0.288542,0.100515,0.047899,0
56,0.950019,1.138400,0.683240,33.299090,0.322794,0.542034,0.095806,0.304167,0.095806,0.070486,0
57,0.966686,1.407500,0.719600,26.314402,0.312010,0.564338,0.124275,0.338542,0.124275,0.108628,0
58,0.983353,1.057300,0.642800,31.365575,0.274020,0.523407,0.159288,0.272361,0.159288,0.196302,0
59,1.000020,1.228900,0.727240,29.824632,0.269118,0.503309,0.122836,0.296128,0.122836,0.102483,0
60,1.016687,1.315600,0.635120,32.334110,0.264951,0.496691,0.134414,0.274097,0.134414,0.121771,0
61,1.033354,1.348800,0.774560,35.081621,0.250123,0.498897,0.112263,0.234583,0.112263,0.124670,0
62,1.050021,1.218200,0.634640,29.117092,0.266176,0.512990,0.096601,0.309844,0.096601,0.077274,0
63,1.066688,1.238400,0.637120,30.199256,0.329657,0.611887,0.106570,0.284514,0.106570,0.094045,0
64,1.083355,1.107800,0.629960,24.835001,0.393995,0.676961,0.102081,0.205642,0.102081,0.085104,0
65,1.100022,1.209800,0.653400,16.494494,0.498162,0.751838,0.087380,0.181059,0.087380,0.074931,0
66,1.116689,1.088500,0.664320,15.408593,0.539461,0.775613,0.090961,0.368368,0.090961,0.053611,0
67,1.133356,1.345000,0.786760,10.627950,0.578799,0.802819,0.101644,0.265278,0.101644,0.094670,0
68,1.150023,1.258800,0.686360,8.710465,0.615809,0.846201,0.094425,0.278611,0.094425,0.017500,0
69,1.166690,1.498900,0.676200,4.347227,0.677941,0.906740,0.056572,0.252292,0.056572,0.013594,0
70,1.183357,1.069700,0.674560,1.112905,0.721814,0.957966,0.043465,0.154688,0.043465,0.008368,0
71,1.200024,1.180500,0.687160,1.036122,0.731127,0.962990,0.042027,0.155365,0.042027,0.009149,0
72,1.216691,1.076200,0.664000,0.949003,0.733211,0.965931,0.013756,0.040677,0.013756,0.008021,0
73,1.233358,1.379900,0.673400,0.935301,0.741054,0.964093,0.012890,0.031163,0.012890,0.009097,0
74,1.250025,1.097800,0.669000,0.854669,0.738235,0.970833,0.012209,0.028733,0.012209,0.007865,0
75,1.266692,1.176900,0.712280,0.885339,0.735662,0.968995,0.010795,0.026892,0.010795,0.008594,0
76,1.283359,1.019800,0.669120,0.928003,0.724142,0.963725,0.010882,0.029201,0.010882,0.006528,0
77,1.300026,1.431300,0.679760,0.885353,0.718627,0.968260,0.011574,0.027361,0.011574,0.006962,0
78,1.316693,1.162600,0.675360,0.869427,0.723897,0.972304,0.010679,0.027292,0.010679,0.006632,0
79,1.333360,1.260800,0.788840,0.902272,0.712132,0.965564,0.010507,0.026476,0.010507,0.006806,0
80,1.350027,1.177400,0.674840,0.906848,0.705147,0.966299,0.008881,0.019705,0.008881,0.007569,0
81,1.366694,1.153000,0.696040,0.923577,0.700735,0.962868,0.009182,0.016267,0.009182,0.006944,0
82,1.383361,1.396000,0.682040,0.908613,0.704412,0.963235,0.009504,0.019184,0.009504,0.007326,0
83,1.400028,1.220900,0.744320,0.943014,0.705515,0.959436,0.008980,0.015885,0.008980,0.005538,0
84,1.416695,1.297500,0.697440,0.940359,0.711029,0.962745,0.009192,0.017170,0.009192,0.008177,0
85,1.433362,1.210300,0.794880,0.951356,0.716789,0.957598,0.007913,0.014253,0.007913,0.006910,0
86,1.450029,1.122500,0.688000,0.944589,0.722549,0.962623,0.008054,0.014722,0.008054,0.006233,0
87,1.466696,1.247200,0.694000,0.939627,0.727206,0.963971,0.007940,0.013368,0.007940,0.007135,0
88,1.483363,1.125900,0.673800,0.951300,0.725490,0.960172,0.007847,0.014063,0.007847,0.006198,0
89,1.500030,1.190500,0.796080,0.954115,0.725858,0.955637,0.008098,0.015122,0.008098,0.006840,0
90,1.516697,1.261600,0.685560,0.953645,0.723652,0.959559,0.008358,0.015139,0.008358,0.005816,0
91,1.533364,1.241700,0.690080,0.952425,0.734559,0.956250,0.008850,0.015278,0.008850,0.006215,0
92,1.550031,1.186100,0.705720,0.945623,0.745833,0.957843,0.007475,0.014722,0.007475,0.006510,0
93,1.566698,1.205600,0.703520,0.932141,0.752451,0.963235,0.008111,0.015278,0.008111,0.007587,0
94,1.583365,1.846500,0.673200,0.954511,0.731863,0.958088,0.006794,0.014115,0.006794,0.005191,0
95,1.600032,1.090800,0.691400,0.949427,0.715931,0.961397,0.006962,0.013802,0.006962,0.005399,0
96,1.616699,1.358500,0.833960,0.947291,0.712868,0.965074,0.007635,0.014601,0.007635,0.006111,0
97,1.633366,1.057800,0.726840,0.979339,0.721814,0.956373,0.007033,0.014236,0.007033,0.004861,0
98,1.650033,1.388700,0.786800,0.979751,0.731250,0.959069,0.006917,0.014340,0.006917,0.004774,0
99,1.666700,1.134100,0.685080,0.984347,0.737010,0.958088,0.006688,0.013785,0.006688,0.006059,0
100,1.683367,1.302200,0.739240,1.013881,0.722426,0.950245,0.007353,0.014392,0.007353,0.006146,0
101,1.700034,1.122800,0.670200,1.036460,0.708333,0.947794,0.006933,0.014045,0.006933,0.005417,0
102,1.716701,1.215400,0.684200,1.034747,0.708211,0.950980,0.006929,0.013524,0.006929,0.004549,0
