frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
30,0.516668,1.413900,0.824520,1.461939,0.673652,0.935294,0.009062,0.018108,0.009062,0.005660,0
31,0.533334,1.008500,0.588320,1.594467,0.676961,0.930147,0.010467,0.020590,0.010467,0.007483,0
32,0.550001,1.077600,0.707480,1.668733,0.676593,0.926471,0.012544,0.033924,0.012544,0.007465,0
33,0.566668,0.984100,0.583200,1.775109,0.670711,0.924510,0.014016,0.038628,0.014016,0.009253,0
34,0.583334,1.150300,0.593320,1.846746,0.668873,0.916789,0.014838,0.043559,0.014838,0.011615,0
35,0.600001,1.053100,0.596360,1.988085,0.674877,0.919975,0.014971,0.041372,0.014971,0.011788,0
36,0.616668,1.179400,0.641320,1.825597,0.674265,0.924510,0.015770,0.043889,0.015770,0.014306,0
37,0.633335,1.016500,0.591440,2.229000,0.663603,0.903922,0.015068,0.042448,0.015068,0.013924,0
38,0.650001,1.160400,0.726800,2.488905,0.636397,0.888235,0.015305,0.042396,0.015305,0.016250,0
39,0.666668,1.158300,0.605120,3.399073,0.617402,0.851471,0.015953,0.044514,0.015953,0.015885,0
40,0.683335,1.206800,0.717200,3.875304,0.614828,0.858701,0.015639,0.041840,0.015639,0.016198,0
41,0.700001,0.998700,0.593680,4.669938,0.595466,0.839093,0.014678,0.036788,0.014678,0.011146,0
42,0.716668,1.383100,0.752720,5.820587,0.576961,0.813235,0.014205,0.037274,0.014205,0.009184,0
43,0.733335,1.122900,0.606040,6.652668,0.543627,0.774510,0.015920,0.041562,0.015920,0.010885,0
44,0.750002,1.287100,0.678120,8.478840,0.528554,0.758456,0.016422,0.045052,0.016422,0.012413,0
45,0.766668,1.070300,0.620000,12.105744,0.539338,0.763235,0.018167,0.051632,0.018167,0.019340,0
46,0.783335,1.118600,0.669280,19.091036,0.500123,0.702696,0.025961,0.096024,0.025961,0.013802,0
47,0.800002,1.054000,0.609120,15.099073,0.512132,0.714093,0.038100,0.118681,0.038100,0.032049,0
48,0.816668,1.200000,0.731080,12.396796,0.489461,0.686152,0.015905,0.032587,0.015905,0.013142,0
49,0.833335,1.134800,0.610800,13.291896,0.481373,0.662623,0.014743,0.033125,0.014743,0.010712,0
50,0.850002,1.246900,0.628360,16.900101,0.461152,0.639216,0.014801,0.036111,0.014801,0.008056,0
51,0.866668,1.009800,0.609880,28.887114,0.423284,0.589216,0.015085,0.042292,0.015085,0.007691,0
52,0.883335,2.128500,0.689160,33.367740,0.389583,0.535662,0.016348,0.047865,0.016348,0.004705,0
53,0.900002,1.067000,0.596840,63.217907,0.353676,0.489951,0.044446,0.106406,0.044446,0.045625,0
54,0.916669,1.112100,0.640280,46.760278,0.349387,0.527696,0.053399,0.107361,0.053399,0.072986,0
55,0.933335,0.964000,0.579440,29.950776,0.336765,0.533211,0.100505,0.288750,0.100505,0.047812,0
56,0.950002,1.082600,0.684120,32.536507,0.323775,0.543015,0.095770,0.303976,0.095770,0.070365,0
57,0.966669,0.967600,0.555640,25.708256,0.312010,0.560049,0.124263,0.338437,0.124263,0.108767,0
58,0.983335,1.290900,0.640280,36.819113,0.271201,0.516667,0.159269,0.272587,0.159269,0.196441,0
59,1.000002,0.923600,0.546360,32.822255,0.267157,0.502696,0.122803,0.296181,0.122803,0.102274,0
60,1.016669,1.181900,0.613880,32.393397,0.260907,0.487132,0.134383,0.274375,0.134383,0.121128,0
61,1.033335,1.012400,0.556360,37.023925,0.238725,0.479779,0.112274,0.234878,0.112274,0.124809,0
62,1.050002,1.416600,0.626520,31.248466,0.255760,0.490686,0.096748,0.309861,0.096748,0.076927,0
63,1.066669,0.968200,0.543880,31.554290,0.324142,0.597304,0.106568,0.284566,0.106568,0.093924,0
64,1.083336,1.030200,0.624160,22.686842,0.394730,0.675368,0.102186,0.205885,0.102186,0.085503,0
