frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.566666,4.553900,0.456880,37.183217,0.962195,36.980561,36.607379
17,0.599999,4.165400,0.467000,37.461270,0.963753,37.708097,37.196636
18,0.633333,4.754000,0.747560,37.468369,0.963597,37.209838,36.948146
19,0.666666,4.185700,0.454160,37.288744,0.963563,38.058821,37.616561
20,0.699999,4.460100,0.559880,37.488803,0.964915,36.886112,36.597765
21,0.733333,4.036200,0.460800,37.572176,0.966116,37.923913,37.111711
22,0.766666,4.595500,0.499560,37.454445,0.966792,36.924453,36.537961
23,0.799999,4.415200,0.454680,37.592591,0.969442,37.461491,36.561031
24,0.833333,4.421000,0.474680,37.431048,0.969519,35.506216,35.259682
25,0.866666,4.428400,0.452920,37.681348,0.971217,35.970259,35.679615
26,0.899999,4.007000,0.505120,37.616529,0.971993,28.565803,28.580119
27,0.933332,4.064700,0.456800,36.757331,0.965934,17.604109,17.589921
28,0.966666,4.059800,0.461560,37.549257,0.973889,17.233712,17.214463
29,0.999999,4.209200,0.405320,37.642109,0.980909,21.756115,21.722499
30,1.033332,4.479400,0.414200,38.084589,0.980797,22.788375,22.728268
31,1.066666,3.879300,0.385960,36.096091,0.953481,18.189119,18.178471
32,1.099999,4.542600,0.444440,32.800459,0.931996,17.521956,17.505926
33,1.133332,3.975800,0.412120,33.268991,0.935619,21.353785,21.486046
34,1.166666,4.366300,0.462640,33.503983,0.935171,23.421806,23.426900
35,1.199999,3.843200,0.437880,33.521392,0.934294,29.811410,29.553103
36,1.233332,4.103600,0.504080,33.466945,0.932082,30.381168,30.045525
37,1.266665,4.042800,0.436640,33.435902,0.931647,30.883404,30.446075
38,1.299999,4.362300,0.566000,33.479475,0.932135,31.273392,30.798502
39,1.333332,3.849300,0.452560,33.468063,0.931638,31.469977,31.046285
40,1.366665,5.209400,0.624040,33.520040,0.931434,31.597176,31.147142
41,1.399999,4.096400,0.459880,33.657377,0.932421,31.631078,31.206734
42,1.433332,4.556000,0.495000,33.681945,0.931971,32.077281,31.622478
43,1.466665,3.938700,0.443920,33.685050,0.931211,32.140427,31.686658
