frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.141666,4.348600,0.484360,36.516451,0.952392,37.337876,36.916123
17,0.149999,4.029800,0.469840,36.613384,0.952815,37.435172,37.033034
18,0.158333,4.402300,0.502760,36.597073,0.952929,37.486887,37.032273
19,0.166666,4.027400,0.472760,36.674284,0.954545,37.808524,37.278603
20,0.174999,3.943700,0.568560,36.791995,0.955146,37.696779,37.183550
21,0.183333,4.045200,0.492560,36.736434,0.954429,38.173878,37.637101
22,0.191666,4.218400,0.465320,36.750947,0.955201,38.284169,37.743049
23,0.199999,4.306100,0.480040,36.711796,0.954924,38.919918,38.280226
24,0.208332,4.017000,0.464240,36.862965,0.954943,38.600435,38.112605
25,0.216666,4.616600,0.482680,36.785435,0.953663,38.772196,38.260015
26,0.224999,4.453200,0.464680,36.776217,0.953685,38.645346,38.221617
27,0.233332,4.135400,0.480800,36.863508,0.954554,39.137740,38.564027
28,0.241666,4.090700,0.463400,36.953679,0.956377,38.892471,38.374814
29,0.249999,4.246600,0.478280,36.837706,0.955710,39.285480,38.673629
30,0.258332,3.928000,0.467320,36.958255,0.955924,39.268506,38.628378
31,0.266666,4.119400,0.480560,36.847118,0.955660,39.480315,38.772760
32,0.274999,4.112100,0.464960,36.872652,0.955846,39.144674,38.502995
33,0.283332,4.230900,0.515760,36.940601,0.955863,39.541412,38.883057
34,0.291665,4.116600,0.477880,36.858832,0.954924,39.266052,38.669548
35,0.299999,4.296800,0.570720,36.964232,0.955468,39.657189,38.981872
36,0.308332,4.346600,0.480520,36.976661,0.955515,39.651395,39.025062
37,0.316665,4.538900,0.582480,37.073077,0.956792,40.014790,39.209448
38,0.324999,4.151400,0.471040,37.026109,0.957077,39.723360,39.069028
39,0.333332,5.329600,0.540640,36.963366,0.956642,40.170990,39.425934
40,0.341665,4.639500,0.466880,37.104831,0.957256,39.855439,39.164734
41,0.349999,4.171000,0.480560,37.147883,0.957527,40.342048,39.481097
42,0.358332,4.483200,0.560880,37.092222,0.957319,39.663679,38.989502
43,0.366665,4.167500,0.470320,37.062627,0.956449,40.076134,39.263705
44,0.374998,4.421300,0.605760,37.110715,0.956828,39.854732,39.246158
45,0.383332,4.294100,0.468600,37.095095,0.957323,40.483055,39.789991
46,0.391665,4.426600,0.484000,37.282589,0.958837,40.456753,39.664598
47,0.399998,4.376700,0.465680,37.200380,0.958496,41.026564,40.148112
48,0.408332,4.199900,0.480280,37.280103,0.958872,41.142757,40.298351
49,0.416665,4.551100,0.467080,37.180725,0.958481,41.205465,40.210741
50,0.424998,4.299300,0.476640,37.178284,0.958377,40.486334,39.858193
51,0.433332,4.587600,0.470720,37.248798,0.958710,41.131175,40.274145
52,0.441665,4.435200,0.486320,37.197935,0.958149,40.774792,39.924529
53,0.449998,4.388400,0.540680,37.314801,0.958932,40.895577,40.111708
54,0.458331,4.400400,0.468280,37.277546,0.958798,40.626068,39.803478
55,0.466665,4.503400,0.545640,37.361128,0.959788,40.928188,40.033357
56,0.474998,4.707600,0.470640,37.301102,0.960025,40.668900,39.921276
57,0.483331,4.236200,0.481880,37.293783,0.960127,41.019897,40.163258
58,0.491665,4.541200,0.561840,37.358800,0.960442,40.746017,40.053294
