frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283334,4.262100,0.364680,36.809443,0.953854,40.486491,37.247199
17,0.300001,3.901100,0.369440,36.789588,0.954327,41.365979,37.521617
18,0.316667,4.338900,0.426960,36.927622,0.954626,41.224318,37.724435
19,0.333334,3.967100,0.355760,37.096106,0.955600,41.951929,38.057135
20,0.350001,3.957600,0.387120,37.199325,0.956547,41.089125,37.867219
21,0.366667,4.012700,0.365000,37.082221,0.956432,42.472182,38.309670
22,0.383334,4.028200,0.346840,37.195238,0.957309,42.003674,38.294493
23,0.400001,4.178000,0.364160,37.312553,0.958127,43.257406,38.943522
24,0.416667,4.051100,0.346600,37.366533,0.958539,41.736179,38.512662
25,0.433334,4.264500,0.366960,37.328465,0.958599,43.216188,38.959646
26,0.450001,4.070600,0.354280,37.322997,0.959175,42.748213,38.595491
27,0.466668,4.417900,0.359760,37.495153,0.959999,43.011772,38.789476
28,0.483334,4.089100,0.361280,37.316235,0.960430,42.382189,38.352716
29,0.500001,4.421500,0.574120,37.480276,0.961168,43.089950,38.990879
30,0.516668,4.399900,0.365760,37.603417,0.962032,43.087846,38.975737
31,0.533334,4.404300,0.364680,37.407635,0.961673,43.177114,39.031456
32,0.550001,4.189100,0.343560,37.459827,0.962337,41.208581,38.068813
33,0.566668,4.197400,0.366200,37.363131,0.962581,42.765775,38.513116
34,0.583334,4.260400,0.353400,37.321269,0.962831,41.838516,37.896693
35,0.600001,4.068600,0.374560,37.404003,0.963605,43.099654,38.537304
36,0.616668,4.404000,0.356040,37.426032,0.963708,42.901340,38.500745
37,0.633335,4.327200,0.365680,37.682357,0.964932,43.197495,38.926732
38,0.650001,4.571800,0.573960,37.704660,0.965561,41.821480,38.301608
39,0.666668,4.139800,0.371480,37.531784,0.965538,43.564328,38.893391
40,0.683335,4.387000,0.395520,37.730024,0.966260,42.506975,38.420537
41,0.700001,5.336500,0.365520,37.550756,0.966688,43.352124,38.913256
42,0.716668,4.196300,0.377880,37.583467,0.967320,41.233594,37.690218
43,0.733335,4.696400,0.368440,37.342195,0.967182,42.928867,38.278373
44,0.750002,4.358000,0.365360,37.478877,0.967831,41.711652,37.671497
45,0.766668,4.122100,0.377880,37.571706,0.968840,42.873733,38.110613
46,0.783335,4.413100,0.354000,37.347735,0.969084,41.205031,37.252671
47,0.800002,4.391600,0.390560,37.486413,0.970034,41.511550,37.664474
48,0.816668,4.162200,0.368440,37.496855,0.970667,40.895736,37.207319
49,0.833335,4.269000,0.373080,37.250838,0.970520,40.651796,37.331745
50,0.850002,4.566200,0.348800,37.556107,0.971448,38.986371,36.423079
