frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.040200,0.459400,37.072222,0.957416,37.979438,37.241282
17,0.300006,4.186900,0.522440,37.174674,0.957988,38.394318,37.522106
18,0.316673,4.009500,0.455720,37.178921,0.957610,38.516677,37.717465
19,0.333340,4.384700,0.545440,37.206581,0.957741,39.019473,38.054645
20,0.350007,4.029500,0.457720,37.331449,0.958709,38.619092,37.860444
21,0.366674,4.164800,0.498200,37.314179,0.958713,39.136976,38.310170
22,0.383341,4.000100,0.461200,37.319813,0.958981,39.053474,38.288561
23,0.400008,4.332400,0.456560,37.471508,0.959934,40.049433,38.943355
24,0.416675,4.148300,0.472720,37.385911,0.959905,39.351345,38.510721
25,0.433342,4.190000,0.457760,37.442062,0.960480,39.860928,38.963392
26,0.450009,3.952500,0.459440,37.421291,0.960512,39.476520,38.605594
27,0.466676,4.374800,0.703280,37.504788,0.960909,39.782440,38.783904
28,0.483343,4.105400,0.466600,37.609291,0.961832,39.192336,38.361075
29,0.500010,4.631500,0.450080,37.555324,0.961890,39.918986,38.993057
30,0.516677,4.270900,0.467480,37.608842,0.962367,39.846228,38.973503
31,0.533344,4.717300,0.497560,37.487617,0.962250,40.162816,39.027368
32,0.550011,4.657200,0.501560,37.528164,0.962844,38.841731,38.074629
33,0.566678,4.202400,0.527320,37.666410,0.963657,39.492350,38.501026
34,0.583345,4.399600,0.450800,37.662425,0.963866,38.798848,37.903001
35,0.600012,4.120400,0.479280,37.840644,0.965046,39.436786,38.538501
36,0.616679,4.343200,0.462120,37.776051,0.964747,39.257153,38.504283
37,0.633346,4.363600,0.479280,37.790372,0.965287,39.912720,38.920702
38,0.650013,4.354400,0.463040,37.730967,0.965576,38.888845,38.295460
39,0.666680,4.147800,0.470960,37.692429,0.965858,39.789029,38.896863
40,0.683347,5.262300,0.539320,37.879583,0.966406,39.264294,38.419579
41,0.700014,4.211600,0.461400,37.952923,0.967711,40.195924,38.902707
