frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.171700,0.463240,37.060840,0.957268,37.956906,37.241282
17,0.300006,4.120900,0.459240,37.164820,0.957844,38.373758,37.522106
18,0.316673,4.446000,0.518240,37.166133,0.957467,38.500891,37.717465
19,0.333340,4.055000,0.453320,37.193284,0.957593,38.994032,38.054645
20,0.350007,4.566900,0.514680,37.322347,0.958571,38.617216,37.860444
21,0.366674,4.242900,0.440280,37.301280,0.958554,39.133260,38.310170
22,0.383341,4.304300,0.462440,37.311877,0.958830,39.061181,38.288561
23,0.400008,4.311400,0.446480,37.460532,0.959778,40.050763,38.943355
24,0.416675,4.256500,0.450400,37.374140,0.959734,39.360414,38.510721
25,0.433342,4.054900,0.445480,37.429504,0.960299,39.859298,38.963392
26,0.450009,4.384500,0.460880,37.410676,0.960333,39.484269,38.605594
27,0.466676,4.263100,0.444680,37.495937,0.960732,39.776819,38.783904
28,0.483343,4.478500,0.456960,37.599620,0.961661,39.191840,38.361075
29,0.500010,4.918500,0.447280,37.546454,0.961723,39.909419,38.993057
30,0.516677,4.207200,0.461480,37.601290,0.962199,39.844466,38.973503
31,0.533344,4.472500,0.482040,37.479077,0.962084,40.158453,39.027368
32,0.550011,4.087600,0.492240,37.515722,0.962656,38.834777,38.074629
33,0.566678,4.390400,0.543560,37.652598,0.963473,39.473716,38.501026
34,0.583345,4.540100,0.456280,37.650139,0.963679,38.795836,37.903001
35,0.600012,4.382600,0.466760,37.825228,0.964847,39.429149,38.538501
36,0.616679,4.353000,0.465920,37.759679,0.964555,39.249416,38.504283
37,0.633346,4.298700,0.469240,37.776742,0.965105,39.895777,38.920702
38,0.650013,4.465900,0.458440,37.718189,0.965391,38.886920,38.295460
39,0.666680,4.353400,0.471040,37.680762,0.965686,39.786587,38.896863
40,0.683347,5.467600,0.458760,37.865157,0.966239,39.259995,38.419579
41,0.700014,4.549700,0.483840,37.941109,0.967555,40.198190,38.902707
42,0.716681,4.216700,0.468520,37.961691,0.967892,38.655132,37.679330
43,0.733348,4.424600,0.459680,37.972273,0.968310,39.397813,38.297358
44,0.750015,4.195100,0.501320,37.966539,0.968745,38.467389,37.676760
45,0.766682,4.619200,0.719080,37.954719,0.969140,39.120599,38.108446
46,0.783349,4.215600,0.473800,38.136257,0.970660,37.840096,37.225144
47,0.800016,4.648300,0.495080,38.017397,0.970928,38.231128,37.677163
48,0.816683,4.373900,0.469800,38.026296,0.971456,37.717001,37.222660
49,0.833350,4.442800,0.474320,37.968155,0.971781,38.136886,37.340713
50,0.850017,4.553000,0.457320,37.919050,0.972075,36.505953,36.404713
51,0.866684,4.368600,0.473160,38.245075,0.973461,37.568985,37.071907
52,0.883351,4.596900,0.461680,38.218911,0.973908,36.788918,36.378381
53,0.900018,4.246300,0.472040,38.245605,0.974860,29.637068,29.590812
54,0.916685,4.301900,0.584200,37.440204,0.970540,21.538358,21.521319
55,0.933352,3.981200,0.435400,37.326770,0.968652,20.987047,20.951734
56,0.950019,4.007700,0.434480,37.508855,0.972174,20.142119,20.122082
57,0.966686,3.646000,0.400160,37.677878,0.975521,21.667991,21.607458
58,0.983353,3.970200,0.479520,37.894006,0.978443,24.072056,23.970201
59,1.000020,4.142800,0.412400,37.927269,0.981918,25.996375,25.778255
60,1.016687,4.546400,0.386920,38.352151,0.983933,27.733977,27.555786
61,1.033354,3.994700,0.408600,38.392246,0.981507,25.066920,24.964432
62,1.050021,3.964300,0.382800,37.470030,0.970209,22.030910,21.969024
63,1.066688,3.928100,0.413120,36.839546,0.959341,20.397410,20.374570
64,1.083355,3.931900,0.407040,34.820125,0.949835,19.767139,19.754853
65,1.100022,4.092000,0.449320,33.661740,0.942240,21.543429,21.503404
66,1.116689,3.769500,0.429960,34.070283,0.944641,23.427332,23.523706
67,1.133356,4.368300,0.513640,34.117126,0.943453,24.668242,24.681500
68,1.150023,3.912000,0.443640,34.135827,0.942313,25.663165,25.558537
69,1.166690,4.067500,0.490240,34.170430,0.941514,27.181300,27.077992
70,1.183357,3.684500,0.463480,34.027447,0.940172,32.635930,32.113943
71,1.200024,4.063100,0.453200,34.098699,0.940115,32.759878,32.240707
72,1.216691,4.021400,0.452760,34.010373,0.938678,33.011274,32.493301
73,1.233358,3.916500,0.465560,34.019924,0.938497,33.122490,32.606989
74,1.250025,3.993800,0.468160,34.048198,0.938398,33.648512,33.054149
75,1.266692,4.127400,0.450160,33.889346,0.937238,33.676684,33.074381
76,1.283359,4.189400,0.467960,33.910131,0.937219,33.797370,33.161781
77,1.300026,4.330600,0.517440,33.937712,0.937283,33.789955,33.137284
78,1.316693,4.344300,0.445960,33.888833,0.936651,34.033255,33.396053
79,1.333360,3.864600,0.673400,33.822548,0.935699,34.008007,33.389255
80,1.350027,4.067400,0.478560,33.890051,0.935723,34.039368,33.513922
81,1.366694,4.198000,0.450760,33.952964,0.936001,34.207002,33.505541
82,1.383361,4.216500,0.495280,34.051465,0.936823,34.322433,33.687898
83,1.400028,4.212300,0.465720,33.993578,0.936160,34.233241,33.627358
84,1.416695,4.062500,0.463480,34.046415,0.936161,34.432401,33.745500
85,1.433362,4.197300,0.457000,33.985839,0.935268,34.416277,33.768024
86,1.450029,4.022800,0.471640,34.020427,0.934959,34.722343,34.051768
87,1.466696,3.843600,0.455800,34.032587,0.935105,34.658170,33.991521
88,1.483363,3.993200,0.463880,34.046628,0.934561,34.795581,34.083543
89,1.500030,3.795300,0.461800,34.151899,0.935129,34.864314,34.166368
90,1.516697,3.765800,0.478040,34.156606,0.934904,35.048978,34.422144
91,1.533364,4.149000,0.466680,34.241872,0.935306,35.055717,34.381100
92,1.550031,4.022100,0.465400,34.255784,0.935410,35.462791,34.716761
93,1.566698,3.988800,0.478280,34.220018,0.934516,35.329821,34.652120
94,1.583365,3.986800,0.451360,34.274611,0.934530,35.441609,34.730246
95,1.600032,4.119600,0.480120,34.352332,0.935026,35.438227,34.706937
96,1.616699,4.003600,0.466400,34.322304,0.934256,35.826204,35.064990
97,1.633366,4.233200,0.468800,34.248942,0.933197,35.819899,35.075970
98,1.650033,3.759500,0.492640,34.267195,0.933160,35.977968,35.308094
99,1.666700,4.048900,0.479640,34.432066,0.934044,36.149739,35.383053
100,1.683367,4.091600,0.453160,34.523443,0.934911,36.515815,35.628628
101,1.700034,3.906000,0.483280,34.482588,0.934602,36.514132,35.666392
102,1.716701,4.061300,0.460840,34.607209,0.935413,36.618313,35.850029
103,1.733368,4.350300,0.453600,34.523940,0.934497,36.472029,35.714138
104,1.750035,3.827000,0.454440,34.476766,0.933536,36.800005,35.960104
105,1.766702,3.908900,0.492760,34.576295,0.934366,36.800095,36.024026
106,1.783369,4.015400,0.466640,34.494810,0.933024,36.814505,36.038837
107,1.800036,4.198600,0.480400,34.523526,0.933806,36.869977,36.024274
108,1.816703,3.755700,0.468600,34.520160,0.933456,36.872498,36.101736
109,1.833370,3.853900,0.451120,34.584389,0.934156,36.759647,35.956281
110,1.850037,4.275800,0.474720,34.549989,0.933969,36.982401,36.024635
111,1.866704,3.873400,0.494760,34.468646,0.933639,36.823772,35.829912
112,1.883371,3.803100,0.509480,34.480154,0.933926,36.568079,35.537888
113,1.900038,3.869800,0.493640,34.580654,0.934644,36.401128,35.383851
114,1.916705,4.198700,0.449960,34.514288,0.934011,36.084494,35.089829
115,1.933372,4.020400,0.476400,34.360112,0.932372,35.847103,35.015246
116,1.950039,4.027700,0.473120,34.394944,0.932619,35.464505,34.794519
117,1.966706,4.057400,0.484200,34.465493,0.933312,35.568153,34.791162
118,1.983373,4.268200,0.479280,34.672145,0.935461,35.398573,34.606260
119,2.000040,3.926400,0.456680,34.549373,0.934472,35.411028,34.638495
