frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.024700,0.480200,37.036204,0.957203,37.957169,37.241282
17,0.300006,4.249700,0.462960,37.140179,0.957794,38.377425,37.522106
18,0.316673,4.210300,0.489840,37.144840,0.957415,38.501972,37.717465
19,0.333340,4.224400,0.485240,37.171268,0.957533,38.997411,38.054645
20,0.350007,4.353300,0.453200,37.298657,0.958512,38.619324,37.860444
21,0.366674,4.244500,0.468320,37.274958,0.958500,39.141172,38.310170
22,0.383341,4.135800,0.453800,37.284337,0.958774,39.057148,38.288561
23,0.400008,4.205400,0.469520,37.436212,0.959739,40.051847,38.943355
24,0.416675,4.291600,0.448080,37.349431,0.959695,39.357040,38.510721
25,0.433342,4.434300,0.481520,37.405116,0.960263,39.856002,38.963392
26,0.450009,4.179600,0.444120,37.388132,0.960317,39.483017,38.605594
27,0.466676,4.510500,0.453480,37.467538,0.960688,39.779608,38.783904
28,0.483343,4.272700,0.443680,37.572419,0.961626,39.191651,38.361075
29,0.500010,4.517900,0.467360,37.519149,0.961688,39.908973,38.993057
30,0.516677,4.745200,0.450880,37.571433,0.962152,39.839659,38.973503
31,0.533344,4.162400,0.466440,37.452381,0.962045,40.155092,39.027368
32,0.550011,4.548400,0.491280,37.493056,0.962638,38.830049,38.074629
33,0.566678,4.241800,0.455320,37.630037,0.963462,39.479920,38.501026
34,0.583345,4.431200,0.463960,37.627867,0.963682,38.790019,37.903001
35,0.600012,4.594200,0.449600,37.804824,0.964862,39.423859,38.538501
36,0.616679,4.231300,0.467320,37.742391,0.964577,39.246121,38.504283
37,0.633346,4.393000,0.540920,37.752927,0.965090,39.894233,38.920702
38,0.650013,4.373400,0.486960,37.697619,0.965396,38.881640,38.295460
39,0.666680,4.659100,0.465040,37.660521,0.965687,39.780900,38.896863
40,0.683347,5.190200,0.476760,37.847619,0.966237,39.255869,38.419579
41,0.700014,4.420200,0.509120,37.920897,0.967541,40.195248,38.902707
42,0.716681,4.697700,0.498680,37.947365,0.967920,38.645970,37.679330
43,0.733348,4.418600,0.466000,37.956766,0.968325,39.386652,38.297358
