frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.079400,0.446120,37.066509,0.957410,37.957217,37.241282
17,0.300006,4.327500,0.509280,37.172020,0.958010,38.374186,37.522106
18,0.316673,4.098600,0.446200,37.174935,0.957635,38.498645,37.717465
19,0.333340,4.479000,0.536360,37.203037,0.957757,38.991467,38.054645
20,0.350007,4.010800,0.454520,37.327791,0.958721,38.614421,37.860444
21,0.366674,4.666100,0.582160,37.308727,0.958715,39.127440,38.310170
22,0.383341,4.167300,0.445160,37.316509,0.958984,39.051799,38.288561
23,0.400008,4.884100,0.463280,37.467759,0.959945,40.039675,38.943355
24,0.416675,4.178600,0.447240,37.383273,0.959922,39.352058,38.510721
25,0.433342,4.221500,0.491640,37.436560,0.960478,39.847416,38.963392
26,0.450009,4.203300,0.501560,37.420089,0.960524,39.474748,38.605594
27,0.466676,4.278100,0.469760,37.501631,0.960913,39.768096,38.783904
28,0.483343,4.319600,0.455360,37.604692,0.961841,39.185283,38.361075
29,0.500010,4.320700,0.462880,37.551293,0.961900,39.900341,38.993057
30,0.516677,4.689900,0.749680,37.604947,0.962377,39.833608,38.973503
31,0.533344,4.576300,0.466880,37.483147,0.962258,40.149115,39.027368
32,0.550011,4.444400,0.465680,37.523998,0.962845,38.826091,38.074629
33,0.566678,4.783100,0.448560,37.662194,0.963673,39.467877,38.501026
34,0.583345,4.305900,0.462520,37.657146,0.963876,38.785779,37.903001
35,0.600012,4.238600,0.559240,37.836716,0.965062,39.415125,38.538501
36,0.616679,4.134400,0.468440,37.771067,0.964767,39.235977,38.504283
37,0.633346,4.653400,0.530200,37.785252,0.965294,39.883515,38.920702
38,0.650013,4.200800,0.460520,37.724356,0.965574,38.874178,38.295460
39,0.666680,4.485900,0.472880,37.685356,0.965863,39.773938,38.896863
40,0.683347,5.591900,0.450080,37.873440,0.966398,39.247686,38.419579
41,0.700014,4.382200,0.535520,37.947283,0.967723,40.186722,38.902707
42,0.716681,4.205000,0.477440,37.968926,0.968065,38.646559,37.679330
43,0.733348,4.319600,0.467360,37.985011,0.968496,39.385741,38.297358
44,0.750015,4.264200,0.492120,37.978277,0.968909,38.457279,37.676760
45,0.766682,4.277400,0.496520,37.966246,0.969288,39.107700,38.108446
46,0.783349,4.206200,0.508360,38.146248,0.970810,37.832700,37.225144
47,0.800016,4.535400,0.548560,38.024725,0.971072,38.220484,37.677163
48,0.816683,4.292400,0.472880,38.033198,0.971596,37.705008,37.222660
49,0.833350,4.796900,0.503280,37.974916,0.971908,38.127634,37.340713
50,0.850017,4.280000,0.470960,37.927465,0.972214,36.504916,36.404713
51,0.866684,4.610800,0.476240,38.256746,0.973606,37.566201,37.071907
52,0.883351,4.620200,0.471760,38.230169,0.974028,36.786673,36.378381
53,0.900018,4.192400,0.473760,38.262862,0.975011,29.635889,29.590812
54,0.916685,4.126000,0.484680,37.445735,0.970674,21.538440,21.521319
55,0.933352,4.057800,0.471760,37.326161,0.968761,20.987072,20.951734
56,0.950019,4.053500,0.489560,37.492616,0.972178,20.142185,20.122082
57,0.966686,3.950700,0.409520,37.686022,0.975593,21.667984,21.607458
58,0.983353,4.080200,0.404040,37.894207,0.978463,24.073951,23.970201
59,1.000020,3.914700,0.404440,37.907625,0.981865,25.995792,25.778255
60,1.016687,3.922900,0.408040,38.337162,0.983851,27.737113,27.555786
61,1.033354,3.944300,0.398280,38.376060,0.981437,25.067438,24.964432
62,1.050021,3.908200,0.385320,37.449804,0.970135,22.031058,21.969024
63,1.066688,4.052500,0.452280,36.695502,0.958418,20.396299,20.374570
64,1.083355,3.833300,0.402960,34.755328,0.948966,19.763457,19.754853
65,1.100022,4.175900,0.455800,33.605642,0.941803,21.542509,21.503404
66,1.116689,3.965800,0.444440,34.043195,0.944578,23.425049,23.523706
67,1.133356,4.200700,0.434760,34.099463,0.943561,24.667073,24.681500
68,1.150023,3.874100,0.460200,34.118516,0.942429,25.667254,25.558537
69,1.166690,4.360900,0.539200,34.158215,0.941712,27.181245,27.077992
70,1.183357,3.755600,0.476160,34.009983,0.940329,32.638748,32.113943
71,1.200024,3.889200,0.461720,34.083488,0.940301,32.757583,32.240707
72,1.216691,4.156600,0.443480,33.997178,0.938869,33.012219,32.493301
73,1.233358,3.847400,0.446680,34.008641,0.938707,33.119573,32.606989
74,1.250025,4.411900,0.445240,34.036573,0.938561,33.653706,33.054149
75,1.266692,3.943900,0.459640,33.881859,0.937451,33.673003,33.074381
76,1.283359,4.061100,0.509800,33.904000,0.937471,33.797828,33.161781
77,1.300026,4.101100,0.459160,33.932305,0.937523,33.788199,33.137284
78,1.316693,4.384400,0.466040,33.885575,0.936875,34.036484,33.396053
79,1.333360,3.864300,0.504000,33.818864,0.935905,34.000236,33.389255
80,1.350027,4.051500,0.465360,33.887656,0.935945,34.038580,33.513922
81,1.366694,4.468700,0.456600,33.951486,0.936219,34.204565,33.505541
82,1.383361,3.960600,0.496520,34.048818,0.937013,34.319699,33.687898
83,1.400028,4.087100,0.490080,33.995199,0.936381,34.230475,33.627358
84,1.416695,4.024000,0.466200,34.050206,0.936427,34.436553,33.745500
85,1.433362,4.419100,0.466640,33.989817,0.935530,34.410125,33.768024
86,1.450029,4.127400,0.483360,34.021947,0.935197,34.726606,34.051768
87,1.466696,4.513600,0.498080,34.033891,0.935338,34.654474,33.991521
88,1.483363,3.984400,0.445360,34.049558,0.934816,34.791912,34.083543
89,1.500030,4.008100,0.468960,34.155616,0.935388,34.861174,34.166368
90,1.516697,3.748100,0.495040,34.163002,0.935169,35.042369,34.422144
91,1.533364,4.035300,0.484120,34.248704,0.935573,35.055427,34.381100
92,1.550031,4.064400,0.467000,34.258744,0.935637,35.465735,34.716761
93,1.566698,3.992100,0.516360,34.224473,0.934756,35.323909,34.652120
94,1.583365,4.156600,0.453320,34.281662,0.934800,35.441724,34.730246
95,1.600032,4.108700,0.472800,34.358948,0.935276,35.433366,34.706937
96,1.616699,4.173500,0.457920,34.331491,0.934525,35.824752,35.064990
97,1.633366,4.121200,0.480200,34.255074,0.933438,35.808422,35.075970
98,1.650033,4.322500,0.465080,34.279802,0.933459,35.974957,35.308094
99,1.666700,4.336300,0.454760,34.443701,0.934324,36.142026,35.383053
100,1.683367,4.416800,0.471600,34.531455,0.935182,36.508270,35.628628
101,1.700034,3.824600,0.454520,34.489595,0.934867,36.501249,35.666392
102,1.716701,4.110300,0.473000,34.617539,0.935705,36.611934,35.850029
103,1.733368,3.837400,0.459440,34.533641,0.934773,36.463860,35.714138
104,1.750035,4.328200,0.484440,34.487707,0.933833,36.794292,35.960104
105,1.766702,3.941700,0.450440,34.586070,0.934641,36.792302,36.025055
106,1.783369,4.053000,0.467240,34.503213,0.933307,36.805051,36.039162
107,1.800036,4.301700,0.454040,34.533687,0.934117,36.864465,36.024274
108,1.816703,3.891600,0.470400,34.530662,0.933757,36.865111,36.101736
109,1.833370,4.366200,0.454480,34.594190,0.934433,36.756189,35.956281
110,1.850037,4.224200,0.456200,34.555094,0.934218,36.977016,36.024635
111,1.866704,3.829600,0.481040,34.474979,0.933918,36.814312,35.829912
112,1.883371,4.198600,0.449640,34.486156,0.934209,36.563302,35.537888
113,1.900038,4.736500,0.457800,34.584544,0.934925,36.397608,35.383851
114,1.916705,3.839100,0.494840,34.519754,0.934311,36.083877,35.089829
115,1.933372,3.929600,0.464320,34.363046,0.932661,35.842461,35.015246
116,1.950039,4.476200,0.470240,34.402532,0.932925,35.463660,34.794519
117,1.966706,4.307000,0.479560,34.473605,0.933620,35.567405,34.791162
118,1.983373,4.132100,0.454720,34.678547,0.935752,35.399083,34.606260
119,2.000040,3.766500,0.564640,34.555880,0.934765,35.407483,34.638495
