frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.016500,0.454960,36.869780,0.956965,37.056351,37.241282
17,0.300006,4.087600,0.475960,37.014819,0.957580,37.377336,37.522106
18,0.316673,4.304200,0.509960,37.051668,0.957258,37.595138,37.717465
19,0.333340,4.140900,0.439360,37.095927,0.957522,37.951451,38.054645
20,0.350007,4.501000,0.453800,37.225935,0.958500,37.695025,37.860444
21,0.366674,4.320500,0.434960,37.119446,0.958393,37.923146,38.310170
22,0.383341,4.735900,0.460320,37.224890,0.958840,38.151985,38.288561
23,0.400008,4.311400,0.454360,37.407602,0.959849,38.750541,38.943355
24,0.416675,4.189000,0.453040,37.256412,0.959574,38.415036,38.510721
25,0.433342,4.754700,0.474920,37.259458,0.960068,38.560278,38.963392
26,0.450009,4.070800,0.449560,37.345516,0.960459,38.684224,38.605594
27,0.466676,4.369100,0.454480,37.494238,0.961041,38.596913,38.783904
28,0.483343,4.307600,0.468320,37.526003,0.961757,38.595281,38.361075
29,0.500010,4.727200,0.448920,37.487826,0.962017,38.711400,38.993057
30,0.516677,4.907200,0.443680,37.683122,0.962818,39.054969,38.973503
31,0.533344,4.310500,0.455240,37.376886,0.962336,38.707529,39.027368
32,0.550011,4.694000,0.467480,37.389208,0.962798,37.940796,38.074629
33,0.566678,4.336200,0.448040,37.523663,0.963634,38.172982,38.501026
34,0.583345,4.282000,0.469040,37.523241,0.963895,37.870581,37.903001
35,0.600012,4.292200,0.437960,37.636022,0.964913,38.561903,38.538501
36,0.616679,4.297800,0.456920,37.651186,0.964797,38.667626,38.504283
37,0.633346,4.202800,0.461640,37.676979,0.965698,38.624370,38.920702
38,0.650013,4.385000,0.469400,37.723660,0.966386,38.206577,38.295460
39,0.666680,4.282700,0.440280,37.651071,0.966485,38.642970,38.896863
40,0.683347,5.021200,0.460280,37.898394,0.967333,38.494416,38.419579
41,0.700014,4.586700,0.438120,37.845010,0.968137,38.660129,38.902707
42,0.716681,4.399500,0.464480,37.873742,0.968773,37.933071,37.679330
43,0.733348,4.494000,0.483880,37.732006,0.968733,38.215208,38.297358
44,0.750015,4.235000,0.452640,37.910218,0.969629,37.609848,37.676760
45,0.766682,4.354100,0.460360,38.038532,0.970632,38.008757,38.108446
46,0.783349,4.224600,0.442080,38.135685,0.971491,37.378278,37.225144
47,0.800016,4.223500,0.463600,38.000660,0.972035,37.252228,37.677163
48,0.816683,4.348400,0.452400,38.224697,0.973064,37.203232,37.222660
49,0.833350,4.579000,0.457400,37.870269,0.972740,36.999847,37.340713
50,0.850017,4.656000,0.448400,38.078476,0.973776,36.123139,36.404713
51,0.866684,4.238800,0.457400,38.218786,0.974701,36.815836,37.071907
52,0.883351,4.616000,0.480520,38.208423,0.975407,36.340466,36.378381
53,0.900018,4.151600,0.437920,38.298280,0.976106,29.592996,29.590812
54,0.916685,3.981600,0.465600,37.436706,0.971541,21.520130,21.521319
55,0.933352,4.273800,0.427800,37.339999,0.970037,20.949844,20.951734
56,0.950019,3.893200,0.411560,37.591233,0.973021,20.120225,20.122082
57,0.966686,3.793300,0.393120,38.261203,0.976754,21.601956,21.607458
58,0.983353,3.870800,0.398800,39.089434,0.980199,23.969353,23.970201
59,1.000020,3.912900,0.372280,38.835898,0.983583,25.797360,25.778255
60,1.016687,3.984300,0.387080,39.224638,0.985445,27.569364,27.555786
61,1.033354,3.806500,0.378680,39.075302,0.982834,24.930219,24.964432
62,1.050021,3.948600,0.410920,37.785353,0.971068,21.953788,21.969024
63,1.066688,4.099200,0.378840,36.735906,0.958868,20.354518,20.374570
64,1.083355,3.776300,0.382120,34.823514,0.949625,19.715518,19.754853
65,1.100022,4.046800,0.417120,33.685923,0.942939,21.366573,21.503404
