frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.023400,0.459040,37.061100,0.957397,38.140507,37.241282
17,0.300006,4.530300,0.454800,37.166241,0.957968,38.593022,37.522106
18,0.316673,3.884100,0.469200,37.166910,0.957579,38.674953,37.717465
19,0.333340,4.531300,0.455760,37.191159,0.957692,39.219577,38.054645
20,0.350007,4.878100,0.479120,37.320505,0.958673,38.764849,37.860444
21,0.366674,4.727900,0.456880,37.298467,0.958689,39.353337,38.310170
22,0.383341,4.156800,0.468840,37.304148,0.958946,39.247075,38.288561
23,0.400008,4.658500,0.486800,37.460127,0.959908,40.196550,38.943355
24,0.416675,4.637100,0.455040,37.377178,0.959894,39.436455,38.510721
25,0.433342,4.627300,0.466120,37.435820,0.960477,39.953770,38.963392
26,0.450009,4.295800,0.487840,37.412711,0.960493,39.601371,38.605594
27,0.466676,4.484700,0.473360,37.494355,0.960887,39.948330,38.783904
28,0.483343,4.354600,0.480000,37.600432,0.961815,39.314455,38.361075
29,0.500010,5.138400,0.464600,37.550671,0.961875,40.033924,38.993057
30,0.516677,4.262700,0.463160,37.603167,0.962348,39.929941,38.973503
31,0.533344,4.446300,0.488880,37.488667,0.962237,40.261707,39.027368
32,0.550011,4.149500,0.496840,37.518998,0.962824,38.948423,38.074629
33,0.566678,4.384400,0.470560,37.661002,0.963654,39.648512,38.501026
34,0.583345,4.342200,0.450600,37.651612,0.963859,38.917242,37.903001
35,0.600012,4.735700,0.466280,37.837299,0.965042,39.525568,38.538501
36,0.616679,5.238700,0.490680,37.772020,0.964736,39.329907,38.504283
37,0.633346,4.477800,0.492120,37.788223,0.965274,40.007222,38.920702
38,0.650013,4.255500,0.528720,37.728987,0.965571,38.940414,38.295460
39,0.666680,4.777000,0.467600,37.693931,0.965855,39.846499,38.896863
40,0.683347,5.556800,0.483960,37.883259,0.966412,39.309077,38.419579
41,0.700014,4.335700,0.494960,37.954726,0.967710,40.232379,38.902707
42,0.716681,4.470000,0.459680,37.971516,0.968067,38.685454,37.679330
43,0.733348,4.287800,0.479840,37.991735,0.968487,39.467014,38.297358
44,0.750015,4.677400,0.567960,37.974471,0.968889,38.526774,37.676760
45,0.766682,4.358800,0.493240,37.965306,0.969290,39.193650,38.108446
46,0.783349,4.414700,0.536240,38.144747,0.970807,37.924595,37.225144
47,0.800016,4.336700,0.465480,38.023562,0.971075,38.356205,37.677163
48,0.816683,4.302400,0.469360,38.037047,0.971604,37.790337,37.222660
49,0.833350,4.609700,0.462720,37.973990,0.971917,38.228595,37.340713
50,0.850017,4.567200,0.512520,37.926414,0.972220,36.566161,36.404713
51,0.866684,4.370200,0.502560,38.252842,0.973601,37.658068,37.071907
52,0.883351,4.372700,0.467640,38.229700,0.974048,36.860302,36.378381
53,0.900018,4.396100,0.467040,38.220485,0.974811,29.873484,29.590812
54,0.916685,4.300500,0.452560,37.331561,0.969925,21.793507,21.521319
55,0.933352,4.007000,0.454080,36.946540,0.967631,21.259736,20.951734
56,0.950019,4.178700,0.461160,36.947845,0.969800,20.432053,20.122082
57,0.966686,4.186000,0.420640,37.200940,0.973399,21.944728,21.607458
58,0.983353,4.335600,0.391480,37.559634,0.976785,24.397338,23.970201
59,1.000020,4.075000,0.431680,37.784623,0.980667,26.394927,25.778255
60,1.016687,4.297100,0.482640,38.205026,0.983268,28.183129,27.555786
61,1.033354,3.952800,0.398000,37.666619,0.979745,25.634631,24.964432
62,1.050021,4.109400,0.663360,36.365222,0.968163,22.597364,21.969024
63,1.066688,4.178800,0.386640,35.125495,0.957120,20.972444,20.374570
64,1.083355,3.831700,0.425000,32.751081,0.940828,20.532342,19.754853
65,1.100022,4.143400,0.451040,31.576645,0.931380,22.652020,21.503404
66,1.116689,3.894600,0.473360,31.856314,0.935118,24.710097,23.523706
67,1.133356,4.076700,0.470600,32.829267,0.938729,25.539217,24.681500
68,1.150023,3.857400,0.441880,33.590202,0.940900,26.090874,25.558537
69,1.166690,3.779200,0.466480,33.900407,0.940850,27.732703,27.077992
70,1.183357,3.866500,0.470560,33.943904,0.940234,32.997641,32.113943
71,1.200024,4.111500,0.453040,34.040975,0.940070,33.123376,32.240707
72,1.216691,4.041200,0.462360,33.962165,0.938642,33.319378,32.493301
73,1.233358,3.862200,0.448640,33.987936,0.938428,33.488080,32.606989
74,1.250025,3.845800,0.453320,34.015906,0.938361,33.890557,33.054149
75,1.266692,4.475600,0.464200,33.882608,0.937306,33.969170,33.074381
76,1.283359,3.744200,0.448840,33.891265,0.937251,34.070264,33.161781
77,1.300026,4.317000,0.446880,33.927811,0.937381,34.084722,33.137284
78,1.316693,3.725200,0.448480,33.878622,0.936741,34.228714,33.396053
79,1.333360,3.965900,0.493240,33.823615,0.935850,34.247618,33.389255
80,1.350027,4.155000,0.447960,33.869032,0.935740,34.292676,33.513922
