frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.111400,0.447120,37.118491,0.956943,37.910714,37.241282
17,0.300006,4.412200,0.492880,37.224343,0.957505,38.319806,37.522106
18,0.316673,4.575000,0.468440,37.224623,0.957183,38.442972,37.717465
19,0.333340,4.254500,0.791040,37.251772,0.957297,38.929456,38.054645
20,0.350007,4.121700,0.481600,37.383096,0.958307,38.557887,37.860444
21,0.366674,4.500200,0.462760,37.364440,0.958352,39.062393,38.310170
22,0.383341,4.077600,0.447680,37.372200,0.958628,38.985003,38.288561
23,0.400008,4.344600,0.462720,37.521171,0.959538,39.966386,38.943355
24,0.416675,3.922700,0.461600,37.434370,0.959511,39.291858,38.510721
25,0.433342,4.515200,0.466800,37.488483,0.960062,39.779993,38.963392
26,0.450009,4.323900,0.443680,37.465931,0.960110,39.410374,38.605594
27,0.466676,4.686500,0.505000,37.553127,0.960515,39.700625,38.783904
28,0.483343,4.280600,0.443560,37.660984,0.961476,39.136011,38.361075
29,0.500010,4.521500,0.469920,37.607680,0.961567,39.834199,38.993057
30,0.516677,4.484300,0.455520,37.661256,0.962037,39.775659,38.973503
31,0.533344,4.523900,0.461160,37.537666,0.961909,40.079048,39.027368
32,0.550011,4.601300,0.466040,37.574468,0.962459,38.787956,38.074629
33,0.566678,4.968400,0.452400,37.707310,0.963238,39.420145,38.501026
34,0.583345,4.429400,0.469160,37.706426,0.963475,38.750394,37.903001
35,0.600012,4.130100,0.546640,37.877846,0.964584,39.375945,38.538501
36,0.616679,4.814400,0.463160,37.819221,0.964344,39.208475,38.504283
37,0.633346,4.296800,0.471880,37.832716,0.964862,39.838437,38.920702
38,0.650013,4.434700,0.536920,37.777091,0.965169,38.867420,38.295460
39,0.666680,4.301800,0.466640,37.735993,0.965474,39.732245,38.896863
40,0.683347,5.547700,0.523800,37.925252,0.966068,39.226472,38.419579
41,0.700014,4.442200,0.468560,37.994253,0.967321,40.134128,38.902707
42,0.716681,4.259700,0.497080,38.018558,0.967703,38.648862,37.679330
43,0.733348,4.649300,0.474600,38.018748,0.968067,39.368061,38.297358
44,0.750015,4.511900,0.462080,38.011267,0.968509,38.459508,37.676760
45,0.766682,4.202100,0.478600,37.998793,0.968954,39.104432,38.108446
46,0.783349,4.463800,0.464680,38.175899,0.970368,37.838737,37.225144
47,0.800016,4.237100,0.477440,38.066745,0.970713,38.233658,37.677163
48,0.816683,4.583700,0.508040,38.072173,0.971230,37.735137,37.222660
49,0.833350,4.404400,0.465360,38.006890,0.971526,38.145192,37.340713
50,0.850017,4.501900,0.500240,37.952399,0.971834,36.537325,36.404713
51,0.866684,4.400400,0.469560,38.277494,0.973172,37.593016,37.071907
52,0.883351,4.281900,0.546400,38.254227,0.973659,36.824082,36.378381
53,0.900018,3.969200,0.451320,38.277154,0.974562,29.641391,29.590812
54,0.916685,4.339200,0.486520,37.452021,0.970190,21.538958,21.521319
55,0.933352,3.817900,0.437640,37.342528,0.968321,20.987176,20.951734
56,0.950019,4.401400,0.440920,37.489221,0.971720,20.141923,20.122082
57,0.966686,3.870600,0.411280,37.662387,0.975062,21.666958,21.607458
58,0.983353,4.381400,0.467400,37.886417,0.978038,24.069394,23.970201
59,1.000020,3.822000,0.384440,37.933838,0.981644,25.997681,25.778255
60,1.016687,4.360700,0.454000,38.364397,0.983732,27.735997,27.555786
61,1.033354,3.897800,0.382800,38.408475,0.981314,25.069136,24.964432
62,1.050021,3.958000,0.448360,37.489674,0.970009,22.032497,21.969024
63,1.066688,3.873900,0.404400,36.730382,0.958232,20.397569,20.374570
64,1.083355,3.753200,0.429640,34.789462,0.948879,19.763659,19.754853
65,1.100022,3.896200,0.436160,33.707657,0.941775,21.534396,21.503404
66,1.116689,4.295800,0.419960,34.120981,0.944299,23.433129,23.523706
67,1.133356,4.071700,0.452120,34.189502,0.943219,24.676020,24.681500
68,1.150023,4.260000,0.486080,34.208921,0.942019,25.665728,25.558537
69,1.166690,3.997900,0.496880,34.237936,0.941117,27.188665,27.077992
70,1.183357,4.209800,0.461560,34.088383,0.939728,32.639877,32.113943
71,1.200024,3.721100,0.509160,34.159127,0.939581,32.762524,32.240707
72,1.216691,4.200900,0.503720,34.063136,0.938117,33.005354,32.493301
73,1.233358,4.055200,0.452480,34.066735,0.937849,33.120220,32.606989
74,1.250025,4.078700,0.519520,34.097921,0.937720,33.636381,33.054149
75,1.266692,4.280100,0.464640,33.933467,0.936464,33.664385,33.074381
76,1.283359,4.117100,0.456360,33.961153,0.936473,33.780980,33.161781
77,1.300026,4.140800,0.468280,33.980547,0.936440,33.784774,33.137284
78,1.316693,3.785800,0.520240,33.939142,0.935846,34.013376,33.396053
79,1.333360,4.136100,0.479760,33.868582,0.934856,33.994351,33.389255
80,1.350027,3.984400,0.457680,33.937338,0.934859,34.021822,33.513922
81,1.366694,4.082500,0.467440,33.993265,0.935021,34.194143,33.505541
82,1.383361,4.266300,0.466920,34.092332,0.935826,34.301158,33.687898
83,1.400028,4.139600,0.493040,34.030596,0.935131,34.211777,33.627358
84,1.416695,4.077500,0.467160,34.079605,0.935056,34.407214,33.745500
85,1.433362,3.830000,0.455880,34.021602,0.934222,34.388862,33.768024
86,1.450029,4.548400,0.491120,34.062467,0.933939,34.681212,34.051768
87,1.466696,4.122600,0.457360,34.070342,0.934022,34.625039,33.991521
88,1.483363,4.398100,0.451320,34.082487,0.933410,34.759114,34.083543
89,1.500030,4.161900,0.464160,34.188665,0.933959,34.827519,34.166368
90,1.516697,4.249500,0.461200,34.188148,0.933689,35.009517,34.422144
91,1.533364,4.131900,0.455800,34.265159,0.933996,35.016954,34.381100
92,1.550031,4.013300,0.469360,34.281875,0.934137,35.410097,34.716761
93,1.566698,3.889100,0.464040,34.240595,0.933178,35.283002,34.652120
94,1.583365,4.040400,0.500480,34.295701,0.933193,35.392380,34.730246
95,1.600032,4.128300,0.456800,34.367543,0.933628,35.395203,34.706937
96,1.616699,3.929600,0.480680,34.345085,0.932954,35.770705,35.064990
97,1.633366,4.050800,0.459120,34.265353,0.931795,35.777593,35.075970
98,1.650033,4.337900,0.454160,34.280809,0.931709,35.920855,35.308094
99,1.666700,3.949500,0.495240,34.444736,0.932615,36.095031,35.383053
100,1.683367,3.931700,0.489040,34.534262,0.933409,36.458501,35.628628
101,1.700034,4.042000,0.452120,34.489765,0.933117,36.453632,35.666392
102,1.716701,3.941900,0.479000,34.611199,0.933935,36.554523,35.850029
103,1.733368,3.912300,0.462520,34.526214,0.932956,36.409316,35.714138
104,1.750035,3.904100,0.499800,34.480321,0.932029,36.732422,35.960104
105,1.766702,4.218400,0.482240,34.580734,0.932888,36.733345,36.025055
106,1.783369,4.154000,0.483680,34.495067,0.931527,36.754864,36.039162
107,1.800036,3.654000,0.480480,34.523776,0.932266,36.812615,36.024274
108,1.816703,4.083800,0.482240,34.521229,0.931988,36.796005,36.101736
109,1.833370,4.067400,0.461280,34.587130,0.932705,36.696420,35.956281
110,1.850037,3.972700,0.451840,34.550157,0.932526,36.910833,36.024635
111,1.866704,4.171000,0.480320,34.466691,0.932246,36.755802,35.829912
112,1.883371,4.011800,0.483920,34.479091,0.932553,36.504352,35.537888
113,1.900038,4.050700,0.480560,34.579961,0.933225,36.344017,35.383851
114,1.916705,3.904800,0.481800,34.516485,0.932636,36.027241,35.089829
115,1.933372,4.109400,0.451840,34.357605,0.930970,35.802993,35.015246
116,1.950039,4.570800,0.474640,34.395058,0.931257,35.409209,34.794519
117,1.966706,3.830000,0.485600,34.469792,0.931980,35.520710,34.791162
118,1.983373,4.026100,0.486760,34.672832,0.934106,35.348453,34.606260
119,2.000040,4.230200,0.462080,34.549021,0.933104,35.371995,34.638495
