frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.155700,0.487960,36.780506,0.956741,37.608747,37.241282
17,0.300006,4.153100,0.474760,36.893214,0.957361,37.986562,37.522106
18,0.316673,4.330400,0.458680,36.874597,0.956955,38.094571,37.717465
19,0.333340,4.130800,0.464680,36.911589,0.957092,38.559733,38.054645
20,0.350007,4.132200,0.459840,37.067882,0.958120,38.217681,37.860444
21,0.366674,4.043400,0.463760,37.043078,0.958088,38.731147,38.310170
22,0.383341,4.077700,0.454160,37.036750,0.958361,38.624991,38.288561
23,0.400008,4.135700,0.483600,37.213685,0.959376,39.583256,38.943355
24,0.416675,4.197400,0.462280,37.089831,0.959270,38.885250,38.510721
25,0.433342,4.376200,0.520440,37.161437,0.959883,39.377843,38.963392
26,0.450009,4.101200,0.475880,37.146343,0.959928,39.049807,38.605594
27,0.466676,4.690400,0.534720,37.249249,0.960349,39.331174,38.783904
28,0.483343,4.190900,0.465000,37.320583,0.961260,38.773526,38.361075
29,0.500010,4.518400,0.556640,37.258496,0.961327,39.422620,38.993057
30,0.516677,4.401700,0.460560,37.344512,0.961865,39.387253,38.973503
31,0.533344,4.240600,0.465880,37.199776,0.961706,39.698524,39.027368
32,0.550011,4.511600,0.502080,37.250698,0.962330,38.399619,38.074629
33,0.566678,4.311100,0.457040,37.334898,0.963095,38.995025,38.501026
34,0.583345,4.802100,0.495320,37.350537,0.963334,38.363294,37.903001
35,0.600012,4.244700,0.475040,37.548327,0.964572,38.982411,38.538501
36,0.616679,4.608600,0.537400,37.446390,0.964222,38.783445,38.504283
37,0.633346,4.208500,0.449920,37.488788,0.964823,39.394431,38.920702
38,0.650013,4.586200,0.527920,37.421288,0.965099,38.447800,38.295460
39,0.666680,4.492600,0.456360,37.380329,0.965363,39.293002,38.896863
40,0.683347,5.285300,0.501040,37.562514,0.965971,38.812401,38.419579
41,0.700014,4.408400,0.500040,37.628367,0.967289,39.677589,38.902707
42,0.716681,4.872100,0.470320,37.654867,0.967647,38.227002,37.679330
43,0.733348,4.426700,0.478840,37.685765,0.968069,38.954837,38.297358
44,0.750015,4.260900,0.487960,37.643834,0.968476,38.050752,37.676760
45,0.766682,4.351600,0.465640,37.650782,0.968921,38.641686,38.108446
46,0.783349,4.187800,0.471560,37.848572,0.970453,37.459558,37.225144
47,0.800016,4.621800,0.465920,37.729556,0.970736,37.860638,37.677163
48,0.816683,4.294600,0.489160,37.730220,0.971275,37.333027,37.222660
49,0.833350,4.613900,0.473800,37.644245,0.971562,37.764883,37.340713
50,0.850017,4.344200,0.475080,37.566331,0.971854,36.172608,36.404713
51,0.866684,4.478700,0.535080,37.902103,0.973274,37.182251,37.071907
52,0.883351,4.182100,0.454280,37.890497,0.973741,36.449438,36.378381
53,0.900018,4.177800,0.473960,37.924141,0.974731,29.577517,29.590812
54,0.916685,4.612400,0.488320,37.152307,0.970372,21.527677,21.521319
55,0.933352,4.008700,0.462560,37.028901,0.968437,20.978111,20.951734
56,0.950019,4.140300,0.472040,37.223836,0.971935,20.134419,20.122082
57,0.966686,3.768500,0.407400,37.594780,0.975533,21.665446,21.607458
58,0.983353,4.059600,0.445160,37.899844,0.978489,24.072187,23.970201
59,1.000020,3.746800,0.409680,37.923894,0.981938,25.996148,25.778255
60,1.016687,3.908300,0.389160,38.325627,0.983924,27.730712,27.555786
61,1.033354,4.386700,0.395240,38.325642,0.981451,25.060165,24.964432
62,1.050021,3.710400,0.387760,37.384164,0.970096,22.027951,21.969024
63,1.066688,3.892500,0.462920,36.591509,0.958059,20.392687,20.374570
64,1.083355,4.100700,0.412440,34.650297,0.948453,19.757972,19.754853
65,1.100022,3.860400,0.412560,33.455225,0.940988,21.523768,21.503404
66,1.116689,3.800400,0.444120,33.831609,0.943572,23.393343,23.523706
67,1.133356,4.123500,0.425360,33.844263,0.942353,24.623142,24.681500
68,1.150023,4.062600,0.454640,33.862035,0.941219,25.599685,25.558537
69,1.166690,4.183300,0.461160,33.902752,0.940426,27.098158,27.077992
