frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,3.771400,0.452280,39.727218,0.980097,53.498478,73.032346
17,0.000002,4.434700,0.452080,39.726331,0.980097,53.296192,67.901178
18,0.000002,3.862800,0.436720,39.703354,0.980066,52.966534,98.215976
19,0.000002,4.034800,0.536240,39.755298,0.980348,52.580219,72.903112
20,0.000002,3.936900,0.450280,39.727769,0.980178,53.330965,99.000000
21,0.000002,3.839100,0.437280,39.711296,0.980186,52.546678,74.060954
22,0.000002,3.636000,0.453560,39.619501,0.979711,53.124934,68.992751
23,0.000002,3.555100,0.429760,39.643572,0.979793,52.381599,99.000000
24,0.000002,3.805900,0.512400,39.746437,0.980333,52.197127,69.222314
25,0.000003,3.983800,0.447640,39.693072,0.979955,53.253405,99.000000
26,0.000003,3.734800,0.436120,39.626793,0.979725,53.227927,71.036834
27,0.000003,3.975300,0.504840,39.635271,0.979893,52.499060,73.030384
28,0.000003,4.113700,0.432240,39.673328,0.979907,53.165202,72.521546
29,0.000003,4.405800,0.441840,39.651726,0.979876,52.968432,75.708180
30,0.000003,3.973600,0.454760,39.684134,0.980002,53.407777,99.000000
31,0.000003,3.941500,0.438520,39.696540,0.980231,52.083087,75.101065
32,0.000003,4.243600,0.458800,39.670305,0.979985,53.297784,75.685915
33,0.000003,3.894100,0.430920,39.674299,0.980002,52.316937,72.271417
34,0.000003,4.003200,0.460880,39.612456,0.979682,53.836072,69.463938
35,0.000004,3.838300,0.448120,39.591890,0.979591,53.640842,99.000000
36,0.000004,3.797500,0.472920,39.575810,0.979566,53.145401,78.824515
37,0.000004,4.286600,0.462000,39.661436,0.980010,52.666480,76.671532
38,0.000004,3.774000,0.446880,39.648885,0.979903,53.453056,74.941110
39,0.000004,4.148000,0.456040,39.650260,0.980009,52.591405,99.000000
40,0.000004,4.647200,0.449040,39.545843,0.979435,53.215556,75.768901
41,0.000004,3.830500,0.554760,39.592834,0.979651,52.387619,76.684307
42,0.000004,3.711700,0.449560,39.701721,0.980230,52.232959,79.272801
43,0.000004,3.969500,0.509960,39.644606,0.979818,53.282193,99.000000
44,0.000004,3.851800,0.445880,39.574907,0.979543,53.252320,99.000000
45,0.000005,3.746200,0.431840,39.602574,0.979831,52.474273,73.340756
46,0.000005,3.949800,0.447240,39.635948,0.979799,53.188034,76.691420
47,0.000005,4.001400,0.462160,39.621265,0.979804,52.966525,79.959486
48,0.000005,3.692500,0.485720,39.644021,0.979885,53.424414,72.115021
49,0.000005,3.923600,0.451360,39.664818,0.980147,52.077780,99.000000
50,0.000005,3.727300,0.431800,39.644003,0.979934,53.284617,71.561462
51,0.000005,4.008600,0.523840,39.640300,0.979920,52.326320,72.895464
52,0.000005,3.950500,0.449560,39.573863,0.979545,53.846424,79.817144
53,0.000005,3.887100,0.435320,39.547773,0.979425,53.658916,72.581597
54,0.000005,3.799900,0.527680,39.534108,0.979401,53.152782,99.000000
55,0.000006,3.828800,0.449080,39.629672,0.979890,52.640923,76.767014
56,0.000006,3.664000,0.485600,39.621907,0.979797,53.447189,99.000000
57,0.000006,4.103800,0.467520,39.625522,0.979929,52.584457,72.192080
58,0.000006,3.877600,0.430840,39.517994,0.979328,53.218609,77.444797
59,0.000006,3.844500,0.479080,39.571305,0.979585,52.373374,99.000000
60,0.000006,3.747500,0.466080,39.684268,0.980183,52.229009,73.285120
61,0.000006,3.811600,0.439640,39.627393,0.979764,53.343249,99.000000
62,0.000006,3.891000,0.458120,39.554573,0.979470,53.242449,70.539679
63,0.000006,3.931900,0.450960,39.591956,0.979802,52.462201,71.271567
64,0.000006,3.801800,0.441480,39.622569,0.979753,53.194730,99.000000
65,0.000007,4.202400,0.468040,39.609709,0.979769,52.967142,70.751656
66,0.000007,3.843100,0.440480,39.631056,0.979841,53.430828,99.000000
67,0.000007,4.197500,0.482400,39.654354,0.980115,52.072616,75.183282
68,0.000007,4.185200,0.447280,39.635609,0.979911,53.286620,71.588832
69,0.000007,3.830300,0.467440,39.628291,0.979887,52.329470,99.000000
70,0.000007,3.999400,0.456760,39.560290,0.979499,53.863335,75.834940
71,0.000007,3.798400,0.429680,39.534041,0.979370,53.667493,99.000000
72,0.000007,4.081500,0.513480,39.520544,0.979350,53.154811,72.201920
73,0.000007,3.817600,0.454520,39.617542,0.979850,52.640685,99.000000
74,0.000007,4.178100,0.469240,39.611918,0.979763,53.453012,77.556186
75,0.000008,3.647600,0.456720,39.619021,0.979906,52.584539,71.990308
76,0.000008,3.550700,0.456160,39.510885,0.979296,53.215959,91.188487
77,0.000008,4.002700,0.683920,39.567190,0.979565,52.375985,72.680997
78,0.000008,3.962700,0.453880,39.681832,0.980167,52.235736,99.000000
79,0.000008,3.976600,0.443320,39.625463,0.979747,53.348694,76.231008
80,0.000008,3.708300,0.436280,39.552726,0.979455,53.239358,69.613790
81,0.000008,3.824600,0.446480,39.589382,0.979792,52.461148,77.723258
82,0.000008,3.956300,0.439520,39.620347,0.979743,53.199312,99.000000
83,0.000008,3.662000,0.455680,39.605427,0.979758,52.959319,99.000000
84,0.000008,4.044500,0.451040,39.626272,0.979825,53.432911,74.827872
85,0.000009,3.556400,0.658480,39.650857,0.980101,52.078979,99.000000
86,0.000009,4.056300,0.452200,39.633839,0.979907,53.291996,74.604452
87,0.000009,3.900200,0.435840,39.628898,0.979884,52.283019,73.435798
88,0.000009,3.747100,0.454520,39.558500,0.979489,53.869037,99.000000
89,0.000009,3.951600,0.452520,39.530532,0.979357,53.677649,71.802797
90,0.000009,3.980400,0.444280,39.517453,0.979335,53.103090,99.000000
91,0.000009,3.998900,0.458840,39.615006,0.979839,52.636370,78.072730
92,0.000009,3.909700,0.459480,39.608413,0.979755,53.447037,72.436509
93,0.000009,3.657700,0.436600,39.616236,0.979902,52.588589,99.000000
94,0.000010,4.089100,0.460440,39.510237,0.979291,53.219931,74.319843
95,0.000010,3.575900,0.662200,39.567395,0.979565,52.381230,99.000000
96,0.000010,3.994800,0.452480,39.679778,0.980168,52.230497,76.127832
97,0.000010,4.136500,0.434680,39.624212,0.979747,53.352377,73.672821
98,0.000010,3.570100,0.478440,39.551522,0.979451,53.244329,99.000000
99,0.000010,3.931300,0.437840,39.587457,0.979792,52.457917,74.636908
100,0.000010,3.924400,0.457840,39.617941,0.979740,53.194585,99.000000
101,0.000010,3.598500,0.436680,39.603290,0.979758,52.957066,75.469163
102,0.000010,3.773600,0.454120,39.624027,0.979824,53.425600,99.000000
103,0.000010,4.259300,0.647280,39.648787,0.980101,52.074912,75.204506
104,0.000011,3.861900,0.449360,39.630048,0.979901,53.290362,71.884187
105,0.000011,3.705100,0.461600,39.626344,0.979879,52.266973,99.000000
106,0.000011,4.090100,0.443120,39.555449,0.979482,53.869917,78.469060
107,0.000011,3.875800,0.458120,39.527636,0.979346,53.677565,99.000000
108,0.000011,4.072800,0.468400,39.515596,0.979325,53.108405,72.101316
109,0.000011,3.846600,0.434440,39.614828,0.979835,52.645733,74.157244
110,0.000011,3.741400,0.451440,39.609426,0.979752,53.456820,99.000000
111,0.000011,4.064100,0.467200,39.617017,0.979898,52.578055,73.696138
112,0.000011,3.748200,0.430440,39.509113,0.979284,53.220067,99.000000
113,0.000011,4.038700,0.477440,39.565436,0.979557,52.375434,77.863044
114,0.000012,3.776400,0.446040,39.680045,0.980160,52.229980,75.597912
115,0.000012,3.779800,0.435840,39.622051,0.979738,53.350048,99.000000
116,0.000012,3.792300,0.467320,39.549187,0.979442,53.245260,75.801332
117,0.000012,3.952000,0.449200,39.586739,0.979784,52.459243,99.000000
