frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.203100,0.539960,38.911738,0.977616,51.626800,73.032346
17,0.000002,3.601000,0.436760,38.855801,0.977783,50.866554,67.901178
18,0.000002,3.502700,0.454560,38.995016,0.978062,49.734946,99.000000
19,0.000002,3.600800,0.444080,38.844191,0.977914,49.778421,72.915910
20,0.000002,3.789500,0.433400,38.972107,0.977961,50.045622,99.000000
21,0.000002,3.983500,0.435520,38.818379,0.977874,48.831243,74.060954
22,0.000002,3.877400,0.456880,38.913475,0.977584,49.991315,68.992751
23,0.000002,3.751600,0.448920,38.543419,0.976322,47.228816,99.000000
24,0.000002,4.064800,0.445960,39.021837,0.978275,46.981509,69.222314
25,0.000003,4.000000,0.449280,38.867950,0.977598,51.026966,99.000000
26,0.000003,3.834000,0.442360,38.588630,0.976515,49.836259,71.036834
27,0.000003,4.180500,0.465600,38.476376,0.976568,48.236333,73.030384
28,0.000003,3.824500,0.433120,38.843384,0.977324,49.270106,72.521546
29,0.000003,4.542200,0.451040,38.632214,0.977244,49.341188,75.708180
30,0.000003,3.870900,0.437440,38.916026,0.977812,48.860697,99.000000
31,0.000003,3.812400,0.481520,38.749312,0.977629,48.820508,75.101065
32,0.000003,4.017800,0.438080,38.787989,0.977413,49.568523,75.685915
33,0.000003,3.923900,0.439480,38.692012,0.977102,49.638846,72.271417
34,0.000003,3.975600,0.492280,38.613778,0.976394,51.996695,69.463938
35,0.000004,3.886600,0.445040,38.548904,0.976428,51.111014,99.000000
36,0.000004,4.047500,0.486120,38.693177,0.976752,49.827007,78.824515
37,0.000004,3.751000,0.463920,38.581268,0.976756,49.844992,76.671532
38,0.000004,3.902000,0.470280,38.728566,0.976933,50.104250,74.941110
39,0.000004,3.837400,0.456240,38.614433,0.977075,48.847498,99.000000
40,0.000004,4.734000,0.446120,38.697209,0.976670,50.035429,75.768901
41,0.000004,4.093500,0.562040,38.376194,0.975619,47.229027,76.684307
42,0.000004,3.974000,0.452120,38.857480,0.977712,46.996311,79.272801
43,0.000004,4.197900,0.458160,38.708575,0.976998,51.042964,99.000000
44,0.000004,4.115200,0.440320,38.432523,0.975866,49.854410,99.000000
45,0.000005,4.547200,0.569560,38.351580,0.976119,48.223608,73.340756
46,0.000005,3.941900,0.464720,38.712102,0.976847,49.277667,76.691420
47,0.000005,4.085000,0.514800,38.514331,0.976804,49.342604,79.959486
48,0.000005,4.396700,0.443480,38.793650,0.977374,48.864928,72.115021
49,0.000005,4.335900,0.515240,38.637612,0.977209,48.818671,99.000000
50,0.000005,4.321300,0.444240,38.681917,0.977038,49.563050,71.561462
51,0.000005,4.049800,0.522400,38.586472,0.976709,49.636002,72.895464
52,0.000005,4.402900,0.456080,38.505416,0.975928,52.006301,79.817144
53,0.000005,3.923400,0.454240,38.437452,0.975907,51.120698,72.581597
54,0.000005,4.183200,0.468800,38.582491,0.976239,49.821266,99.000000
55,0.000006,4.056700,0.465840,38.488919,0.976300,49.903863,76.767014
56,0.000006,3.873800,0.455720,38.636817,0.976500,50.170568,99.000000
57,0.000006,4.756400,0.508640,38.534284,0.976721,48.839362,72.192080
58,0.000006,3.863100,0.447400,38.613301,0.976280,50.034156,77.444797
59,0.000006,4.358900,0.708480,38.310948,0.975316,47.223667,99.000000
60,0.000006,3.868800,0.446840,38.793647,0.977463,46.994730,73.285120
61,0.000006,4.115700,0.493160,38.647734,0.976744,51.073137,99.000000
62,0.000006,3.840000,0.446080,38.372959,0.975597,49.846399,71.766632
63,0.000006,4.108600,0.492560,38.306483,0.975929,48.215403,72.766893
64,0.000006,3.984600,0.459160,38.663207,0.976643,49.278355,99.000000
65,0.000007,4.208400,0.480200,38.474567,0.976620,49.381565,70.751656
66,0.000007,3.897900,0.473120,38.748999,0.977182,48.906559,99.000000
67,0.000007,4.015600,0.459640,38.596750,0.977033,48.812353,75.183282
68,0.000007,3.595200,0.648480,38.643901,0.976880,49.561928,71.588832
