frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.347800,0.461760,39.826174,0.981062,53.720486,73.032346
17,0.000002,4.124100,0.472840,39.828058,0.981109,53.508671,67.901178
18,0.000002,4.137300,0.460960,39.806393,0.981093,53.152834,99.000000
19,0.000002,4.821400,0.504760,39.857829,0.981388,52.761654,72.915910
20,0.000002,4.382800,0.447720,39.829137,0.981209,53.566094,99.000000
21,0.000002,4.362900,0.453040,39.812323,0.981218,52.724783,74.060954
22,0.000002,4.328200,0.492400,39.717306,0.980740,53.318139,68.992751
23,0.000002,4.588100,0.470840,39.741936,0.980828,52.568249,99.000000
24,0.000002,4.177200,0.488280,39.851520,0.981411,52.390790,69.222314
25,0.000003,3.880600,0.498080,39.796004,0.981033,53.444852,99.000000
26,0.000003,4.479300,0.481440,39.726854,0.980781,53.438163,71.036834
27,0.000003,4.270300,0.460040,39.733691,0.980937,52.674326,73.030384
28,0.000003,4.490300,0.453640,39.769738,0.980945,53.366116,72.521546
29,0.000003,4.329700,0.471680,39.752416,0.980948,53.193378,75.708180
30,0.000003,3.867700,0.469040,39.788459,0.981095,53.673972,99.000000
31,0.000003,4.123600,0.455400,39.805580,0.981350,52.287385,75.101065
32,0.000003,4.249400,0.451520,39.777731,0.981111,53.495403,75.685915
33,0.000003,4.498200,0.476160,39.777379,0.981112,52.489758,72.271417
34,0.000003,4.502200,0.449080,39.713097,0.980797,54.039497,69.463938
35,0.000004,4.318300,0.573080,39.691122,0.980713,53.845216,99.000000
36,0.000004,4.114300,0.456000,39.676603,0.980702,53.340588,78.824515
37,0.000004,4.214600,0.449680,39.762417,0.981152,52.842206,76.671532
38,0.000004,4.234200,0.455680,39.749358,0.981031,53.686337,74.941110
39,0.000004,4.188000,0.469680,39.750588,0.981135,52.765094,99.000000
40,0.000004,5.493700,0.454280,39.641198,0.980535,53.408605,75.768901
41,0.000004,3.885200,0.539280,39.689754,0.980758,52.569271,76.684307
42,0.000004,4.048300,0.460760,39.804883,0.981373,52.432440,76.886703
43,0.000004,4.234800,0.431280,39.744724,0.980950,53.468695,80.626225
44,0.000004,4.395100,0.479120,39.672019,0.980644,53.463765,99.000000
45,0.000005,4.754400,0.459200,39.699606,0.980925,52.644046,73.340756
46,0.000005,4.298400,0.516600,39.729997,0.980876,53.390205,76.691420
47,0.000005,4.088600,0.528880,39.719854,0.980911,53.185717,79.959486
48,0.000005,5.041400,0.442480,39.745620,0.981008,53.692805,72.115021
49,0.000005,4.041700,0.457600,39.771348,0.981294,52.280756,99.000000
50,0.000005,4.450700,0.536960,39.749129,0.981088,53.476369,71.561462
51,0.000005,4.109800,0.445880,39.740773,0.981054,52.501265,72.895464
52,0.000005,3.978000,0.610560,39.671635,0.980675,54.057649,79.817144
53,0.000005,4.183300,0.500080,39.643743,0.980557,53.863362,72.581597
