frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.078000,0.504160,39.774503,0.980750,53.562120,73.032346
17,0.000002,3.849500,0.450680,39.777995,0.980792,53.349933,67.901178
18,0.000002,4.202900,0.446080,39.752252,0.980743,53.006086,99.000000
19,0.000002,3.831700,0.452880,39.804805,0.981037,52.643838,72.915910
20,0.000002,3.906500,0.479480,39.772281,0.980851,53.389634,99.000000
21,0.000002,4.216400,0.450800,39.753400,0.980842,52.567675,74.060954
22,0.000002,3.717900,0.437080,39.660884,0.980366,53.186121,68.992751
23,0.000002,4.125900,0.505600,39.685087,0.980449,52.420548,99.000000
24,0.000002,3.969700,0.430160,39.792020,0.981038,52.337592,69.222314
25,0.000003,4.093200,0.506840,39.738797,0.980674,53.321333,99.000000
26,0.000003,3.865200,0.436800,39.671084,0.980427,53.295038,71.036834
27,0.000003,4.010100,0.478720,39.678657,0.980592,52.543469,73.030384
28,0.000003,4.285100,0.445800,39.716775,0.980610,53.211648,72.521546
29,0.000003,4.153800,0.443920,39.694564,0.980577,53.017967,75.708180
30,0.000003,4.313600,0.446800,39.726613,0.980703,53.475113,99.000000
31,0.000003,3.774600,0.435840,39.740803,0.980947,52.133052,75.101065
32,0.000003,3.905700,0.442160,39.715362,0.980719,53.357144,75.685915
33,0.000003,3.735000,0.432160,39.720788,0.980725,52.382213,72.271417
34,0.000003,4.580400,0.532920,39.659460,0.980420,53.912420,69.463938
35,0.000004,4.372500,0.444640,39.641176,0.980351,53.720104,99.000000
36,0.000004,4.156300,0.434480,39.623239,0.980315,53.209095,78.824515
37,0.000004,4.168000,0.465320,39.709703,0.980764,52.736910,76.671532
38,0.000004,4.149900,0.545680,39.693052,0.980639,53.530537,74.941110
39,0.000004,4.172200,0.457800,39.692568,0.980728,52.623382,99.000000
40,0.000004,5.705300,0.531960,39.586473,0.980140,53.285984,75.768901
41,0.000004,4.691800,0.453680,39.634000,0.980356,52.431746,76.684307
42,0.000004,4.293900,0.470400,39.747301,0.980982,52.367159,79.272801
43,0.000004,4.589000,0.475880,39.689905,0.980576,53.351287,99.000000
44,0.000004,4.132400,0.436960,39.618416,0.980279,53.318163,99.000000
45,0.000005,4.393500,0.460960,39.645739,0.980565,52.519548,73.340756
46,0.000005,4.717300,0.440400,39.678806,0.980532,53.236009,76.691420
47,0.000005,4.337000,0.466920,39.663427,0.980531,53.014732,79.959486
48,0.000005,4.090900,0.480160,39.685851,0.980610,53.494575,72.115021
49,0.000005,4.285400,0.482400,39.708417,0.980885,52.127953,99.000000
50,0.000005,4.493700,0.506600,39.688675,0.980692,53.343528,71.561462
51,0.000005,4.181400,0.512960,39.685934,0.980664,52.387783,72.895464
52,0.000005,4.725700,0.473400,39.619872,0.980299,53.929137,79.817144
53,0.000005,7.321100,0.450920,39.595895,0.980198,53.734878,72.581597
54,0.000005,4.875100,0.495600,39.580819,0.980166,53.217538,99.000000
55,0.000006,5.284200,0.470760,39.677542,0.980660,52.712439,76.767014
56,0.000006,4.459400,0.452600,39.665537,0.980549,53.523597,99.000000
57,0.000006,4.598300,0.458200,39.667481,0.980665,52.615971,72.192080
58,0.000006,4.449500,0.477720,39.558234,0.980047,53.289319,77.444797
59,0.000006,4.441500,0.444760,39.612247,0.980304,52.413686,99.000000
60,0.000006,4.532200,0.460880,39.729758,0.980951,52.367666,73.285120
61,0.000006,4.621100,0.464840,39.672392,0.980536,53.418145,99.000000
62,0.000006,4.293400,0.467080,39.598500,0.980224,53.308072,71.766632
63,0.000006,4.231500,0.585840,39.634887,0.980548,52.505916,72.766893
64,0.000006,3.980100,0.446040,39.665074,0.980496,53.242955,99.000000
65,0.000007,4.264000,0.452600,39.651577,0.980507,53.015619,70.751656
66,0.000007,4.215400,0.451760,39.672615,0.980576,53.500781,99.000000
67,0.000007,4.089900,0.453120,39.697574,0.980861,52.123462,75.183282
68,0.000007,3.941500,0.445600,39.680127,0.980678,53.343974,71.588832
69,0.000007,3.996700,0.447720,39.674934,0.980639,52.398553,99.000000
70,0.000007,3.913100,0.453480,39.606808,0.980260,53.939462,75.834940
71,0.000007,4.502100,0.547880,39.582467,0.980148,53.750540,99.000000
72,0.000007,4.297200,0.437080,39.568149,0.980119,53.212973,72.201920
73,0.000007,3.923000,0.456440,39.666274,0.980623,52.712282,99.000000
74,0.000007,3.870500,0.453680,39.656591,0.980520,53.529607,77.556186
75,0.000008,3.930100,0.458480,39.662042,0.980645,52.615416,71.990308
76,0.000008,4.159200,0.453360,39.551961,0.980018,53.287370,91.188487
77,0.000008,3.785100,0.453440,39.608993,0.980287,52.417174,72.680997
78,0.000008,3.541200,0.457720,39.727571,0.980937,52.375240,99.000000
79,0.000008,4.488400,0.462400,39.670795,0.980521,53.421668,76.231008
80,0.000008,4.075000,0.436760,39.596180,0.980204,53.304086,69.613790
81,0.000008,4.332900,0.465440,39.632695,0.980540,52.504385,77.723258
82,0.000008,3.622100,0.437080,39.663187,0.980487,53.247646,99.000000
83,0.000008,4.313300,0.448160,39.647526,0.980497,53.008090,99.000000
84,0.000008,3.579100,0.444960,39.667940,0.980561,53.502484,74.827872
85,0.000009,3.870800,0.502520,39.694175,0.980847,52.129676,99.000000
86,0.000009,4.305200,0.449920,39.678525,0.980674,53.351013,74.604452
87,0.000009,3.946400,0.441680,39.675224,0.980637,52.348162,73.435798
88,0.000009,4.264700,0.463080,39.604727,0.980250,53.947481,99.000000
89,0.000009,3.557000,0.438400,39.578518,0.980136,53.763904,71.802797
90,0.000009,4.111500,0.458720,39.564534,0.980105,53.164445,99.000000
91,0.000009,3.685400,0.453320,39.663264,0.980614,52.708523,78.072730
92,0.000009,4.197800,0.643600,39.652606,0.980512,53.523288,72.436509
93,0.000009,3.989300,0.443600,39.658992,0.980643,52.620586,99.000000
94,0.000010,4.035500,0.470640,39.550844,0.980013,53.291171,74.319843
95,0.000010,3.876100,0.438240,39.608832,0.980288,52.421200,99.000000
96,0.000010,3.871600,0.446720,39.725509,0.980940,52.370575,76.127832
97,0.000010,4.312300,0.444320,39.669460,0.980522,53.425243,73.672821
98,0.000010,3.977600,0.436880,39.594904,0.980202,53.309308,99.000000
99,0.000010,4.045100,0.451920,39.630554,0.980541,52.500559,74.636908
100,0.000010,3.925200,0.457440,39.660698,0.980486,53.244910,99.000000
101,0.000010,3.998800,0.458200,39.645507,0.980500,53.007330,75.469163
102,0.000010,4.406000,0.436840,39.665863,0.980562,53.494858,99.000000
103,0.000010,3.962300,0.456080,39.692316,0.980849,52.125847,75.204506
104,0.000011,4.138600,0.455880,39.674921,0.980672,53.348931,71.884187
105,0.000011,4.072600,0.455480,39.672833,0.980635,52.329912,99.000000
106,0.000011,3.945600,0.508760,39.601858,0.980247,53.946667,78.469060
107,0.000011,3.885900,0.457800,39.575958,0.980129,53.756901,99.000000
108,0.000011,4.170800,0.438840,39.563071,0.980100,53.168637,72.101316
109,0.000011,3.930600,0.469640,39.663310,0.980613,52.716151,74.157244
110,0.000011,3.926800,0.430080,39.653885,0.980513,53.532825,99.000000
111,0.000011,3.941400,0.461240,39.659558,0.980641,52.604742,73.696138
112,0.000011,4.088700,0.477400,39.549717,0.980008,53.288874,99.000000
113,0.000011,3.987800,0.479360,39.606800,0.980282,52.414996,77.863044
114,0.000012,3.830000,0.442440,39.725636,0.980933,52.369101,75.597912
115,0.000012,3.759000,0.460360,39.666880,0.980513,53.422389,99.000000
116,0.000012,3.983600,0.433880,39.592081,0.980194,53.308920,75.801332
117,0.000012,4.084400,0.484120,39.629528,0.980535,52.501451,99.000000
118,0.000012,4.277700,0.432000,39.658901,0.980479,53.238675,77.197737
119,0.000012,3.695500,0.525840,39.644317,0.980490,53.003610,99.000000
