frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.067600,0.427880,37.294016,0.975653,38.804470,73.032346
17,0.000002,4.221700,0.448560,37.656641,0.976383,38.849148,67.901178
18,0.000002,3.775100,0.414360,37.475394,0.975988,38.803232,99.000000
19,0.000002,4.404600,0.440680,37.310345,0.976070,37.205483,72.915910
20,0.000002,3.794200,0.420080,37.624363,0.976215,37.888229,99.000000
21,0.000002,4.140000,0.437560,37.441643,0.976112,37.726844,74.060954
22,0.000002,3.750500,0.441760,37.480795,0.975741,37.969034,68.992751
23,0.000002,3.969400,0.463280,37.826435,0.976466,38.089507,99.000000
24,0.000002,4.209000,0.456120,37.619446,0.976581,39.675726,69.222314
25,0.000003,4.007800,0.425360,37.647369,0.976255,38.505796,99.000000
26,0.000003,3.979100,0.480320,37.452399,0.975746,37.983056,71.036834
27,0.000003,3.964100,0.438360,37.194013,0.975504,37.462244,73.030384
28,0.000003,3.786400,0.640560,37.576445,0.976048,37.237898,72.521546
29,0.000003,3.945800,0.438680,37.211769,0.975437,37.050611,75.708180
30,0.000003,3.851100,0.466560,37.443637,0.975881,38.143967,99.000000
31,0.000003,4.087900,0.435040,37.676716,0.976628,37.566581,75.101065
32,0.000003,3.787400,0.422840,37.489355,0.975927,39.855585,75.685915
33,0.000003,4.000400,0.444800,37.736771,0.976527,38.079615,72.271417
34,0.000003,3.647800,0.434600,37.253488,0.975288,38.819654,69.463938
35,0.000004,3.640900,0.469640,37.595390,0.975925,38.865129,99.000000
36,0.000004,3.912200,0.447400,37.421594,0.975529,38.814655,78.824515
37,0.000004,3.706100,0.417240,37.265453,0.975750,37.204942,76.671532
38,0.000004,3.821800,0.705120,37.582852,0.975951,37.890803,74.941110
39,0.000004,3.935800,0.439920,37.412032,0.975939,37.726503,99.000000
40,0.000004,4.498300,0.420680,37.444933,0.975479,37.970443,75.768901
41,0.000004,3.745600,0.441720,37.794123,0.976326,38.088489,76.684307
42,0.000004,3.672100,0.438000,37.591519,0.976473,39.680207,79.272801
43,0.000004,3.872100,0.439200,37.618987,0.976115,38.502688,99.000000
44,0.000004,3.933600,0.428280,37.428370,0.975574,37.981375,99.000000
45,0.000005,3.741200,0.420640,37.178372,0.975445,37.463789,73.340756
46,0.000005,3.882900,0.443040,37.557622,0.975946,37.240145,76.691420
47,0.000005,3.958300,0.429280,37.197939,0.975371,37.051877,79.959486
48,0.000005,3.661000,0.423120,37.429577,0.975777,38.151748,72.115021
49,0.000005,4.251800,0.442480,37.659328,0.976549,37.569652,99.000000
50,0.000005,3.802100,0.427040,37.476102,0.975883,39.854742,71.561462
51,0.000005,3.772200,0.462400,37.719345,0.976455,38.079536,72.895464
52,0.000005,3.939600,0.447200,37.236814,0.975166,38.819723,79.817144
53,0.000005,3.887900,0.419320,37.572902,0.975771,38.853381,72.581597
54,0.000005,4.118700,0.664560,37.404304,0.975378,38.816002,99.000000
55,0.000006,3.644100,0.456080,37.252298,0.975639,37.206486,76.767014
56,0.000006,3.649700,0.455520,37.570115,0.975852,37.888084,99.000000
57,0.000006,4.051600,0.451360,37.399084,0.975864,37.724750,72.192080
58,0.000006,3.728100,0.432960,37.422713,0.975369,37.965871,77.444797
59,0.000006,3.716600,0.465440,37.778790,0.976261,38.082023,99.000000
60,0.000006,3.805700,0.434320,37.578457,0.976423,39.673955,73.285120
61,0.000006,3.550400,0.421360,37.608686,0.976057,38.503539,99.000000
62,0.000006,3.988800,0.443560,37.419398,0.975513,37.980323,71.766632
63,0.000006,4.008900,0.444360,37.176048,0.975424,37.467328,72.766893
64,0.000006,3.653700,0.417840,37.546105,0.975894,37.237013,99.000000
65,0.000007,3.910500,0.453520,37.192362,0.975335,37.051865,70.751656
66,0.000007,3.999900,0.416720,37.423972,0.975738,38.154629,99.000000
67,0.000007,3.874600,0.462160,37.650960,0.976516,37.560028,75.183282
68,0.000007,4.066400,0.451280,37.470476,0.975869,39.851467,71.588832
69,0.000007,3.668200,0.422360,37.713090,0.976423,38.079161,99.000000
70,0.000007,4.303700,0.445760,37.240417,0.975131,38.827819,75.834940
71,0.000007,3.878200,0.446920,37.565157,0.975717,38.854520,99.000000
72,0.000007,3.814600,0.430560,37.398222,0.975327,38.810874,72.201920
73,0.000007,3.745900,0.433120,37.246568,0.975595,37.208571,99.000000
74,0.000007,3.749500,0.429680,37.559910,0.975814,37.881044,77.556186
75,0.000008,3.846100,0.419440,37.396431,0.975845,37.719785,71.990308
76,0.000008,3.720200,0.446320,37.418781,0.975339,37.959743,91.188487
77,0.000008,3.751300,0.420680,37.780864,0.976246,38.072719,72.680997
78,0.000008,3.959700,0.648840,37.576498,0.976409,39.672023,99.000000
79,0.000008,3.842100,0.440640,37.605930,0.976036,38.499107,76.231008
80,0.000008,3.908300,0.444680,37.419393,0.975499,37.982458,69.613790
81,0.000008,3.927700,0.426400,37.173440,0.975414,37.467510,77.723258
82,0.000008,3.844800,0.434400,37.544787,0.975881,37.233833,99.000000
83,0.000008,3.810800,0.674320,37.197066,0.975326,37.049626,99.000000
84,0.000008,3.590400,0.439040,37.420849,0.975720,38.156040,74.827872
85,0.000009,4.307100,0.438080,37.644976,0.976500,37.558473,99.000000
86,0.000009,3.722400,0.424080,37.462698,0.975857,39.847659,74.604452
87,0.000009,3.863900,0.416400,37.716834,0.976421,38.077946,73.435798
88,0.000009,4.020200,0.423560,37.239880,0.975119,38.832387,99.000000
89,0.000009,3.766600,0.441960,37.564359,0.975704,38.861123,71.802797
90,0.000009,3.747200,0.427680,37.399627,0.975318,38.812026,99.000000
91,0.000009,3.891500,0.428200,37.244277,0.975580,37.206071,78.072730
92,0.000009,4.093300,0.434680,37.555553,0.975802,37.881266,72.436509
93,0.000009,3.940700,0.423720,37.397286,0.975845,37.717702,99.000000
94,0.000010,3.745300,0.421680,37.418885,0.975332,37.955357,74.319843
95,0.000010,3.815200,0.431560,37.779820,0.976245,38.067470,99.000000
96,0.000010,3.987200,0.421960,37.574139,0.976411,39.680092,76.127832
97,0.000010,3.922600,0.443600,37.606993,0.976041,38.506465,73.672821
98,0.000010,3.735300,0.423960,37.421846,0.975501,37.987485,99.000000
99,0.000010,3.598500,0.417000,37.172210,0.975410,37.470061,74.636908
100,0.000010,3.985900,0.433800,37.540800,0.975872,37.230024,99.000000
101,0.000010,3.897400,0.645120,37.198132,0.975326,37.047994,75.469163
102,0.000010,4.116300,0.439760,37.416864,0.975714,38.154115,99.000000
103,0.000010,3.924100,0.456840,37.637919,0.976485,37.550717,73.582165
104,0.000011,3.780100,0.419880,37.458181,0.975851,39.836413,71.053299
105,0.000011,4.351800,0.454400,37.715477,0.976415,38.067540,99.000000
106,0.000011,3.775100,0.425920,37.246572,0.975119,38.840063,78.469060
107,0.000011,4.111400,0.424200,37.562748,0.975695,38.865640,99.000000
108,0.000011,3.950200,0.458080,37.396690,0.975308,38.806276,72.101316
109,0.000011,3.929300,0.457800,37.243440,0.975575,37.206816,73.299043
110,0.000011,3.716100,0.420480,37.554430,0.975796,37.881357,80.763029
111,0.000011,4.125600,0.467400,37.400166,0.975844,37.718566,73.696138
112,0.000011,3.918100,0.433480,37.409134,0.975310,37.943780,99.000000
113,0.000011,3.783100,0.439960,37.776066,0.976233,38.055704,77.863044
114,0.000012,3.946000,0.460680,37.573909,0.976405,39.699347,75.597912
115,0.000012,3.921000,0.428840,37.601024,0.976027,38.508725,99.000000
116,0.000012,3.953500,0.426400,37.411123,0.975477,37.987928,75.801332
117,0.000012,3.908700,0.432360,37.172193,0.975404,37.465754,99.000000
118,0.000012,3.951000,0.435240,37.542820,0.975868,37.228204,77.197737
119,0.000012,3.802600,0.437640,37.197328,0.975321,37.046726,99.000000
