frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,3.826500,0.436520,39.743867,0.980172,54.246051,73.032346
17,0.000002,3.968200,0.496440,39.746213,0.980177,54.186632,67.901178
18,0.000002,3.866500,0.459400,39.724597,0.980129,54.013417,99.000000
19,0.000002,3.826900,0.482600,39.778962,0.980432,53.994032,71.826230
20,0.000002,3.834900,0.442000,39.739252,0.980224,54.440200,78.364537
21,0.000002,3.751400,0.432680,39.751219,0.980322,54.253184,74.060954
22,0.000002,3.892100,0.747680,39.631455,0.979753,54.680584,68.992751
23,0.000002,3.899700,0.452960,39.687226,0.979945,54.233818,99.000000
24,0.000002,3.792100,0.432120,39.767083,0.980415,53.531178,69.222314
25,0.000003,3.995000,0.449160,39.713413,0.980063,54.711996,99.000000
26,0.000003,3.666400,0.431680,39.634867,0.979775,54.402786,71.036834
27,0.000003,3.785100,0.475240,39.683509,0.980034,54.418418,73.030384
28,0.000003,4.079000,0.452760,39.679916,0.979941,54.864270,72.521546
29,0.000003,4.101500,0.444640,39.676910,0.980004,54.314866,75.708180
30,0.000003,3.974800,0.468920,39.697662,0.980058,54.497893,99.000000
31,0.000003,3.851800,0.448040,39.736561,0.980352,53.651756,75.101065
32,0.000003,3.864300,0.510640,39.699481,0.980078,54.505782,75.685915
33,0.000003,3.812000,0.448040,39.699326,0.980133,54.037391,72.271417
34,0.000003,3.679200,0.441160,39.627427,0.979755,54.649052,69.463938
35,0.000004,3.801700,0.516080,39.608720,0.979668,54.626341,99.000000
36,0.000004,4.319100,0.447360,39.592931,0.979625,54.244440,78.824515
37,0.000004,3.884500,0.431760,39.683041,0.980099,54.110262,76.671532
38,0.000004,4.145900,0.453160,39.656771,0.979943,54.612921,73.799623
39,0.000004,3.691000,0.444880,39.686832,0.980143,54.318379,80.161007
40,0.000004,4.934200,0.499960,39.554884,0.979474,54.813655,75.768901
41,0.000004,3.844800,0.445640,39.633490,0.979801,54.241298,76.684307
42,0.000004,4.023600,0.453560,39.722336,0.980312,53.580532,79.272801
43,0.000004,3.996100,0.444000,39.664685,0.979925,54.753151,99.000000
44,0.000004,3.835500,0.495240,39.581143,0.979592,54.436530,99.000000
45,0.000005,3.933400,0.452800,39.650583,0.979972,54.383188,73.340756
46,0.000005,3.818300,0.426520,39.642510,0.979833,54.900383,76.691420
47,0.000005,3.907400,0.522560,39.646164,0.979932,54.318985,79.959486
48,0.000005,4.299500,0.467280,39.657420,0.979940,54.521762,72.115021
49,0.000005,3.742400,0.434600,39.704554,0.980268,53.642789,99.000000
50,0.000005,4.072200,0.468000,39.673037,0.980027,54.490519,71.561462
51,0.000005,3.753000,0.432720,39.665112,0.980051,54.049258,72.895464
52,0.000005,3.911800,0.512000,39.588406,0.979618,54.662500,79.817144
53,0.000005,4.041100,0.451520,39.564147,0.979501,54.649493,72.581597
54,0.000005,3.946500,0.438040,39.550814,0.979459,54.250072,99.000000
55,0.000006,4.207900,0.448080,39.650917,0.979978,54.070827,76.767014
56,0.000006,3.674600,0.444040,39.630053,0.979840,54.603891,99.000000
57,0.000006,3.862100,0.519160,39.661699,0.980063,54.308377,72.192080
58,0.000006,4.206600,0.443880,39.526791,0.979366,54.817680,77.444797
59,0.000006,3.719600,0.434800,39.611578,0.979734,54.220775,99.000000
60,0.000006,3.810200,0.453040,39.704590,0.980265,53.577681,73.285120
61,0.000006,3.742200,0.432160,39.646999,0.979871,54.750355,99.000000
62,0.000006,4.051700,0.524600,39.561559,0.979526,54.435528,71.766632
63,0.000006,3.873100,0.446360,39.639351,0.979943,54.369803,72.766893
64,0.000006,3.695000,0.435760,39.628672,0.979787,54.908912,99.000000
65,0.000007,4.066100,0.515600,39.634210,0.979897,54.313714,70.751656
66,0.000007,3.908900,0.431000,39.644303,0.979896,54.528316,99.000000
67,0.000007,3.808600,0.439440,39.693909,0.980235,53.636093,75.183282
68,0.000007,3.952900,0.456560,39.664395,0.980004,54.491838,71.588832
69,0.000007,3.739700,0.442280,39.652978,0.980018,54.055887,99.000000
70,0.000007,3.825700,0.458840,39.574739,0.979572,54.684180,75.834940
71,0.000007,3.570800,0.443960,39.550333,0.979446,54.662654,99.000000
72,0.000007,3.973500,0.435320,39.537057,0.979408,54.253396,72.201920
73,0.000007,3.721300,0.453880,39.638704,0.979938,54.074377,99.000000
74,0.000007,4.105600,0.452920,39.619928,0.979806,54.612318,77.556186
75,0.000008,4.066800,0.437360,39.655167,0.980040,54.310544,71.990308
76,0.000008,3.694600,0.526080,39.519692,0.979335,54.816238,91.188487
77,0.000008,3.906900,0.447560,39.607442,0.979714,54.223336,72.680997
78,0.000008,3.894500,0.447040,39.702193,0.980249,53.585930,99.000000
79,0.000008,3.861800,0.456600,39.645137,0.979854,54.756116,76.231008
80,0.000008,3.938100,0.435480,39.559006,0.979505,54.430870,69.613790
81,0.000008,3.521100,0.440960,39.637017,0.979934,54.369504,77.723258
82,0.000008,3.835100,0.450840,39.626592,0.979777,54.915809,99.000000
83,0.000008,3.778400,0.434600,39.629978,0.979886,54.299419,99.000000
84,0.000008,3.569800,0.463000,39.639238,0.979880,54.525493,74.827872
85,0.000009,4.074100,0.444240,39.690137,0.980222,53.646770,99.000000
86,0.000009,4.097400,0.434200,39.662788,0.980000,54.478892,74.604452
87,0.000009,3.809200,0.463640,39.652010,0.980013,54.062628,73.435798
88,0.000009,3.871200,0.452840,39.572558,0.979561,54.673826,99.000000
89,0.000009,3.697500,0.441440,39.546658,0.979433,54.671611,71.802797
90,0.000009,4.052100,0.462760,39.533787,0.979393,54.246184,99.000000
91,0.000009,3.807400,0.434360,39.636123,0.979927,54.067068,78.072730
92,0.000009,3.778800,0.464840,39.616296,0.979798,54.604530,72.436509
93,0.000009,3.829600,0.447160,39.652204,0.980036,54.314270,99.000000
94,0.000010,3.590900,0.441360,39.518883,0.979329,54.822298,74.319843
95,0.000010,4.066700,0.448760,39.607424,0.979714,54.227656,99.000000
96,0.000010,3.895400,0.437480,39.699953,0.980250,53.578035,76.127832
97,0.000010,3.659200,0.493160,39.643698,0.979853,54.760985,73.672821
98,0.000010,4.068800,0.470880,39.557487,0.979500,54.434731,99.000000
99,0.000010,4.087300,0.437680,39.634570,0.979933,54.359500,74.636908
100,0.000010,4.077800,0.492000,39.623817,0.979773,54.906903,99.000000
101,0.000010,4.240600,0.460040,39.627780,0.979886,54.300868,75.469163
102,0.000010,3.560500,0.442960,39.636860,0.979878,54.522992,99.000000
103,0.000010,3.720200,0.444960,39.687929,0.980221,53.641171,75.204506
104,0.000011,3.858000,0.437760,39.658886,0.979994,54.475859,71.884187
105,0.000011,3.747400,0.436560,39.649473,0.980008,54.039287,99.000000
106,0.000011,3.833300,0.461320,39.569437,0.979553,54.681127,78.469060
107,0.000011,3.763900,0.437240,39.543650,0.979422,54.670257,99.000000
108,0.000011,3.855700,0.452960,39.531958,0.979383,54.250893,72.101316
109,0.000011,3.971500,0.466680,39.635913,0.979922,54.077204,74.157244
110,0.000011,3.835100,0.438120,39.617401,0.979794,54.615016,99.000000
111,0.000011,3.782500,0.472040,39.653108,0.980032,54.297482,73.696138
112,0.000011,3.940000,0.486480,39.517920,0.979323,54.817514,99.000000
113,0.000011,3.818000,0.437800,39.605591,0.979707,54.218747,77.863044
114,0.000012,3.841400,0.438800,39.700384,0.980242,53.577992,75.597912
115,0.000012,3.848000,0.457840,39.641662,0.979845,54.758042,99.000000
116,0.000012,3.959900,0.437680,39.555192,0.979491,54.437634,75.801332
117,0.000012,3.796800,0.475200,39.634180,0.979925,54.368854,99.000000
118,0.000012,4.129400,0.462840,39.622620,0.979765,54.902332,77.197737
119,0.000012,3.798400,0.465040,39.627170,0.979877,54.303146,99.000000
