frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.111200,0.435440,39.172112,0.973009,53.137915,73.032346
17,0.000002,3.981500,0.497000,39.162356,0.972904,52.922141,67.901178
18,0.000002,3.898600,0.448800,39.137794,0.972851,52.578429,99.000000
19,0.000002,3.953300,0.792640,39.178030,0.973012,52.121772,72.915910
20,0.000002,4.193100,0.441000,39.159066,0.972849,52.920978,99.000000
21,0.000002,3.782000,0.435720,39.143666,0.972862,52.144889,74.060954
22,0.000002,3.861500,0.454920,39.072969,0.972482,52.719751,68.992751
23,0.000002,3.965200,0.437640,39.089006,0.972505,51.977286,99.000000
24,0.000002,4.081600,0.486480,39.167685,0.972868,51.749226,69.222314
25,0.000003,3.837700,0.464720,39.129206,0.972588,52.895919,99.000000
26,0.000003,3.805900,0.429600,39.067576,0.972355,52.707858,71.036834
27,0.000003,3.948700,0.506320,39.068003,0.972479,52.101399,73.030384
28,0.000003,3.790300,0.445160,39.110190,0.972537,52.747419,72.521546
29,0.000003,4.072600,0.451840,39.097182,0.972526,52.625483,75.708180
30,0.000003,3.611300,0.460040,39.123531,0.972618,52.824695,99.000000
31,0.000003,3.633400,0.428840,39.125980,0.972737,51.689185,75.101065
32,0.000003,3.882100,0.507880,39.108265,0.972575,52.932984,75.685915
33,0.000003,4.308500,0.448760,39.113692,0.972567,51.936836,72.271417
34,0.000003,3.667100,0.437440,39.067197,0.972330,53.420580,69.463938
35,0.000004,3.820800,0.452200,39.045596,0.972210,53.177348,99.000000
36,0.000004,3.711600,0.433080,39.026611,0.972160,52.684628,78.824515
37,0.000004,3.755500,0.471960,39.095923,0.972500,52.173179,76.671532
38,0.000004,3.944600,0.465320,39.088945,0.972402,52.982036,74.941110
39,0.000004,3.606100,0.433120,39.087715,0.972508,52.169000,99.000000
40,0.000004,5.025400,0.502480,39.008375,0.972069,52.779352,75.768901
41,0.000004,3.544300,0.454680,39.043627,0.972223,51.970461,76.684307
42,0.000004,3.766200,0.494800,39.127886,0.972632,51.780921,79.272801
43,0.000004,3.835100,0.428880,39.087281,0.972342,52.912895,99.000000
44,0.000004,3.640400,0.434480,39.023376,0.972079,52.728632,99.000000
45,0.000005,3.747200,0.506360,39.039203,0.972313,52.076740,73.340756
46,0.000005,4.173800,0.463960,39.078872,0.972348,52.760438,76.691420
47,0.000005,3.947300,0.435080,39.071819,0.972380,52.622016,79.959486
48,0.000005,3.929100,0.718480,39.090468,0.972433,52.838064,72.115021
49,0.000005,3.572900,0.459360,39.100315,0.972594,51.687198,99.000000
50,0.000005,3.750300,0.572040,39.086029,0.972460,52.921062,71.561462
51,0.000005,3.873600,0.455800,39.085555,0.972434,51.942609,72.895464
52,0.000005,3.690200,0.434240,39.035890,0.972158,53.427758,79.817144
53,0.000005,3.563500,0.542080,39.009737,0.972020,53.193916,72.581597
54,0.000005,3.704800,0.437560,38.992053,0.971965,52.692893,99.000000
55,0.000006,3.715000,0.434840,39.069968,0.972351,52.152354,76.767014
