frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,3.917500,0.359760,38.924913,0.968011,57.972748,73.032346
17,0.000002,3.925200,0.331640,38.931028,0.967942,57.651460,67.901178
18,0.000002,3.965300,0.385720,38.886437,0.967621,58.367075,99.000000
19,0.000002,3.918700,0.349200,38.888303,0.967507,57.978338,72.915910
20,0.000002,3.827200,0.386280,38.858059,0.967269,58.841566,99.000000
21,0.000002,4.299000,0.368240,38.843313,0.967141,58.685311,74.060954
22,0.000002,3.827800,0.327360,38.809843,0.966998,59.169505,68.992751
23,0.000002,4.071800,0.355160,38.814172,0.966891,58.666241,99.000000
24,0.000002,3.848000,0.329600,38.817166,0.966814,57.705641,69.222314
25,0.000003,3.731100,0.395600,38.801047,0.966721,59.554643,99.000000
26,0.000003,4.376700,0.342120,38.759604,0.966575,59.145416,71.036834
27,0.000003,3.660200,0.332440,38.764371,0.966551,59.009752,73.030384
28,0.000003,4.070900,0.350440,38.775777,0.966599,58.942051,72.521546
29,0.000003,3.791200,0.326200,38.775359,0.966599,58.827686,75.708180
30,0.000003,3.822200,0.356840,38.793252,0.966619,58.757270,99.000000
31,0.000003,3.844600,0.350600,38.781246,0.966559,58.113877,75.101065
32,0.000003,4.060000,0.335560,38.767113,0.966449,59.436805,75.685915
33,0.000003,4.141600,0.347280,38.752306,0.966374,58.452141,72.271417
34,0.000003,3.844200,0.343600,38.725457,0.966266,59.524418,69.463938
35,0.000004,3.545700,0.359200,38.732746,0.966309,58.971810,99.000000
36,0.000004,3.830300,0.340520,38.719635,0.966231,58.990600,78.824515
37,0.000004,3.514800,0.340600,38.741407,0.966293,58.533559,76.671532
38,0.000004,3.789400,0.355400,38.731114,0.966226,59.226268,74.941110
39,0.000004,3.545900,0.345200,38.730948,0.966235,58.956925,99.000000
40,0.000004,3.701900,0.334160,38.702757,0.966146,59.439699,75.768901
41,0.000004,4.798300,0.354080,38.720046,0.966149,58.796133,76.684307
42,0.000004,3.705400,0.347360,38.734679,0.966167,57.930323,79.272801
43,0.000004,4.098600,0.357600,38.720981,0.966105,59.604993,99.000000
44,0.000004,3.814600,0.346640,38.684734,0.965994,59.210512,99.000000
45,0.000005,3.583900,0.336440,38.699170,0.966039,59.066031,73.340756
