frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.566678,1.338200,0.028720,28.106985,0.952987,22.892275,0.808177,0.995764
17,0.600012,1.243800,0.028320,27.858402,0.950443,22.784858,0.804832,0.995723
18,0.633346,1.197300,0.028640,28.315515,0.952991,22.913040,0.807894,0.995710
19,0.666680,1.235100,0.028160,28.363116,0.951853,22.837812,0.805048,0.995696
20,0.700014,1.087100,0.032080,28.368993,0.951916,22.785213,0.804572,0.995687
21,0.733348,0.894800,0.028400,27.966847,0.950607,22.629121,0.801819,0.995671
22,0.766682,1.382700,0.028200,27.795528,0.950859,22.602046,0.801453,0.995660
23,0.800016,1.291300,0.028160,27.783221,0.949075,22.446932,0.797918,0.995648
24,0.833350,1.069600,0.028520,27.799532,0.948686,22.399858,0.796850,0.995639
25,0.866684,1.233800,0.028840,27.750635,0.948201,22.356850,0.797591,0.995629
26,0.900018,1.108400,0.028560,27.813496,0.948796,22.482582,0.798279,0.995613
27,0.933352,1.283300,0.028120,27.654604,0.948276,22.451694,0.797284,0.995600
28,0.966686,1.270000,0.028440,27.888449,0.950700,22.425238,0.797978,0.995600
29,1.000020,1.254600,0.028160,27.899056,0.950324,22.470137,0.798661,0.995588
30,1.033354,1.467100,0.028800,28.001976,0.950272,22.510112,0.798671,0.995583
31,1.066688,1.252900,0.028280,28.366429,0.950843,22.654584,0.799536,0.995567
32,1.100022,1.559000,0.028880,28.327876,0.950055,22.666259,0.799474,0.995567
33,1.133356,1.236800,0.028600,27.692057,0.949331,22.548691,0.799401,0.995548
34,1.166690,0.948400,0.029480,27.453615,0.946940,22.534958,0.799046,0.995532
35,1.200024,1.480500,0.034360,27.435091,0.946821,22.764889,0.800429,0.995517
36,1.233358,1.625600,0.031240,27.711891,0.949206,22.842383,0.803416,0.995523
37,1.266692,1.249100,0.049680,27.684793,0.949127,22.743998,0.804024,0.995505
38,1.300026,1.098700,0.053480,27.929375,0.949651,22.800548,0.804434,0.995494
39,1.333360,1.189000,0.029120,28.346692,0.950070,22.886671,0.805629,0.995488
40,1.366694,1.148900,0.028760,27.625666,0.949593,22.692589,0.804331,0.995486
41,1.400028,1.251400,0.028120,27.552818,0.947439,22.720081,0.803768,0.995476
42,1.433362,1.097800,0.028440,27.562498,0.947949,22.758306,0.804585,0.995465
43,1.466696,1.222100,0.028720,27.562713,0.948128,22.780736,0.806343,0.995457
44,1.500030,1.236700,0.028280,27.649295,0.949250,22.847504,0.807996,0.995451
45,1.533364,1.325700,0.028640,27.687989,0.949823,23.031206,0.811108,0.995442
46,1.566698,1.172500,0.028480,27.731382,0.950209,23.015464,0.810915,0.995430
47,1.600032,1.246200,0.028840,27.792120,0.950835,23.007454,0.810861,0.995424
48,1.633366,1.225400,0.028320,27.813349,0.951069,23.023940,0.811879,0.995421
49,1.666700,0.981600,0.030880,28.093298,0.953840,23.036002,0.812772,0.995413
50,1.700034,1.092100,0.030280,28.069602,0.954087,23.018156,0.812987,0.995397
51,1.733368,1.293400,0.027920,28.115724,0.954462,23.247038,0.814677,0.995397
52,1.766702,1.482200,0.028440,28.631270,0.957648,23.277206,0.816415,0.995394
53,1.800036,1.183500,0.028400,28.693396,0.957424,23.191865,0.814434,0.995392
54,1.833370,0.955700,0.028680,28.662010,0.956877,23.188433,0.814092,0.995380
55,1.866704,0.992000,0.027960,29.110897,0.957497,23.175533,0.812282,0.995378
56,1.900038,1.125900,0.028440,27.972412,0.956070,22.875983,0.810832,0.995367
57,1.933372,1.179700,0.028000,27.683889,0.952899,22.811031,0.808021,0.995355
58,1.966706,1.020800,0.027960,27.842636,0.952518,22.826080,0.807376,0.995355
59,2.000040,1.213500,0.029360,27.683808,0.952214,22.792257,0.807412,0.995349
60,2.033374,1.074000,0.028680,27.681409,0.952186,22.819396,0.808093,0.995336
61,2.066708,1.215900,0.028440,27.603877,0.951431,22.815288,0.807788,0.995334
62,2.100042,1.176900,0.028360,27.596971,0.951670,22.855764,0.808313,0.995328
63,2.133376,1.125900,0.028720,27.626128,0.951654,22.875843,0.808207,0.995324
64,2.166710,1.050100,0.029080,27.711013,0.951925,22.911069,0.809510,0.995314
65,2.200044,1.355500,0.028200,27.856316,0.952806,23.160267,0.810741,0.995305
66,2.233378,1.597300,0.028480,27.944857,0.953255,23.027215,0.809950,0.995285
67,2.266712,1.094200,0.028520,27.924658,0.953674,23.026805,0.811067,0.995260
68,2.300046,0.995700,0.029040,28.235313,0.954398,23.008781,0.807813,0.995247
69,2.333380,1.217700,0.028520,28.493461,0.955251,23.000375,0.806560,0.995243
70,2.366714,1.105300,0.029240,27.944562,0.954664,22.811736,0.805256,0.995226
71,2.400048,1.042100,0.028760,27.953652,0.953491,22.800211,0.804860,0.995210
72,2.433382,1.398200,0.028920,27.897483,0.953276,22.717082,0.803248,0.995220
73,2.466716,1.010600,0.028400,27.767574,0.952596,22.686358,0.802500,0.995251
74,2.500050,1.033000,0.028560,27.669850,0.951584,22.702019,0.802111,0.995282
