frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.070839,1.414500,0.028040,34.961508,0.986613,32.726303,0.979252,0.999689
17,0.075006,1.262400,0.028520,35.044076,0.986664,32.861015,0.979487,0.999689
18,0.079173,1.329300,0.027800,34.824109,0.986079,32.556480,0.978341,0.999689
19,0.083340,1.578800,0.027520,34.428414,0.985175,32.395140,0.978125,0.999689
20,0.087507,1.223400,0.028120,34.990435,0.986073,32.702122,0.978528,0.999689
21,0.091674,1.310800,0.027960,35.071284,0.986239,32.608671,0.978555,0.999689
22,0.095841,1.135000,0.028040,35.115743,0.986363,32.468497,0.977602,0.999689
23,0.100008,1.112000,0.027560,34.740858,0.985410,32.511968,0.977238,0.999689
24,0.104175,1.278000,0.028320,35.086312,0.986247,32.809695,0.978643,0.999689
25,0.108342,1.222500,0.028120,35.109907,0.986224,32.801670,0.978180,0.999689
26,0.112509,1.187200,0.027800,35.023071,0.986086,32.543063,0.977293,0.999689
27,0.116676,1.560100,0.027640,34.566922,0.985249,32.331543,0.976871,0.999689
28,0.120843,1.408000,0.028040,34.989380,0.986058,32.698318,0.977760,0.999689
29,0.125010,1.413700,0.027800,34.981286,0.985936,32.650162,0.977436,0.999687
30,0.129177,1.299500,0.028600,34.890289,0.985772,32.507955,0.977137,0.999687
31,0.133344,1.461600,0.027920,34.483023,0.984850,32.387991,0.976530,0.999687
32,0.137511,1.315000,0.028240,34.875109,0.985756,32.655576,0.977487,0.999687
33,0.141678,1.313200,0.027880,34.992821,0.986033,32.661602,0.977452,0.999687
34,0.145845,1.480600,0.028160,34.816551,0.985586,32.484313,0.976747,0.999687
35,0.150012,1.321900,0.028240,34.517921,0.985101,32.422887,0.976459,0.999687
36,0.154179,1.332100,0.044160,35.072034,0.986112,32.872344,0.977768,0.999687
37,0.158346,1.556000,0.027760,35.137049,0.986020,32.741233,0.977263,0.999687
38,0.162513,1.250000,0.027880,35.077853,0.985947,32.668088,0.977150,0.999687
39,0.166680,1.259900,0.050080,34.621691,0.985093,32.498112,0.976578,0.999687
40,0.170847,1.352000,0.028400,35.051134,0.985932,32.887826,0.978031,0.999687
41,0.175014,1.556000,0.027840,35.086375,0.986122,32.678319,0.977138,0.999687
42,0.179181,1.465800,0.028240,35.043661,0.986034,32.666110,0.977071,0.999687
43,0.183348,1.433300,0.049240,34.911525,0.985706,32.658589,0.976766,0.999687
44,0.187515,1.348900,0.028920,35.162166,0.986129,32.901421,0.977715,0.999687
45,0.191682,1.393400,0.028520,35.118979,0.986225,32.721862,0.977058,0.999687
46,0.195849,1.078100,0.028080,34.971343,0.985769,32.726448,0.977005,0.999687
47,0.200016,1.215800,0.028440,35.004377,0.985941,32.802033,0.977575,0.999687
48,0.204183,1.103400,0.028640,35.146499,0.986300,32.795266,0.977601,0.999687
49,0.208350,1.309100,0.029080,35.086835,0.986129,32.787232,0.977395,0.999687
50,0.212517,1.084500,0.028400,34.937682,0.985692,32.759584,0.977171,0.999687
51,0.216684,1.244800,0.028600,34.993534,0.985823,32.839436,0.977347,0.999687
52,0.220851,1.196600,0.028640,35.146413,0.986082,32.790120,0.977224,0.999687
53,0.225018,1.402300,0.028520,35.000635,0.986106,32.759102,0.977554,0.999687
54,0.229185,1.243800,0.028560,34.830456,0.985412,32.708819,0.976935,0.999687
55,0.233352,1.226500,0.028480,34.849216,0.985434,32.737251,0.977223,0.999686
56,0.237519,1.431800,0.028520,35.154255,0.986125,32.837323,0.977630,0.999686
57,0.241686,1.095600,0.028360,35.102355,0.986061,32.880170,0.977667,0.999686
58,0.245853,1.285900,0.028480,34.824307,0.985388,32.791815,0.977456,0.999686
59,0.250020,1.369400,0.029240,34.838034,0.985231,32.687374,0.976891,0.999686
60,0.254187,1.244200,0.028640,35.079670,0.985918,32.846473,0.977745,0.999686
61,0.258354,0.999400,0.034280,35.027866,0.985973,32.818581,0.977666,0.999686
62,0.262521,1.213400,0.028680,34.790382,0.985243,32.733011,0.977228,0.999686
63,0.266688,1.223000,0.029080,34.974654,0.985636,32.727597,0.977319,0.999686
64,0.270855,1.134400,0.028400,35.121609,0.985890,32.840250,0.977425,0.999686
65,0.275022,1.092100,0.028880,34.931998,0.985520,32.835123,0.977510,0.999686
66,0.279189,1.208200,0.028440,34.784469,0.985299,32.736213,0.977452,0.999686
67,0.283356,1.277500,0.028440,34.848755,0.985367,32.696830,0.977329,0.999686
68,0.287523,1.216700,0.028440,34.874992,0.985368,32.746787,0.977175,0.999686
69,0.291690,1.239100,0.028640,34.780676,0.985420,32.727698,0.977438,0.999686
70,0.295857,1.288100,0.028080,34.635659,0.985216,32.571910,0.977099,0.999686
71,0.300024,1.111800,0.028400,34.802807,0.985486,32.703201,0.977486,0.999686
72,0.304191,1.190900,0.028320,34.789542,0.985505,32.741875,0.977476,0.999686
73,0.308358,1.257200,0.028360,34.792015,0.985592,32.845279,0.978140,0.999686
74,0.312525,1.132300,0.028240,34.672861,0.985475,32.700613,0.977827,0.999686
75,0.316692,1.121100,0.028480,34.813632,0.985612,32.743558,0.977626,0.999686
76,0.320859,1.422700,0.028760,34.878260,0.985657,32.878804,0.978148,0.999686
77,0.325026,1.438100,0.028760,34.768734,0.985430,32.851468,0.978021,0.999686
78,0.329193,0.894300,0.028400,34.728441,0.985363,32.758025,0.977756,0.999686
79,0.333360,1.338100,0.032920,34.889953,0.985679,32.746681,0.978038,0.999686
80,0.337527,1.272400,0.029160,34.935418,0.985723,32.800727,0.978190,0.999686
81,0.341694,1.300900,0.028840,34.764543,0.985358,32.727168,0.977732,0.999686
82,0.345861,1.118700,0.028400,34.765093,0.985362,32.692879,0.977594,0.999686
83,0.350028,1.188200,0.028760,34.932613,0.985658,32.753704,0.977966,0.999686
84,0.354195,1.128900,0.028600,35.041344,0.985840,32.938860,0.978422,0.999686
85,0.358362,1.224500,0.028640,34.945626,0.985588,32.869222,0.978165,0.999686
86,0.362529,1.154600,0.028760,34.914276,0.985610,32.906677,0.978566,0.999686
87,0.366696,1.447500,0.028360,35.007706,0.985972,32.936351,0.978777,0.999686
88,0.370863,1.268800,0.028520,35.020164,0.985907,33.015685,0.979206,0.999686
89,0.375030,1.216800,0.028720,34.974513,0.985749,32.893902,0.978813,0.999686
90,0.379197,1.343400,0.028360,35.060601,0.985884,33.024143,0.978906,0.999686
91,0.383364,1.285300,0.029000,35.201920,0.986366,33.202059,0.979162,0.999686
92,0.387531,1.125300,0.028760,35.228156,0.986391,33.453156,0.980032,0.999684
93,0.391698,1.278300,0.028840,35.086779,0.986019,33.286555,0.979348,0.999686
94,0.395865,1.297200,0.028480,35.178048,0.986323,33.350749,0.979859,0.999684
95,0.400032,1.076600,0.028680,35.296587,0.986467,33.461035,0.979878,0.999684
96,0.404199,1.338900,0.028680,35.265770,0.986382,33.513870,0.980067,0.999684
97,0.408366,1.261300,0.028560,35.168002,0.986245,33.421978,0.979935,0.999684
98,0.412533,1.264600,0.028400,35.172226,0.985962,33.450311,0.979894,0.999684
99,0.416700,1.182900,0.028560,35.462927,0.986574,33.452600,0.979768,0.999684
100,0.420867,1.193000,0.028840,35.306345,0.986244,33.247735,0.979174,0.999684
101,0.425034,1.136300,0.028840,35.332270,0.986414,33.370571,0.979672,0.999684
