frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,2.808800,0.093680,30.614653,0.972844,25.188007,0.883293,0.997875
17,0.300006,2.675400,0.097400,30.483552,0.972799,25.169547,0.883160,0.997870
18,0.316673,2.404100,0.092760,30.457459,0.972863,25.173749,0.883157,0.997869
19,0.333340,2.683700,0.094000,30.473947,0.972999,25.209182,0.884138,0.997863
20,0.350007,2.576300,0.093640,30.582287,0.972992,25.201663,0.884213,0.997857
21,0.366674,2.708000,0.094600,30.645773,0.973203,25.302481,0.885143,0.997852
22,0.383341,2.579200,0.094680,30.755339,0.973723,25.382780,0.886583,0.997845
23,0.400008,2.636100,0.094760,30.939761,0.973967,25.631510,0.887106,0.997840
24,0.416675,2.672400,0.095080,31.271577,0.974814,25.732748,0.888419,0.997841
25,0.433342,2.469100,0.094960,31.325007,0.975128,25.563903,0.887566,0.997840
26,0.450009,2.901200,0.094280,31.299509,0.975260,25.582512,0.888628,0.997843
27,0.466676,2.566300,0.095120,31.350170,0.974881,25.658777,0.888844,0.997847
28,0.483343,2.638500,0.120200,31.308688,0.975510,25.719716,0.889710,0.997849
29,0.500010,2.542100,0.093720,31.235741,0.975489,25.701466,0.889551,0.997864
30,0.516677,2.567300,0.093960,31.709193,0.976266,25.835611,0.890376,0.997878
31,0.533344,2.640300,0.099480,31.750227,0.975901,25.776495,0.889538,0.997874
32,0.550011,3.232800,0.128880,31.325557,0.975286,25.674964,0.888937,0.997870
33,0.566678,2.311300,0.094760,30.901496,0.974239,25.579539,0.888539,0.997864
34,0.583345,2.751800,0.094280,30.890517,0.973627,25.558688,0.887889,0.997850
35,0.600012,2.467500,0.094200,30.874043,0.973936,25.557861,0.887971,0.997845
36,0.616679,2.911200,0.096600,31.120596,0.974170,25.616264,0.888647,0.997841
37,0.633346,2.541300,0.094920,31.321879,0.974546,25.588255,0.887755,0.997836
38,0.650013,2.561800,0.094840,31.354057,0.974321,25.574627,0.887054,0.997834
39,0.666680,2.705400,0.093600,31.425814,0.974508,25.581367,0.887370,0.997831
40,0.683347,2.477600,0.093680,31.440084,0.974642,25.560945,0.887322,0.997828
