frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,1.707100,0.042960,30.179675,0.960825,25.817305,0.894300,0.997841
17,0.300006,1.001200,0.041840,30.071594,0.960697,25.746660,0.893583,0.997840
18,0.316673,1.145100,0.231080,30.050112,0.960868,25.820684,0.895645,0.997836
19,0.333340,1.346800,0.042320,30.052338,0.961194,25.833900,0.895441,0.997834
20,0.350007,1.620500,0.060480,30.086599,0.960606,25.803658,0.895584,0.997834
21,0.366674,1.529700,0.043680,30.152975,0.961041,25.936943,0.896953,0.997828
22,0.383341,1.814900,0.041960,30.259523,0.961451,26.044426,0.898468,0.997824
23,0.400008,1.189600,0.041760,30.412367,0.962035,26.314496,0.900259,0.997822
24,0.416675,1.453200,0.043000,30.629257,0.962421,26.398148,0.900076,0.997822
25,0.433342,1.637000,0.042200,30.652606,0.962371,26.288806,0.900337,0.997826
26,0.450009,1.383000,0.042240,30.656682,0.962354,26.262895,0.900050,0.997828
27,0.466676,1.404500,0.041720,30.635259,0.961640,26.325733,0.899471,0.997828
28,0.483343,1.687400,0.041960,30.641731,0.962457,26.442285,0.900925,0.997832
29,0.500010,1.300500,0.042000,30.619789,0.962634,26.406733,0.900713,0.997851
30,0.516677,1.652500,0.041800,30.988078,0.964055,26.539890,0.902103,0.997868
31,0.533344,1.320000,0.043480,31.026448,0.963755,26.481998,0.900292,0.997865
32,0.550011,2.149600,0.042760,30.713747,0.963202,26.387250,0.900099,0.997859
33,0.566678,1.065100,0.041840,30.301006,0.962617,26.239751,0.899881,0.997859
34,0.583345,1.315900,0.044200,30.347989,0.961731,26.210773,0.897829,0.997857
35,0.600012,1.519300,0.041840,30.346765,0.962024,26.221054,0.898346,0.997851
36,0.616679,1.526300,0.043640,30.628384,0.963678,26.308189,0.899428,0.997847
37,0.633346,1.307000,0.075880,30.814330,0.963945,26.244738,0.898054,0.997843
38,0.650013,1.483200,0.042040,30.873190,0.964041,26.247380,0.897462,0.997843
