frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,1.511600,0.053200,30.212043,0.964328,25.504740,0.887749,0.997849
17,0.300006,1.697100,0.053920,30.121012,0.964325,25.526519,0.888063,0.997847
18,0.316673,1.421100,0.053200,30.140600,0.964955,25.524284,0.888309,0.997845
19,0.333340,1.453800,0.054160,30.131883,0.965174,25.525225,0.888662,0.997843
20,0.350007,1.575200,0.054400,30.288892,0.965245,25.552099,0.889321,0.997842
21,0.366674,1.385300,0.091960,30.339771,0.965591,25.630062,0.889782,0.997843
22,0.383341,1.423500,0.053840,30.421635,0.966132,25.730330,0.891462,0.997844
23,0.400008,1.683100,0.052640,30.674192,0.967028,26.040817,0.893364,0.997846
24,0.416675,1.233000,0.052800,30.961086,0.967716,26.115289,0.893511,0.997853
25,0.433342,1.344800,0.054600,30.946354,0.967879,25.924161,0.892679,0.997858
26,0.450009,1.881800,0.053600,30.974767,0.968279,25.941430,0.893594,0.997857
27,0.466676,1.482300,0.053480,31.016514,0.967624,26.057987,0.893498,0.997860
28,0.483343,1.281800,0.053040,30.987876,0.968391,26.089681,0.894333,0.997862
29,0.500010,1.423000,0.054280,30.912367,0.968260,26.083344,0.894100,0.997880
30,0.516677,1.711600,0.052480,31.337690,0.969353,26.211736,0.895243,0.997893
31,0.533344,1.430600,0.054200,31.371653,0.968865,26.185143,0.894313,0.997890
32,0.550011,1.826200,0.052840,30.981759,0.968218,26.053223,0.893632,0.997891
33,0.566678,1.183900,0.053440,30.582886,0.967240,25.967306,0.893636,0.997894
34,0.583345,1.383800,0.053760,30.545992,0.966301,25.902605,0.891666,0.997899
35,0.600012,1.492300,0.053240,30.552309,0.966559,25.928722,0.892602,0.997898
36,0.616679,1.585000,0.055360,30.745649,0.966904,25.975367,0.892789,0.997895
37,0.633346,1.282000,0.053200,30.943925,0.967683,25.957132,0.892178,0.997891
38,0.650013,1.274800,0.058760,30.980942,0.966978,25.968470,0.891678,0.997891
39,0.666680,1.501300,0.057000,30.995633,0.966947,25.950329,0.891541,0.997890
40,0.683347,1.309000,0.053520,30.994089,0.966981,25.922686,0.891534,0.997887
41,0.700014,1.284400,0.055680,31.008131,0.967011,25.919128,0.890859,0.997883
42,0.716681,1.336500,0.053320,30.714694,0.965969,25.799751,0.889583,0.997870
43,0.733348,1.288600,0.052320,30.431889,0.966130,25.713474,0.889118,0.997861
44,0.750015,1.574500,0.052400,30.421187,0.965961,25.726499,0.888661,0.997858
45,0.766682,1.407300,0.053920,30.552297,0.966496,25.668168,0.887956,0.997857
