frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.069000,0.508440,32.189953,0.885628,31.475136,37.355037
17,0.300006,4.108300,0.267280,32.224695,0.886325,31.597941,37.555162
18,0.316673,4.175300,0.319400,32.275318,0.886689,31.717718,37.842472
19,0.333340,3.802700,0.279600,32.279906,0.887093,31.776248,38.018510
20,0.350007,4.225200,0.407480,32.314543,0.887922,31.782205,38.168078
21,0.366674,3.961700,0.280680,32.350684,0.888653,31.847577,38.226003
22,0.383341,4.164000,0.276840,32.351205,0.889472,31.946971,38.422996
23,0.400008,4.025800,0.298320,32.448614,0.890372,32.115700,38.848554
24,0.416675,4.034100,0.280480,32.475204,0.891019,32.186773,38.999003
25,0.433342,4.178300,0.278520,32.495843,0.891812,32.201058,38.970895
26,0.450009,4.003000,0.271840,32.516163,0.892551,32.121660,38.854783
27,0.466676,4.463700,0.298560,32.528250,0.893649,32.134026,38.625735
28,0.483343,4.309500,0.268200,32.583778,0.894808,32.143188,38.755787
29,0.500010,4.237100,0.295320,32.675693,0.895980,32.260557,38.937764
30,0.516677,4.264300,0.270040,32.720465,0.897057,32.327059,39.043202
31,0.533344,4.311100,0.296920,32.738723,0.898362,32.348409,39.014247
32,0.550011,5.103200,0.319040,32.767639,0.899392,32.276501,38.710517
33,0.566678,4.202300,0.306560,32.831451,0.900754,32.247174,38.427316
34,0.583345,4.599000,0.276080,32.844283,0.901977,32.217313,38.294017
35,0.600012,4.062600,0.287800,32.935586,0.903546,32.327279,38.575302
36,0.616679,4.534000,0.305960,32.948843,0.904333,32.421054,38.907769
37,0.633346,3.975200,0.274280,32.985387,0.905326,32.545252,38.797040
38,0.650013,4.503700,0.293520,33.051034,0.906705,32.486248,38.709092
39,0.666680,4.080900,0.276600,33.082859,0.907827,32.556256,38.722015
40,0.683347,4.388900,0.306280,33.134499,0.909609,32.453912,38.655847
41,0.700014,5.445300,0.298600,33.202426,0.911144,32.620228,38.499162
42,0.716681,4.111100,0.373000,33.269068,0.913079,32.515693,38.427850
43,0.733348,4.321200,0.319480,33.338782,0.914985,32.673941,38.352544
44,0.750015,4.084500,0.278320,33.367047,0.916630,32.474523,38.104465
45,0.766682,4.394200,0.358960,33.455277,0.918305,32.471123,37.918342
46,0.783349,4.296100,0.299040,33.502511,0.920418,32.415803,37.730958
47,0.800016,4.229500,0.338440,33.587570,0.922456,32.450236,37.496791
48,0.816683,4.144900,0.289200,33.668512,0.924557,32.424221,37.316740
49,0.833350,4.370600,0.373440,33.718701,0.926534,32.382012,37.148654
50,0.850017,4.125800,0.280200,33.796881,0.928879,32.384263,37.163646
51,0.866684,4.312600,0.296280,33.959139,0.931375,32.325504,37.071464
52,0.883351,4.004400,0.288600,34.022847,0.933801,32.315822,36.871342
53,0.900018,4.405900,0.361280,34.068412,0.935854,28.254519,29.583268
54,0.916685,3.850400,0.287640,33.608376,0.931094,21.270557,21.537356
55,0.933352,4.235600,0.351840,33.539980,0.930605,20.700126,20.950618
56,0.950019,3.816100,0.263040,33.750550,0.936197,19.919893,20.125298
57,0.966686,3.803600,0.271720,34.380074,0.942785,21.346045,21.579516
58,0.983353,3.821000,0.263520,34.931019,0.949529,23.620573,23.999092
59,1.000020,3.915800,0.281880,35.090482,0.957066,25.297918,25.779986
60,1.016687,4.148200,0.254720,35.814628,0.963418,27.122096,27.777749
61,1.033354,3.821500,0.243320,35.964121,0.962605,24.606956,24.985738
62,1.050021,4.174300,0.480760,35.084072,0.948329,21.734335,21.976117
63,1.066688,4.005400,0.240920,34.069228,0.931367,20.159499,20.366478
64,1.083355,4.180500,0.250600,32.269146,0.910322,19.497415,19.761176
65,1.100022,3.998700,0.253920,30.982982,0.892575,20.946898,21.502332
66,1.116689,3.855600,0.279800,30.452552,0.884284,22.601076,23.525044
67,1.133356,4.085400,0.290960,30.278931,0.879420,23.600900,24.710613
68,1.150023,3.817300,0.267000,30.164858,0.875202,24.279200,25.513824
69,1.166690,4.051700,0.511720,30.053843,0.871513,25.421096,27.078161
70,1.183357,3.836700,0.277000,29.973184,0.869477,28.224541,32.056847
71,1.200024,4.133500,0.325880,29.884433,0.867712,28.245468,32.249916
72,1.216691,3.860600,0.283480,29.780903,0.865276,28.254566,32.393192
73,1.233358,3.854900,0.280120,29.735298,0.863434,28.352310,32.733514
74,1.250025,3.724800,0.294120,29.682971,0.862076,28.416355,32.962422
75,1.266692,3.565300,0.290160,29.616038,0.860557,28.433920,33.088678
76,1.283359,3.952200,0.275960,29.561026,0.859326,28.399663,33.139632
77,1.300026,3.600400,0.270200,29.484440,0.858061,28.384609,33.223583
78,1.316693,3.950000,0.271960,29.467889,0.857409,28.399463,33.318351
79,1.333360,3.996100,0.270560,29.440953,0.856395,28.376029,33.401496
80,1.350027,3.540000,0.337280,29.438560,0.856007,28.380598,33.472201
81,1.366694,3.671000,0.280400,29.411749,0.855164,28.384431,33.541548
82,1.383361,3.845700,0.273240,29.431554,0.854603,28.428421,33.631523
83,1.400028,3.962800,0.282400,29.430289,0.854435,28.434854,33.639037
84,1.416695,4.078800,0.271800,29.418475,0.853798,28.451310,33.712066
85,1.433362,3.629400,0.280360,29.383634,0.853046,28.462362,33.835492
86,1.450029,4.014200,0.289080,29.389289,0.852610,28.449042,33.917668
87,1.466696,4.270400,0.272600,29.416870,0.852426,28.544326,33.967849
88,1.483363,3.906900,0.273840,29.437099,0.852091,28.576189,34.037682
89,1.500030,4.064000,0.307280,29.483619,0.851851,28.660136,34.182126
90,1.516697,3.677900,0.273040,29.532202,0.851674,28.723505,34.333390
91,1.533364,3.966200,0.282040,29.576033,0.851746,28.781661,34.466324
92,1.550031,3.725600,0.279800,29.596505,0.851493,28.847187,34.612196
93,1.566698,3.888400,0.279240,29.628237,0.851236,28.887190,34.656200
94,1.583365,4.051600,0.273720,29.662595,0.851340,28.971217,34.713989
95,1.600032,3.872800,0.276080,29.692340,0.851095,28.910737,34.753620
96,1.616699,3.900000,0.291480,29.712399,0.850779,28.926975,34.939222
97,1.633366,3.797700,0.279680,29.741440,0.850631,29.000413,35.106322
98,1.650033,4.281700,0.279520,29.767895,0.850229,29.109653,35.299361
99,1.666700,3.718500,0.321800,29.830060,0.850448,29.205488,35.456904
100,1.683367,3.742500,0.291680,29.860889,0.850546,29.280111,35.586146
101,1.700034,3.763500,0.281840,29.958674,0.851048,29.296206,35.707430
102,1.716701,3.718500,0.268000,29.922967,0.849880,29.338575,35.825799
103,1.733368,3.998200,0.287200,29.978830,0.850716,29.400362,35.840578
104,1.750035,4.006400,0.268720,29.990788,0.849998,29.447242,35.898069
105,1.766702,3.518600,0.276240,30.026355,0.850196,29.476351,35.997228
106,1.783369,3.858900,0.278320,30.080369,0.850516,29.603542,36.023123
107,1.800036,4.026200,0.280240,30.084510,0.850745,29.586153,36.036055
108,1.816703,3.812700,0.294680,30.095959,0.850489,29.570686,36.070270
109,1.833370,3.839300,0.285480,30.097685,0.850025,29.535758,36.053236
110,1.850037,4.015900,0.297920,30.103679,0.849851,29.531316,35.984093
111,1.866704,3.800900,0.314520,30.106628,0.850278,29.516590,35.843231
112,1.883371,3.782500,0.279080,30.104988,0.850156,29.462600,35.581013
113,1.900038,3.997800,0.298200,30.099292,0.849631,29.386500,35.369729
114,1.916705,4.051400,0.271960,30.146298,0.849995,29.302521,35.168053
115,1.933372,4.078800,0.295760,30.142752,0.849932,29.273496,35.001102
116,1.950039,4.180000,0.284240,30.133512,0.849749,29.253574,34.843994
117,1.966706,4.048500,0.300720,30.145268,0.849909,29.249272,34.745200
118,1.983373,4.105300,0.298600,30.163358,0.850244,29.232714,34.687810
119,2.000040,3.908500,0.283360,30.168758,0.850499,29.305319,34.604750
