frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.566666,4.338500,0.215920,37.332001,0.959835,35.926290,37.030344
17,0.599999,4.151500,0.239680,37.385666,0.960925,36.120814,37.236251
18,0.633333,3.963800,0.220520,37.465967,0.961852,36.287302,37.366119
19,0.666666,4.033000,0.225920,37.429831,0.962368,36.454920,37.276951
20,0.699999,4.308100,0.236960,37.565173,0.963769,36.439300,37.235014
21,0.733333,4.383400,0.237160,37.617365,0.964876,36.429899,36.989525
22,0.766666,4.279300,0.232680,37.664971,0.966216,36.041908,36.788767
23,0.799999,4.195500,0.255600,37.736104,0.967578,35.734522,36.267999
24,0.833333,4.024700,0.231080,37.700799,0.968569,35.454010,35.984672
25,0.866666,4.451000,0.232640,37.882749,0.970019,35.198566,35.758455
26,0.899999,4.128300,0.223080,37.819998,0.970998,28.510711,28.634983
27,0.933332,3.827200,0.247160,37.154441,0.967215,17.586213,17.585933
28,0.966666,3.774900,0.213760,38.342501,0.973878,17.222195,17.219581
29,0.999999,4.013000,0.212440,38.933420,0.981104,21.739920,21.725987
30,1.033332,4.015300,0.192480,39.373342,0.982290,22.748863,22.729338
31,1.066666,3.706900,0.189480,37.424376,0.965118,18.189491,18.182580
32,1.099999,4.159300,0.204880,34.402209,0.944786,17.526172,17.509731
33,1.133332,3.767200,0.192760,34.001050,0.939664,21.437567,21.489587
34,1.166666,4.130000,0.218800,33.944136,0.936794,23.308287,23.422220
35,1.199999,3.910500,0.206040,33.783171,0.933965,29.114812,29.561627
36,1.233332,3.910800,0.226480,33.652668,0.931006,29.495861,30.021875
37,1.266665,3.930400,0.217040,33.544988,0.928896,29.886980,30.516859
38,1.299999,3.974100,0.210760,33.375063,0.927026,30.118383,30.817450
39,1.333332,3.807200,0.232680,33.392087,0.926075,30.306784,31.045298
40,1.366665,3.772500,0.216280,33.336594,0.924730,30.359397,31.157785
41,1.399999,4.907600,0.240840,33.384428,0.923989,30.464178,31.258355
42,1.433332,3.905900,0.233840,33.350785,0.922818,30.687964,31.527357
43,1.466665,4.187800,0.229160,33.353122,0.922172,30.883938,31.723752
44,1.499999,4.057700,0.215320,33.388481,0.921643,31.049015,32.034247
45,1.533332,4.250600,0.212600,33.440453,0.921150,31.217681,32.324288
46,1.566665,4.118100,0.241720,33.433212,0.920135,31.486747,32.568079
47,1.599998,4.010900,0.217840,33.415887,0.919224,31.657505,32.787651
48,1.633332,4.126600,0.222160,33.453486,0.918768,31.924833,33.134907
49,1.666665,4.402200,0.264920,33.518865,0.918595,32.111040,33.514971
50,1.699998,3.919000,0.230360,33.624950,0.919125,32.424430,33.730026
51,1.733332,4.040700,0.223840,33.562402,0.918368,32.468532,33.830938
52,1.766665,3.970800,0.233560,33.598500,0.918293,32.513505,33.961339
53,1.799998,3.746800,0.219640,33.603422,0.918400,32.584481,34.009092
54,1.833332,3.942200,0.222280,33.611873,0.918347,32.678545,34.084443
55,1.866665,3.735000,0.211080,33.604016,0.918602,32.601839,33.988372
56,1.899998,3.827000,0.241680,33.590137,0.918483,32.421296,33.667507
57,1.933331,3.804700,0.221840,33.640045,0.918909,32.241838,33.432395
58,1.966665,3.806800,0.217600,33.611503,0.918903,32.106860,33.178923
59,1.999998,3.757500,0.233840,33.646279,0.919392,31.877942,32.938482
60,2.033331,4.172500,0.224240,33.658263,0.919962,31.792408,32.795343
61,2.066665,3.688500,0.216440,33.736861,0.921042,31.616056,32.568186
62,2.099998,3.889400,0.240120,33.737470,0.921372,31.524292,32.383212
63,2.133331,4.039300,0.223720,33.763852,0.922099,31.234820,32.062363
64,2.166664,4.404600,0.250480,33.746491,0.923062,31.081759,31.856988
65,2.199998,3.828500,0.232480,33.720548,0.923645,30.946197,31.706153
66,2.233331,4.270000,0.235920,33.801971,0.924702,30.847010,31.543530
67,2.266664,3.947100,0.222760,33.842159,0.925771,30.734000,31.430689
68,2.299998,4.028100,0.254360,33.804108,0.927071,30.608975,31.228066
69,2.333331,3.683000,0.218000,33.720158,0.928435,29.258008,29.650143
70,2.366664,3.864300,0.252360,33.774292,0.930936,27.979101,28.243571
71,2.399998,3.988300,0.230840,33.835829,0.933267,27.082371,27.314404
72,2.433331,3.975600,0.218040,33.753745,0.934005,20.621120,20.675806
73,2.466664,3.583400,0.235320,33.851546,0.930077,16.408858,16.421430
74,2.499997,3.658000,0.233480,34.773162,0.938813,19.966904,19.986212
75,2.533331,3.826100,0.213240,37.178546,0.964587,27.371486,27.474038
76,2.566664,3.757600,0.207920,38.120833,0.971917,29.348165,29.522851
77,2.599997,3.832100,0.211680,37.623489,0.968098,29.927872,30.113403
78,2.633331,3.895700,0.217520,37.012680,0.964549,30.356852,30.636258
