frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283334,3.930500,0.378960,36.809443,0.953854,40.486491,37.247199
17,0.300001,4.300300,0.347440,36.789588,0.954327,41.365979,37.521617
18,0.316667,4.044400,0.346080,36.927622,0.954626,41.224318,37.724435
19,0.333334,4.422100,0.359120,37.096106,0.955600,41.951929,38.057135
20,0.350001,3.901300,0.340080,37.199325,0.956547,41.089125,37.867219
21,0.366667,4.454000,0.359320,37.082221,0.956432,42.472182,38.309670
22,0.383334,4.198100,0.342520,37.195238,0.957309,42.003674,38.294493
23,0.400001,4.460800,0.394240,37.312553,0.958127,43.257406,38.943522
24,0.416667,3.932500,0.356360,37.366533,0.958539,41.736179,38.512662
25,0.433334,4.410900,0.361440,37.328465,0.958599,43.216188,38.959646
26,0.450001,4.093400,0.342200,37.322997,0.959175,42.748213,38.595491
27,0.466668,4.568400,0.362600,37.495153,0.959999,43.011772,38.789476
28,0.483334,3.971100,0.342080,37.316235,0.960430,42.382189,38.352716
29,0.500001,4.391600,0.360480,37.480276,0.961168,43.089950,38.990879
30,0.516668,4.556600,0.343440,37.603417,0.962032,43.087846,38.975737
31,0.533334,4.361900,0.365080,37.407635,0.961673,43.177114,39.031456
32,0.550001,4.335400,0.356480,37.459622,0.962334,41.208028,38.068813
33,0.566668,4.108600,0.366160,37.363108,0.962581,42.765548,38.513116
34,0.583334,4.165700,0.349160,37.321265,0.962830,41.838514,37.896693
35,0.600001,4.464000,0.393240,37.404001,0.963605,43.099654,38.537304
36,0.616668,4.686000,0.352600,37.426030,0.963708,42.901341,38.500745
37,0.633335,4.110300,0.371680,37.682356,0.964932,43.197495,38.926732
38,0.650001,4.684900,0.435200,37.704660,0.965561,41.821479,38.301608
39,0.666668,4.634700,0.356440,37.531784,0.965538,43.564328,38.893391
40,0.683335,4.291100,0.367960,37.730025,0.966260,42.506975,38.420537
41,0.700001,5.501200,0.363040,37.550756,0.966688,43.352124,38.913256
42,0.716668,4.384500,0.372560,37.583467,0.967320,41.233594,37.690218
43,0.733335,4.277900,0.378440,37.342195,0.967182,42.928867,38.278373
44,0.750002,4.166000,0.360840,37.478877,0.967831,41.711652,37.671497
45,0.766668,4.206000,0.389880,37.571706,0.968840,42.873733,38.110613
46,0.783335,4.773400,0.359840,37.347735,0.969084,41.205031,37.252671
47,0.800002,4.110700,0.368280,37.486413,0.970034,41.511550,37.664474
48,0.816668,4.667400,0.378080,37.496855,0.970667,40.895736,37.207319
49,0.833335,4.478200,0.379600,37.250838,0.970520,40.651796,37.331745
50,0.850002,4.463800,0.386240,37.556107,0.971448,38.986371,36.423079
51,0.866668,4.124800,0.361600,37.592360,0.972092,40.806440,37.065831
52,0.883335,4.468900,0.369080,37.637672,0.972638,39.364802,36.359016
53,0.900002,3.988400,0.349160,37.267369,0.972188,30.423108,29.606754
54,0.916669,4.349600,0.358640,36.393913,0.965442,21.836097,21.522197
55,0.933335,3.948800,0.336240,35.966026,0.961851,21.301690,20.953405
56,0.950002,3.769100,0.333960,35.807401,0.961185,20.476966,20.122565
57,0.966669,3.892700,0.300840,36.329333,0.964272,21.956270,21.604007
58,0.983335,3.785700,0.318080,37.119814,0.969118,24.384141,23.966552
59,1.000002,3.997300,0.321680,37.018339,0.973548,26.365073,25.778981
60,1.016669,3.672100,0.292200,37.949597,0.978506,28.381843,27.549532
61,1.033335,3.781100,0.305880,36.750837,0.973948,25.688468,24.969141
62,1.050002,3.652300,0.280560,35.395473,0.960577,22.615497,21.970814
63,1.066669,3.754100,0.314480,34.129046,0.947227,21.019297,20.376960
64,1.083336,3.982000,0.307760,31.708819,0.924352,20.593429,19.755239
65,1.100002,3.718600,0.307400,30.517047,0.908622,22.793637,21.499974
66,1.116669,3.779800,0.344520,30.388490,0.907000,25.047145,23.521616
67,1.133336,4.046800,0.342040,30.922715,0.910409,26.005183,24.678136
68,1.150002,3.988200,0.342680,31.601605,0.915420,26.471977,25.555259
69,1.166669,4.439000,0.420080,31.959363,0.917734,28.359162,27.075639
70,1.183336,4.055500,0.338800,32.392319,0.921839,34.836044,32.123188
71,1.200002,3.778200,0.354720,32.523635,0.922981,35.396052,32.244361
72,1.216669,3.949600,0.359120,32.691051,0.923451,35.347401,32.491195
73,1.233336,4.322300,0.350560,32.917257,0.924318,35.484746,32.619951
74,1.250003,3.931700,0.348600,32.998756,0.924549,35.598146,33.070651
75,1.266669,4.281800,0.345480,32.883335,0.923637,36.403158,33.070581
76,1.283336,4.130000,0.347120,32.961355,0.924102,36.223338,33.155708
77,1.300003,4.186800,0.353800,32.844698,0.923434,36.750414,33.144072
78,1.316669,3.970600,0.348360,32.982847,0.924111,36.112834,33.391934
79,1.333336,4.498300,0.363040,32.919927,0.923045,36.965545,33.387561
80,1.350003,4.054300,0.345920,33.016179,0.923244,36.671912,33.502307
81,1.366669,4.235100,0.361040,33.113142,0.923531,36.810230,33.506876
82,1.383336,3.599300,0.385040,32.960794,0.922913,37.064416,33.675513
83,1.400003,4.182700,0.361720,33.059386,0.923153,36.749887,33.625760
84,1.416670,3.788200,0.349760,33.157190,0.923356,36.784358,33.748645
85,1.433336,4.009500,0.374200,33.112838,0.922744,37.299968,33.778252
86,1.450003,4.281500,0.350160,33.240163,0.922959,36.824150,34.052063
87,1.466670,4.159700,0.378600,33.132642,0.922445,37.656724,33.983426
88,1.483336,4.137900,0.375200,33.258244,0.922697,37.318380,34.085743
89,1.500003,3.906100,0.352240,33.247845,0.922659,37.884574,34.170246
90,1.516670,4.161700,0.361720,33.353056,0.922834,37.717284,34.426178
91,1.533336,3.822000,0.434640,33.534120,0.923631,37.738642,34.384557
92,1.550003,3.884100,0.363320,33.550491,0.923718,37.818399,34.716925
93,1.566670,4.029800,0.364880,33.463999,0.922813,38.441022,34.655285
94,1.583337,4.312700,0.364840,33.529195,0.922891,38.168236,34.729555
95,1.600003,3.975900,0.396320,33.468967,0.922597,38.703154,34.709930
96,1.616670,3.787300,0.371320,33.563092,0.922797,38.412041,35.054236
97,1.633337,4.158000,0.372760,33.547639,0.921836,39.190017,35.083678
98,1.650003,3.718800,0.355520,33.697408,0.922168,39.058005,35.308263
99,1.666670,4.033800,0.364560,33.917784,0.923449,39.120407,35.385520
100,1.683337,4.063400,0.421320,33.823776,0.923247,39.681571,35.627867
101,1.700003,4.114600,0.349720,33.865880,0.923751,39.448195,35.662836
102,1.716670,4.051800,0.571400,33.984937,0.924619,39.384047,35.852341
103,1.733337,3.759100,0.348840,33.915317,0.923733,39.693444,35.711769
104,1.750004,3.919800,0.376840,33.925003,0.923255,39.449786,35.960413
105,1.766670,4.011400,0.358640,33.926492,0.923683,39.939538,36.025459
106,1.783337,3.937800,0.357840,33.958428,0.923207,39.699187,36.030018
107,1.800004,4.095900,0.388160,33.908568,0.923393,40.176914,36.029630
108,1.816670,4.052800,0.375280,33.982328,0.923493,39.855877,36.098845
109,1.833337,4.051000,0.375000,34.108907,0.924808,39.798992,35.959869
110,1.850004,4.048800,0.355320,34.081238,0.924934,39.667892,36.021870
111,1.866670,3.804100,0.381440,33.924992,0.924498,40.172664,35.824573
112,1.883337,4.091800,0.372880,33.927614,0.924776,39.599499,35.538492
113,1.900004,3.829100,0.349840,33.907038,0.925130,39.670071,35.380794
114,1.916671,3.892800,0.379400,33.959649,0.925448,38.556608,35.094917
115,1.933337,4.049800,0.353000,33.843176,0.924425,38.899755,35.021806
116,1.950004,3.783700,0.376920,33.893761,0.924664,38.261188,34.796890
117,1.966671,4.385000,0.577560,34.008750,0.925616,38.222603,34.793169
