frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283334,4.389800,0.415360,37.084220,0.960637,39.598607,37.247199
17,0.300001,4.114600,0.382640,37.059826,0.961039,40.328321,37.521617
18,0.316667,4.441000,0.499680,37.202688,0.961189,40.234609,37.724435
19,0.333334,3.998800,0.393160,37.386531,0.962032,40.850659,38.057135
20,0.350001,4.398900,0.460440,37.490653,0.962868,40.105607,37.867219
21,0.366667,4.050900,0.393480,37.363253,0.962770,41.304004,38.309670
22,0.383334,4.274700,0.414160,37.491556,0.963614,40.937256,38.294493
23,0.400001,3.997800,0.396560,37.611717,0.964297,41.932075,38.943522
24,0.416667,4.270000,0.407880,37.677019,0.964699,40.683687,38.512662
25,0.433334,4.082100,0.406280,37.628889,0.964729,41.928170,38.959646
26,0.450001,4.024600,0.373400,37.626667,0.965304,41.578625,38.595491
27,0.466668,4.462200,0.387920,37.800627,0.965923,41.813421,38.789476
28,0.483334,4.254000,0.367720,37.580737,0.966196,41.250073,38.352716
29,0.500001,4.321300,0.385640,37.769251,0.966958,41.887672,38.990879
30,0.516668,4.694900,0.370400,37.902118,0.967770,41.859575,38.975737
31,0.533334,4.120900,0.397680,37.685493,0.967370,41.992209,39.031456
32,0.550001,4.539800,0.395040,37.757649,0.968096,40.298745,38.068813
33,0.566668,4.063100,0.385240,37.624200,0.968143,41.644921,38.513116
34,0.583334,4.763500,0.625400,37.574771,0.968354,40.884329,37.896693
35,0.600001,4.274900,0.381720,37.663163,0.969101,41.909290,38.537304
36,0.616668,4.466200,0.447720,37.685596,0.969065,41.774262,38.500745
37,0.633335,4.358200,0.368760,37.961458,0.970263,42.034950,38.926732
38,0.650001,4.269600,0.390200,37.987965,0.970830,40.817293,38.301608
39,0.666668,4.232900,0.380240,37.784156,0.970716,42.339199,38.893391
40,0.683335,4.366700,0.412040,37.998742,0.971364,41.469825,38.420537
41,0.700001,5.409700,0.382720,37.790809,0.971628,42.133137,38.913256
42,0.716668,4.200000,0.390600,37.832556,0.972292,40.329708,37.690218
43,0.733335,4.530000,0.433680,37.562180,0.971988,41.826159,38.278373
44,0.750002,4.519300,0.376520,37.701858,0.972532,40.777654,37.671497
45,0.766668,4.210900,0.439120,37.791932,0.973338,41.757255,38.110613
46,0.783335,4.626200,0.383160,37.528887,0.973466,40.283240,37.252671
47,0.800002,4.234600,0.387840,37.668727,0.974376,40.599347,37.664474
48,0.816668,4.799300,0.382960,37.673715,0.974966,40.044211,37.207319
49,0.833335,4.228800,0.391360,37.401371,0.974677,39.830914,37.331745
50,0.850002,4.568200,0.414200,37.721773,0.975560,38.322320,36.423079
51,0.866668,4.358800,0.385560,37.735244,0.976016,39.958533,37.065831
52,0.883335,4.377100,0.616080,37.791211,0.976554,38.679143,36.359016
53,0.900002,4.144600,0.373680,37.360649,0.975880,30.330606,29.606754
54,0.916669,4.335400,0.401000,36.440818,0.968910,21.817995,21.522197
55,0.933335,4.409500,0.363520,36.013861,0.965259,21.285987,20.953405
56,0.950002,4.043500,0.362520,35.827847,0.964225,20.463217,20.122565
57,0.966669,4.175200,0.374840,36.390020,0.967393,21.942869,21.604007
58,0.983335,4.078900,0.326680,37.195019,0.972025,24.358167,23.966552
59,1.000002,4.096600,0.313280,37.080822,0.976180,26.318716,25.778981
60,1.016669,3.819200,0.326200,38.018560,0.980634,28.311236,27.549532
61,1.033335,3.892400,0.309200,36.728223,0.975437,25.643686,24.969141
62,1.050002,4.449500,0.341120,35.333902,0.961937,22.587448,21.970814
63,1.066669,3.936200,0.304280,34.054602,0.948794,20.996613,20.376967
64,1.083336,4.023300,0.384520,31.613558,0.925982,20.560110,19.755241
65,1.100002,3.921700,0.329920,30.451333,0.911651,22.721773,21.499974
66,1.116669,4.213700,0.425560,30.360496,0.911939,24.922231,23.521616
67,1.133336,4.058400,0.368240,30.964296,0.917181,25.877466,24.678136
68,1.150002,4.185700,0.386600,31.711099,0.923333,26.349177,25.555259
69,1.166669,3.901000,0.373280,32.092578,0.926028,28.188662,27.075639
70,1.183336,4.011600,0.372920,32.575255,0.930936,34.221518,32.123188
71,1.200002,3.949900,0.459880,32.713107,0.932217,34.717906,32.244361
72,1.216669,4.173500,0.386600,32.910598,0.933064,34.700848,32.491195
73,1.233336,4.189400,0.367880,33.159130,0.934105,34.814970,32.619753
74,1.250003,4.223800,0.393520,33.242614,0.934314,34.893332,33.070592
75,1.266669,3.958800,0.366440,33.123758,0.933710,35.632467,33.070581
76,1.283336,3.824300,0.386320,33.220620,0.934369,35.472772,33.155708
77,1.300003,4.246500,0.370720,33.080666,0.933552,35.886529,33.144072
78,1.316669,4.119300,0.367800,33.233765,0.934338,35.318652,33.391934
79,1.333336,4.488700,0.374040,33.160566,0.933199,36.106250,33.387559
80,1.350003,4.222600,0.373040,33.283603,0.933774,35.871428,33.502317
81,1.366669,4.201000,0.382600,33.378877,0.933947,35.993207,33.506876
82,1.383336,3.911400,0.397360,33.196474,0.933182,36.145350,33.675513
83,1.400003,3.997600,0.381520,33.314678,0.933634,35.940864,33.625760
84,1.416670,4.394700,0.371720,33.428867,0.933963,35.947582,33.748645
85,1.433336,4.324800,0.384360,33.384477,0.933458,36.411866,33.778252
86,1.450003,3.714000,0.376560,33.526106,0.933760,35.998532,34.052063
87,1.466670,4.458200,0.383160,33.388862,0.933030,36.706351,33.983426
88,1.483336,3.592500,0.372760,33.521775,0.933272,36.441345,34.085743
89,1.500003,3.980500,0.389280,33.495857,0.933125,36.919076,34.170246
90,1.516670,4.150000,0.367160,33.623353,0.933469,36.797916,34.426178
91,1.533336,4.006800,0.405160,33.817875,0.934326,36.828659,34.384557
92,1.550003,4.005300,0.390360,33.823354,0.934332,36.860901,34.716882
93,1.566670,3.926200,0.381400,33.732710,0.933585,37.436091,34.655277
94,1.583337,4.179700,0.388920,33.812348,0.933825,37.199892,34.729555
95,1.600003,3.738000,0.372560,33.732932,0.933408,37.626456,34.710004
96,1.616670,3.900000,0.397680,33.844047,0.933662,37.396425,35.054302
97,1.633337,3.939700,0.382680,33.812565,0.932544,38.071641,35.083678
98,1.650003,3.855800,0.397480,33.988628,0.933134,37.987264,35.308263
99,1.666670,4.197400,0.385480,34.214608,0.934167,38.044532,35.385520
100,1.683337,3.676600,0.429040,34.083754,0.933719,38.443522,35.627867
101,1.700003,4.030200,0.387760,34.124002,0.934244,38.331477,35.662836
102,1.716670,4.474400,0.388720,34.263058,0.935307,38.255861,35.852341
103,1.733337,4.190600,0.418960,34.194430,0.934474,38.531321,35.711769
104,1.750004,3.891400,0.400360,34.201322,0.933952,38.347090,35.960413
105,1.766670,3.833200,0.371320,34.186726,0.934123,38.726698,36.025459
106,1.783337,3.913300,0.384240,34.231324,0.933735,38.539637,36.030018
107,1.800004,3.943900,0.418840,34.159370,0.933738,38.922646,36.029630
108,1.816670,3.944600,0.381240,34.249131,0.933906,38.691339,36.098845
109,1.833337,3.873600,0.412520,34.381835,0.935143,38.629870,35.959869
110,1.850004,3.778400,0.400560,34.325394,0.934946,38.503148,36.021870
111,1.866670,3.903800,0.375240,34.160733,0.934622,38.963861,35.824573
112,1.883337,4.021500,0.416160,34.170879,0.934956,38.479529,35.538492
113,1.900004,3.947300,0.379400,34.127361,0.934999,38.518558,35.380794
114,1.916671,3.903200,0.373000,34.186624,0.935340,37.585662,35.094917
115,1.933337,4.052500,0.394840,34.044299,0.934076,37.924599,35.021806
116,1.950004,3.869000,0.372520,34.108208,0.934396,37.388503,34.796890
117,1.966671,4.451100,0.405760,34.219170,0.935168,37.368793,34.793169
118,1.983337,4.058800,0.407800,34.157408,0.935658,37.193409,34.605341
119,2.000004,4.017800,0.395480,34.183849,0.936055,37.120904,34.642377
