group,config,description,frames,gpu_ms_p95,fps,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref,epe_px,epe_px_median,epe_px_p95,epe_within1_pct,epe_within2_pct,psnr_fg,psnr_fg_min,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend
mv,native-1080p,Native 1920x1080,104,0.124,9949.8,2.5495,0.1005,30.9266,0.9736,25.5258,0.8882,,,,,,,,,,,,,,,,,
mv,native-540p,Native 960x540,104,0.036,33325.2,1.2931,0.0300,30.4637,0.9641,26.1659,0.8976,,,,,,,,,,,,,,,,,
mv,quality-1080p,"1080p, render 1.5x manji",104,0.059,17287.7,1.4778,0.0578,30.6213,0.9674,25.8744,0.8917,,,,,,,,,,,,,,,,,
mv,performance-1080p,"1080p, render 2.0x manji",104,0.065,21359.3,1.3085,0.0468,30.4637,0.9641,26.1659,0.8976,,,,,,,,,,,,,,,,,
mv,motion-slow,"960x540, sporo gibanje (dt/4)",104,0.031,34328.9,1.2527,0.0291,35.0414,0.9859,32.9287,0.9782,,,,,,,,,,,,,,,,,
mv,motion-fast,"960x540, brzo gibanje (dt*2)",104,0.031,34175.5,1.2278,0.0293,27.6668,0.9507,22.7431,0.8046,,,,,,,,,,,,,,,,,
mv,aliased,"960x540, bez filtriranja uzorka",104,0.030,34860.0,1.3719,0.0287,27.8964,0.9259,24.5918,0.8563,,,,,,,,,,,,,,,,,
native,cost-1080p-native,Sponza: native 1920x1080,104,0.405,2744.1,0.1462,0.3644,,,,,,,,,,,,,,,,,,,,,
native,cost-1080p-q,Sponza: samo render 1280x720,104,0.219,5482.6,0.1497,0.1824,,,,,,,,,,,,,,,,,,,,,
native,cost-1080p-p,Sponza: samo render 960x540,104,0.144,8467.5,0.1532,0.1181,,,,,,,,,,,,,,,,,,,,,
native,cost-4k-native,Sponza: native 3840x2160,104,2.174,549.6,0.1453,1.8193,,,,,,,,,,,,,,,,,,,,,
native,cost-4k-p,Sponza: samo render 1920x1080,104,0.676,1789.5,0.1431,0.5588,,,,,,,,,,,,,,,,,,,,,
upscale,up-nearest-15,"Nearest, Quality 1.5x",104,0.120,12315.6,2.4684,0.0812,,,,,30.0835,0.9438,27.4698,30.4930,,,,,,,,,,,,,
upscale,up-sponza-nearest-15,"Sponza: Nearest, Quality 1.5x",104,0.235,4796.9,3.9839,0.2085,,,,,32.2871,0.8997,29.7615,34.0577,,,,,,,,,,,,,
upscale,up-bilinear-15,"Bilinear, Quality 1.5x",104,0.134,11919.8,2.4868,0.0839,,,,,33.2841,0.9677,30.0205,30.4930,,,,,,,,,,,,,
upscale,up-sponza-bilinear-15,"Sponza: Bilinear, Quality 1.5x",104,0.270,4628.5,4.0330,0.2161,,,,,35.1920,0.9320,34.0634,34.0577,,,,,,,,,,,,,
upscale,up-bicubic-15,"Bicubic, Quality 1.5x",104,0.127,10855.6,2.4830,0.0921,,,,,32.8368,0.9662,29.0509,30.4930,,,,,,,,,,,,,
upscale,up-sponza-bicubic-15,"Sponza: Bicubic, Quality 1.5x",104,0.266,4375.4,3.9811,0.2286,,,,,35.4131,0.9424,32.8091,34.0577,,,,,,,,,,,,,
upscale,up-fsr1-15,"FSR1 EASU+RCAS, Quality 1.5x",104,0.184,6613.4,2.5149,0.1512,,,,,31.1261,0.9548,27.5572,30.4930,,,,,,,,,,,,,
upscale,up-sponza-fsr1-15,"Sponza: FSR1 EASU+RCAS, Quality 1.5x",104,0.366,3417.5,4.0832,0.2926,,,,,33.5197,0.9211,30.4884,34.0577,,,,,,,,,,,,,
upscale,up-nearest-20,"Nearest, Performance 2.0x",104,0.097,15313.0,2.4237,0.0653,,,,,29.2962,0.9323,26.9362,30.4388,,,,,,,,,,,,,
