frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.164500,0.354000,36.600648,0.952151,40.520520,37.241282
17,0.300006,3.935200,0.345120,36.578216,0.952521,41.437420,37.522106
18,0.316673,4.139000,0.386760,36.711901,0.952768,41.299197,37.717465
19,0.333340,4.002700,0.366400,36.885568,0.953728,41.988410,38.054645
20,0.350007,4.267500,0.383480,36.993083,0.954634,41.149305,37.860444
21,0.366674,4.204100,0.371960,36.867078,0.954433,42.637673,38.310170
22,0.383341,4.292800,0.386920,36.972901,0.955251,42.119382,38.288561
23,0.400008,3.893900,0.388400,37.067190,0.955947,43.436903,38.943355
24,0.416675,4.035700,0.355360,37.139248,0.956366,41.814504,38.510721
25,0.433342,4.057000,0.361840,37.106659,0.956382,43.368819,38.963392
26,0.450009,4.100300,0.343560,37.096621,0.956920,42.917580,38.605594
27,0.466676,4.400100,0.363200,37.266140,0.957732,43.137725,38.783904
28,0.483343,4.019700,0.338040,37.079713,0.958070,42.533622,38.361075
29,0.500010,4.256300,0.364400,37.244356,0.958796,43.230403,38.993057
30,0.516677,4.384800,0.343520,37.367464,0.959625,43.254301,38.973503
31,0.533344,4.198800,0.361800,37.173967,0.959289,43.342310,39.027368
32,0.550011,4.313000,0.388880,37.230625,0.959945,41.324944,38.074629
33,0.566678,4.142800,0.358280,37.123344,0.960129,42.912785,38.501026
34,0.583345,4.842400,0.358520,37.094300,0.960398,41.967098,37.903001
35,0.600012,4.234400,0.360720,37.151887,0.961093,43.267177,38.538501
36,0.616679,4.777000,0.409200,37.187361,0.961247,43.090290,38.504283
37,0.633346,4.224600,0.359440,37.437703,0.962507,43.342739,38.920702
38,0.650013,4.330200,0.456480,37.467583,0.963157,41.954871,38.295460
39,0.666680,4.356100,0.359720,37.312917,0.963169,43.755471,38.896863
40,0.683347,4.231900,0.377120,37.492316,0.963874,42.680908,38.419579
41,0.700014,5.194800,0.417760,37.305898,0.964270,43.554128,38.902707
42,0.716681,4.210000,0.358280,37.361744,0.964938,41.345383,37.679330
43,0.733348,4.367900,0.364520,37.142723,0.964869,43.090398,38.297358
44,0.750015,4.292900,0.351320,37.274481,0.965525,41.863863,37.676760
45,0.766682,4.174900,0.374480,37.385324,0.966588,43.019785,38.108446
46,0.783349,4.738100,0.370600,37.160487,0.966828,41.330061,37.225144
47,0.800016,4.516100,0.371640,37.292251,0.967771,41.593095,37.677163
48,0.816683,4.505900,0.356800,37.301746,0.968426,41.026606,37.222660
49,0.833350,4.395300,0.377160,37.088261,0.968380,40.740369,37.340713
50,0.850017,4.424700,0.381400,37.374862,0.969333,39.060949,36.404713
51,0.866684,4.490100,0.363360,37.412226,0.970035,40.932910,37.071907
52,0.883351,4.329500,0.367280,37.474429,0.970646,39.458571,36.378381
53,0.900018,4.114700,0.354120,37.134905,0.970242,30.405091,29.590812
54,0.916685,4.115300,0.359120,36.289886,0.963574,21.836248,21.521319
55,0.933352,4.165300,0.341480,35.866054,0.960057,21.301064,20.951734
56,0.950019,3.853400,0.331720,35.716910,0.959630,20.477543,20.122082
57,0.966686,4.063800,0.367760,36.304249,0.963238,21.958512,21.607458
58,0.983353,4.201100,0.303880,37.084836,0.968562,24.389735,23.970201
59,1.000020,3.819200,0.290440,37.019753,0.973318,26.367409,25.778255
60,1.016687,4.321300,0.307000,37.927379,0.978430,28.388836,27.555786
61,1.033354,3.978200,0.288640,36.732851,0.973880,25.683087,24.964432
62,1.050021,4.111700,0.301600,35.388780,0.960538,22.613837,21.969024
63,1.066688,3.880800,0.283840,34.099172,0.947012,21.018280,20.374570
64,1.083355,4.010000,0.305640,31.688589,0.924010,20.593622,19.754853
65,1.100022,3.928300,0.303280,30.478756,0.907930,22.800681,21.503404
66,1.116689,3.915100,0.351560,30.332191,0.905884,25.053505,23.523706
67,1.133356,3.789300,0.344480,30.834481,0.908900,26.015398,24.681500
68,1.150023,3.945800,0.373920,31.510761,0.913878,26.475925,25.558537
69,1.166690,3.758800,0.358760,31.844090,0.916036,28.377729,27.077992
70,1.183357,3.810200,0.332760,32.269370,0.920118,34.889474,32.113943
71,1.200024,4.207200,0.359360,32.382505,0.921157,35.457675,32.240707
72,1.216691,3.851800,0.396280,32.548735,0.921558,35.411820,32.493301
73,1.233358,3.868600,0.386360,32.762536,0.922255,35.545398,32.606989
74,1.250025,3.809100,0.370400,32.851927,0.922462,35.653192,33.054149
75,1.266692,3.559700,0.361680,32.712309,0.921368,36.515422,33.074381
76,1.283359,3.914900,0.351120,32.790545,0.921734,36.313435,33.161781
77,1.300026,3.663100,0.370640,32.653761,0.920932,36.864864,33.137284
78,1.316693,4.300000,0.347400,32.793479,0.921518,36.181126,33.396053
79,1.333360,3.947000,0.416120,32.726107,0.920407,37.077536,33.389255
80,1.350027,3.831900,0.353680,32.808114,0.920460,36.770716,33.513922
81,1.366694,3.972400,0.420480,32.903760,0.920644,36.891669,33.505541
82,1.383361,3.593900,0.345720,32.729429,0.919734,37.182919,33.687898
83,1.400028,3.958500,0.389280,32.824250,0.919936,36.833410,33.627358
84,1.416695,4.026900,0.555120,32.913939,0.919943,36.868270,33.745500
85,1.433362,3.893500,0.367600,32.867224,0.919333,37.418356,33.768024
86,1.450029,4.122300,0.349800,32.985143,0.919510,36.912579,34.051768
87,1.466696,3.657700,0.358320,32.861108,0.918807,37.789880,33.991521
88,1.483363,4.207500,0.372800,32.986819,0.919090,37.406832,34.083543
89,1.500030,3.943100,0.373520,32.952121,0.918795,38.024739,34.166368
90,1.516697,4.409700,0.373120,33.050332,0.918922,37.818568,34.422144
91,1.533364,3.706400,0.364480,33.231110,0.919649,37.817957,34.381100
92,1.550031,4.341200,0.372160,33.247137,0.919695,37.927202,34.716761
93,1.566698,3.550000,0.384120,33.164844,0.918766,38.588979,34.652120
94,1.583365,4.026500,0.354240,33.217911,0.918738,38.313361,34.730246
95,1.600032,3.937600,0.353560,33.142648,0.918295,38.865342,34.706937
96,1.616699,3.829100,0.385040,33.236363,0.918532,38.546845,35.064990
97,1.633366,3.875400,0.362680,33.227853,0.917653,39.342633,35.075970
98,1.650033,3.891000,0.350000,33.362285,0.917881,39.227348,35.308094
99,1.666700,4.049100,0.375520,33.574223,0.919178,39.255545,35.383053
100,1.683367,4.428600,0.348200,33.468613,0.918725,39.902684,35.628628
101,1.700034,3.722800,0.379120,33.513315,0.919307,39.616097,35.666392
102,1.716701,3.949900,0.344600,33.620017,0.920031,39.561358,35.850029
103,1.733368,3.709200,0.352400,33.548974,0.919139,39.951234,35.714138
104,1.750035,4.157300,0.358120,33.559237,0.918741,39.634637,35.960104
105,1.766702,4.129900,0.346840,33.544709,0.919059,40.204667,36.025055
106,1.783369,3.965100,0.566040,33.576966,0.918642,39.918917,36.039162
107,1.800036,3.917300,0.360840,33.513145,0.918670,40.434191,36.024274
108,1.816703,3.925700,0.578440,33.574753,0.918726,40.098246,36.101736
109,1.833370,3.696000,0.366320,33.695320,0.919943,39.985461,35.956281
110,1.850037,4.212100,0.379640,33.678924,0.920082,39.860548,36.024635
111,1.866704,3.992400,0.353520,33.539086,0.919645,40.440594,35.829912
112,1.883371,3.905400,0.356480,33.536999,0.919927,39.837971,35.537888
113,1.900038,3.883300,0.354040,33.490618,0.920103,39.937608,35.383851
114,1.916705,3.909000,0.363400,33.554682,0.920505,38.709490,35.089829
115,1.933372,4.195000,0.383080,33.446239,0.919543,39.096382,35.015246
116,1.950039,3.835000,0.386360,33.488293,0.919727,38.435172,34.794519
117,1.966706,3.778400,0.382480,33.606579,0.920648,38.353487,34.791162
118,1.983373,4.428000,0.378400,33.528511,0.921017,38.297656,34.606260
119,2.000040,3.570600,0.355280,33.565350,0.921425,38.067157,34.638495
