frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.219300,0.428480,36.824507,0.953482,40.417071,37.241282
17,0.300006,3.796400,0.355800,36.803117,0.953924,41.307847,37.522106
18,0.316673,4.446400,0.387360,36.943351,0.954238,41.144084,37.717465
19,0.333340,4.094400,0.357880,37.109289,0.955209,41.870524,38.054645
20,0.350007,4.044400,0.343280,37.219132,0.956163,41.028091,37.860444
21,0.366674,4.095400,0.383800,37.103574,0.956048,42.425287,38.310170
22,0.383341,4.025600,0.390680,37.216217,0.956946,41.940374,38.288561
23,0.400008,4.234000,0.372880,37.321719,0.957707,43.206384,38.943355
24,0.416675,4.251500,0.343800,37.381799,0.958129,41.686632,38.510721
25,0.433342,3.910500,0.383000,37.346620,0.958206,43.154428,38.963392
26,0.450009,4.183800,0.340960,37.341815,0.958789,42.682651,38.605594
27,0.466676,4.319600,0.352280,37.522793,0.959612,42.914872,38.783904
28,0.483343,4.119400,0.360320,37.339995,0.960062,42.324602,38.361075
29,0.500010,4.362600,0.380200,37.498337,0.960778,43.018121,38.993057
30,0.516677,4.234600,0.346120,37.624819,0.961636,43.021181,38.973503
31,0.533344,4.362100,0.386280,37.421722,0.961272,43.086417,39.027368
32,0.550011,4.135200,0.351240,37.486795,0.961958,41.146013,38.074629
33,0.566678,4.539900,0.381680,37.380156,0.962177,42.664448,38.501026
34,0.583345,4.380500,0.361640,37.352461,0.962468,41.731906,37.903001
35,0.600012,4.280000,0.371160,37.422935,0.963203,42.988763,38.538501
36,0.616679,4.409500,0.350360,37.443412,0.963324,42.829087,38.504283
37,0.633346,4.148400,0.363480,37.698660,0.964545,43.117456,38.920702
38,0.650013,4.336600,0.349920,37.723190,0.965164,41.770868,38.295460
39,0.666680,4.116000,0.364520,37.558083,0.965162,43.487890,38.896863
40,0.683347,4.447000,0.430000,37.752807,0.965902,42.454395,38.419579
41,0.700014,5.241200,0.357280,37.561438,0.966304,43.300137,38.902707
42,0.716681,4.539300,0.364320,37.620574,0.966959,41.178547,37.679330
43,0.733348,4.348300,0.374760,37.380056,0.966859,42.865228,38.297358
44,0.750015,4.262600,0.367080,37.503786,0.967487,41.683501,37.676760
45,0.766682,4.753000,0.359520,37.613394,0.968508,42.801639,38.108446
46,0.783349,4.550000,0.367840,37.394333,0.968771,41.138575,37.225144
47,0.800016,4.498700,0.392480,37.539897,0.969714,41.413207,37.677163
48,0.816683,4.370500,0.353960,37.552059,0.970346,40.855592,37.222660
49,0.833350,4.648600,0.375720,37.320598,0.970227,40.591082,37.340713
50,0.850017,4.590700,0.385360,37.600247,0.971139,38.949350,36.404713
51,0.866684,4.498500,0.370320,37.639797,0.971801,40.782115,37.071907
52,0.883351,4.528900,0.395800,37.686275,0.972356,39.361050,36.378381
53,0.900018,4.260300,0.366960,37.363241,0.972027,30.351822,29.590812
54,0.916685,4.042400,0.365440,36.539551,0.965683,21.801188,21.521319
55,0.933352,4.088500,0.379800,36.145471,0.962428,21.255509,20.951734
56,0.950019,4.351000,0.347920,36.023805,0.962038,20.426206,20.122082
57,0.966686,3.898300,0.302200,36.562217,0.965184,21.913091,21.607458
58,0.983353,4.029000,0.305720,37.344893,0.969887,24.332221,23.970201
59,1.000020,3.820700,0.290960,37.279107,0.974204,26.312718,25.778255
60,1.016687,4.093700,0.312000,38.162186,0.979032,28.344356,27.555786
61,1.033354,3.897400,0.311280,37.021865,0.974698,25.621477,24.964432
62,1.050021,3.781900,0.292320,35.778441,0.962071,22.544862,21.969024
63,1.066688,3.955800,0.316720,34.581512,0.949382,20.943907,20.374570
64,1.083355,3.608000,0.291840,32.143912,0.927741,20.512770,19.754838
65,1.100022,4.437900,0.333280,30.958066,0.912709,22.689496,21.503427
66,1.116689,4.097300,0.326680,30.826585,0.910978,24.931025,23.523706
67,1.133356,4.020100,0.366720,31.282332,0.913434,25.922092,24.681500
68,1.150023,3.733500,0.345240,31.894506,0.917574,26.425794,25.558537
69,1.166690,3.796000,0.588680,32.176566,0.919195,28.315157,27.077992
70,1.183357,4.321200,0.369440,32.557912,0.922641,34.792959,32.113943
71,1.200024,3.860300,0.343200,32.648003,0.923375,35.347495,32.240707
72,1.216691,3.921900,0.361800,32.800218,0.923639,35.295068,32.493301
73,1.233358,3.882000,0.355800,33.009432,0.924373,35.415786,32.606989
74,1.250025,4.096000,0.344640,33.102306,0.924632,35.543307,33.054149
75,1.266692,3.924500,0.386720,32.950690,0.923512,36.370034,33.074381
76,1.283359,4.354500,0.344600,33.039132,0.923983,36.170426,33.161781
77,1.300026,4.168500,0.351080,32.905395,0.923244,36.704781,33.137284
78,1.316693,4.158000,0.352360,33.050760,0.923915,36.068041,33.396053
79,1.333360,3.620200,0.364680,32.981904,0.922880,36.924819,33.389255
80,1.350027,3.874700,0.360840,33.079140,0.923062,36.613141,33.513922
81,1.366694,3.982300,0.572600,33.183555,0.923337,36.761288,33.505541
82,1.383361,3.929100,0.357440,33.017387,0.922679,37.052257,33.687898
83,1.400028,3.824200,0.414400,33.112494,0.922886,36.720060,33.627358
84,1.416695,3.640600,0.349960,33.213271,0.923044,36.752269,33.745500
85,1.433362,4.153400,0.366600,33.170301,0.922454,37.249489,33.768024
86,1.450029,3.974600,0.357880,33.290378,0.922677,36.803899,34.051768
87,1.466696,4.006300,0.376200,33.178505,0.922108,37.635900,33.991521
88,1.483363,4.287900,0.350680,33.309128,0.922361,37.266198,34.083543
89,1.500030,4.026600,0.354000,33.285478,0.922255,37.856431,34.166368
90,1.516697,4.247000,0.379960,33.391311,0.922418,37.667779,34.422144
91,1.533364,4.010200,0.348360,33.576450,0.923238,37.676601,34.381100
92,1.550031,4.203800,0.366400,33.595836,0.923352,37.785279,34.716761
93,1.566698,4.179100,0.372680,33.507075,0.922432,38.397567,34.652120
94,1.583365,4.000900,0.381680,33.574693,0.922483,38.124352,34.730246
95,1.600032,3.689100,0.352560,33.515125,0.922178,38.645603,34.706937
96,1.616699,3.868900,0.365000,33.600344,0.922356,38.391154,35.064990
97,1.633366,4.344900,0.360400,33.580449,0.921397,39.141094,35.075970
98,1.650033,3.884300,0.366480,33.723998,0.921679,39.023930,35.308094
99,1.666700,3.871300,0.368720,33.952457,0.923035,39.087516,35.383053
