frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.161600,0.378600,35.970769,0.933004,41.592649,37.241282
17,0.300006,3.807800,0.348000,35.986666,0.933643,42.462100,37.522106
18,0.316673,4.090400,0.386960,36.085118,0.934244,42.420648,37.717465
19,0.333340,4.151500,0.361680,36.181798,0.935229,43.162986,38.054645
20,0.350007,3.925100,0.343960,36.252184,0.936267,42.301286,37.860444
21,0.366674,4.343000,0.357880,36.224206,0.936463,43.741234,38.310170
22,0.383341,4.078700,0.347120,36.300227,0.937426,43.319863,38.288561
23,0.400008,4.249900,0.363120,36.409686,0.938461,44.949516,38.943355
24,0.416675,3.949500,0.349280,36.413695,0.938917,43.350870,38.510721
25,0.433342,4.399300,0.375800,36.434029,0.939373,44.797389,38.963392
26,0.450009,4.140600,0.355960,36.429456,0.940161,44.256179,38.605594
27,0.466676,4.157100,0.370120,36.547686,0.941152,44.338911,38.783904
28,0.483343,3.976100,0.353920,36.508879,0.941942,43.748148,38.361075
29,0.500010,4.174600,0.354600,36.614440,0.942834,44.567481,38.993057
30,0.516677,4.052100,0.356560,36.693261,0.943731,44.644350,38.973503
31,0.533344,4.561400,0.373600,36.579099,0.943760,44.736185,39.027368
32,0.550011,4.116700,0.349760,36.598176,0.944540,42.616692,38.074629
33,0.566678,4.467200,0.383800,36.611138,0.945301,43.993068,38.501026
34,0.583345,4.240600,0.351120,36.612883,0.945855,43.030925,37.903001
35,0.600012,4.624900,0.380120,36.671223,0.946715,44.516594,38.538042
36,0.616679,4.113400,0.363600,36.700667,0.947219,44.389093,38.504123
37,0.633346,4.431200,0.367040,36.860123,0.948487,44.638150,38.920702
38,0.650013,4.191700,0.346200,36.866409,0.949255,43.211914,38.295460
39,0.666680,4.473300,0.360600,36.814120,0.949667,45.153653,38.896863
40,0.683347,4.337800,0.348320,36.956650,0.950688,43.986681,38.419579
41,0.700014,5.036000,0.371400,36.906474,0.951650,45.039108,38.902707
42,0.716681,4.440800,0.355360,36.924444,0.952435,42.784858,37.679330
43,0.733348,4.197300,0.371560,36.817296,0.952883,44.468055,38.297358
44,0.750015,4.578500,0.388880,36.888955,0.953895,43.137742,37.676760
45,0.766682,4.317500,0.354920,36.983433,0.955269,44.157765,38.108446
46,0.783349,4.634400,0.385920,36.942521,0.956051,42.414006,37.225144
47,0.800016,4.619700,0.371840,37.042765,0.957233,42.699301,37.677163
48,0.816683,4.193500,0.388480,37.037553,0.958094,42.081353,37.222660
49,0.833350,4.452900,0.363160,36.929434,0.958627,41.831366,37.340713
50,0.850017,4.268900,0.363400,37.145450,0.959935,40.048795,36.404713
51,0.866684,5.049000,0.389800,37.239684,0.961087,41.935746,37.071907
52,0.883351,4.457700,0.383840,37.278487,0.962078,40.555160,36.378381
53,0.900018,4.675700,0.371600,37.046736,0.962172,30.492764,29.590812
54,0.916685,4.728000,0.354760,36.176897,0.955333,21.856364,21.521319
55,0.933352,3.847800,0.381480,35.841554,0.952725,21.283800,20.951734
56,0.950019,4.094700,0.342120,35.881008,0.954346,20.443296,20.122082
57,0.966686,3.955400,0.297800,36.514405,0.958529,21.925764,21.607458
58,0.983353,4.084700,0.536680,37.159973,0.963773,24.378162,23.970201
59,1.000020,3.728500,0.309880,37.154949,0.969117,26.362972,25.778255
60,1.016687,4.738000,0.359640,37.952902,0.974658,28.427482,27.555786
61,1.033354,3.660900,0.300000,36.945917,0.970515,25.693858,24.964432
62,1.050021,3.847900,0.290520,35.589426,0.956211,22.591809,21.969024
63,1.066688,3.978900,0.295960,34.543070,0.942853,20.946011,20.374570
64,1.083355,4.192500,0.289720,32.398648,0.921291,20.498822,19.754853
65,1.100022,4.038500,0.322080,31.252782,0.904996,22.666560,21.503404
66,1.116689,3.853600,0.323880,31.180120,0.901853,24.932178,23.523706
67,1.133356,4.014800,0.559920,31.598357,0.902153,25.963228,24.681500
68,1.150023,3.982100,0.348640,32.057829,0.903985,26.516805,25.558537
69,1.166690,3.914300,0.377960,32.258849,0.904106,28.419611,27.077992
70,1.183357,4.047700,0.392000,32.443554,0.905168,35.557599,32.113943
71,1.200024,3.970200,0.352960,32.455344,0.904504,36.072408,32.240707
72,1.216691,3.743000,0.365240,32.459492,0.903061,36.152851,32.493301
73,1.233358,3.957400,0.358400,32.524506,0.902278,36.238791,32.606989
74,1.250025,3.855300,0.404400,32.550942,0.901596,36.437034,33.054149
75,1.266692,3.811000,0.348640,32.423918,0.899736,37.223012,33.074381
76,1.283359,3.981900,0.343480,32.431467,0.899215,37.135912,33.161781
77,1.300026,3.655200,0.354960,32.350952,0.898236,37.633895,33.137284
78,1.316693,3.955100,0.380960,32.403142,0.898149,37.170447,33.396053
79,1.333360,4.290800,0.349640,32.369911,0.897002,37.916525,33.389255
80,1.350027,4.386300,0.346560,32.393443,0.896411,37.664991,33.513922
81,1.366694,4.231200,0.364720,32.442341,0.896166,37.762672,33.505541
82,1.383361,3.613400,0.346200,32.379610,0.895496,38.056534,33.687898
83,1.400028,4.197300,0.382440,32.408252,0.895124,37.756783,33.627358
84,1.416695,3.562600,0.350000,32.446157,0.894670,37.809263,33.745500
85,1.433362,3.894300,0.369440,32.429590,0.894039,38.244031,33.768024
86,1.450029,3.983100,0.351120,32.502579,0.894069,37.909636,34.051768
87,1.466696,3.769000,0.405760,32.477999,0.893827,38.674625,33.991521
88,1.483363,3.954500,0.350920,32.565775,0.894053,38.452599,34.083543
89,1.500030,3.778800,0.363040,32.590520,0.894112,38.966219,34.166368
90,1.516697,4.082400,0.354880,32.639545,0.893978,38.894564,34.422144
91,1.533364,4.043600,0.367920,32.744583,0.894370,38.809996,34.381100
92,1.550031,3.986700,0.354640,32.765128,0.894288,39.005391,34.716761
93,1.566698,3.870300,0.422200,32.724952,0.893305,39.507371,34.652120
94,1.583365,3.724000,0.354720,32.754777,0.893064,39.346390,34.730246
95,1.600032,4.005900,0.365440,32.759173,0.892949,39.771238,34.706937
