frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.310600,0.258600,36.171544,0.941888,40.678165,37.268660
17,0.300006,3.775500,0.244400,36.170643,0.942562,41.562577,37.532833
18,0.316673,4.662900,0.253960,36.283293,0.942987,41.443152,37.731622
19,0.333340,4.138600,0.251080,36.441381,0.944109,42.229867,38.066478
20,0.350007,4.086100,0.262280,36.548279,0.945163,41.311985,37.857190
21,0.366674,4.068500,0.250920,36.444679,0.945124,42.831303,38.331852
22,0.383341,4.318100,0.259040,36.553816,0.946100,42.273479,38.305681
23,0.400008,3.987400,0.251600,36.638630,0.946933,43.711380,38.964177
24,0.416675,4.032400,0.278040,36.714732,0.947476,42.032190,38.501201
25,0.433342,3.930700,0.253000,36.658621,0.947587,43.651370,38.974222
26,0.450009,4.019100,0.253240,36.680133,0.948310,43.122310,38.627598
27,0.466676,4.343900,0.261240,36.834602,0.949409,43.383916,38.796213
28,0.483343,3.913500,0.244640,36.670683,0.949810,42.747213,38.361831
29,0.500010,4.191700,0.258440,36.818955,0.950648,43.477453,38.995495
30,0.516677,4.187100,0.245640,36.933793,0.951643,43.477373,38.987201
31,0.533344,4.107800,0.255720,36.789570,0.951514,43.601302,39.050626
32,0.550011,4.118900,0.282520,36.820143,0.952237,41.425175,38.069076
33,0.566678,4.339100,0.250520,36.761522,0.952660,43.051708,38.506741
34,0.583345,4.039000,0.266560,36.732012,0.953058,42.035080,37.911265
35,0.600012,4.998600,0.262880,36.793870,0.953869,43.470545,38.565948
36,0.616679,4.205900,0.256000,36.823842,0.954146,43.225011,38.511744
37,0.633346,4.461500,0.286800,37.031086,0.955337,43.516576,38.919717
38,0.650013,4.566500,0.248840,37.055675,0.956066,42.017812,38.306310
39,0.666680,4.231900,0.270800,36.898882,0.956140,44.043237,38.915423
40,0.683347,4.733900,0.254840,37.080502,0.956973,42.816149,38.441337
41,0.700014,5.010300,0.291520,36.921303,0.957470,43.767581,38.914383
42,0.716681,4.225700,0.261720,36.952245,0.958193,41.503877,37.723924
43,0.733348,4.263900,0.267520,36.752701,0.958297,43.353692,38.349614
44,0.750015,4.229200,0.263920,36.897830,0.959086,42.024489,37.747258
45,0.766682,4.247600,0.265040,36.990629,0.960200,43.185952,38.115834
46,0.783349,4.428900,0.264920,36.796411,0.960502,41.378471,37.249719
47,0.800016,4.525700,0.254240,36.918165,0.961526,41.714705,37.704069
48,0.816683,4.140100,0.272080,36.940439,0.962286,41.021398,37.228061
49,0.833350,4.746100,0.258040,36.722522,0.962331,40.807320,37.358356
50,0.850017,4.625900,0.262440,37.003851,0.963349,39.062698,36.416445
51,0.866684,4.433300,0.282560,37.031892,0.964103,41.032342,37.067942
