frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.079800,0.346520,36.263980,0.949083,40.785062,37.241282
17,0.300006,3.997200,0.361080,36.249924,0.949523,41.772751,37.522106
18,0.316673,4.151500,0.351400,36.383443,0.949887,41.657722,37.717465
19,0.333340,4.480500,0.353960,36.563043,0.950966,42.350321,38.054645
20,0.350007,3.926500,0.352280,36.675190,0.951931,41.505840,37.860444
21,0.366674,4.191100,0.363000,36.541163,0.951729,43.158698,38.310170
22,0.383341,3.865500,0.343560,36.645216,0.952638,42.523888,38.288561
23,0.400008,4.310000,0.365960,36.722285,0.953346,44.020419,38.943355
24,0.416675,4.146400,0.357680,36.817152,0.953878,42.200768,38.510721
25,0.433342,4.281800,0.383280,36.794342,0.953935,43.905202,38.963392
26,0.450009,4.239400,0.350280,36.801756,0.954617,43.401573,38.605594
27,0.466676,4.197800,0.350640,36.968217,0.955520,43.580007,38.783904
28,0.483343,4.050400,0.358080,36.782780,0.955809,42.981383,38.361075
29,0.500010,4.385800,0.384240,36.954887,0.956618,43.699848,38.993057
30,0.516677,4.399800,0.353360,37.084720,0.957514,43.679469,38.973503
31,0.533344,4.542300,0.435520,36.902123,0.957279,43.828392,39.027368
32,0.550011,4.007500,0.375040,36.969430,0.958011,41.673480,38.074629
33,0.566678,4.124300,0.355560,36.862192,0.958223,43.329526,38.501026
34,0.583345,4.187100,0.347400,36.852375,0.958546,42.294545,37.903001
35,0.600012,4.329400,0.585040,36.897252,0.959197,43.713184,38.538501
36,0.616679,4.207800,0.365400,36.934444,0.959414,43.517177,38.504283
37,0.633346,4.494000,0.438200,37.191802,0.960709,43.739294,38.920702
38,0.650013,4.310500,0.355200,37.231819,0.961394,42.303209,38.295460
39,0.666680,4.607000,0.367160,37.080972,0.961416,44.208386,38.896863
40,0.683347,4.233900,0.348800,37.241325,0.962103,43.057755,38.419579
41,0.700014,4.951400,0.366120,37.049818,0.962459,44.015861,38.902707
42,0.716681,4.622100,0.392760,37.101884,0.963123,41.642671,37.679330
43,0.733348,4.534600,0.388440,36.883599,0.963082,43.464807,38.297358
44,0.750015,4.290900,0.373800,37.006434,0.963744,42.205016,37.676760
45,0.766682,4.473900,0.372200,37.117159,0.964797,43.386318,38.108446
46,0.783349,4.569000,0.367480,36.897576,0.964989,41.639587,37.225144
47,0.800016,4.929200,0.355720,37.015426,0.965909,41.891182,37.677163
48,0.816683,4.384800,0.400040,37.025286,0.966560,41.275990,37.222660
49,0.833350,4.444400,0.387320,36.809917,0.966560,41.012875,37.340713
50,0.850017,4.269500,0.353360,37.080904,0.967478,39.273596,36.404713
51,0.866684,4.743200,0.366120,37.099871,0.968148,41.233720,37.071907
52,0.883351,4.578600,0.350160,37.179161,0.968800,39.673833,36.378381
53,0.900018,3.903400,0.382560,36.855805,0.968342,30.428589,29.590812
54,0.916685,4.448500,0.370720,36.066370,0.961727,21.839530,21.521319
55,0.933352,3.771700,0.331360,35.675392,0.958233,21.303349,20.951734
56,0.950019,4.091900,0.354680,35.586253,0.958305,20.480765,20.122082
57,0.966686,3.743400,0.316760,36.185222,0.961872,21.960393,21.607458
58,0.983353,4.228000,0.540920,36.960094,0.967123,24.392819,23.970201
