frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.190500,0.353280,36.679719,0.954357,40.974650,37.338728
17,0.300006,3.861500,0.346120,36.746368,0.955002,41.342680,37.550954
18,0.316673,4.282200,0.366800,36.841573,0.955447,41.970581,37.832903
19,0.333340,4.083400,0.363120,36.883483,0.955930,42.106928,38.017708
20,0.350007,4.456000,0.358720,36.882236,0.956429,42.321662,38.164216
21,0.366674,3.809100,0.350640,36.894395,0.956696,42.443973,38.216093
22,0.383341,4.113700,0.358720,36.998183,0.957463,42.731048,38.413929
23,0.400008,4.113000,0.346440,37.140688,0.958033,43.267481,38.848063
24,0.416675,4.456700,0.414920,37.150785,0.958495,43.535364,39.002306
25,0.433342,3.950200,0.361080,37.135662,0.958807,43.426170,38.965982
26,0.450009,4.399000,0.374920,37.163017,0.959601,43.349513,38.859383
27,0.466676,4.022300,0.354920,37.130750,0.959995,43.032415,38.607923
28,0.483343,4.502700,0.395000,37.216758,0.960541,43.086932,38.750330
29,0.500010,4.121900,0.354720,37.271090,0.961198,43.383649,38.943135
30,0.516677,4.459700,0.433120,37.290108,0.961700,43.607780,39.028455
31,0.533344,4.227600,0.363720,37.302749,0.962087,43.637665,39.009561
32,0.550011,4.006700,0.369960,37.252035,0.962615,43.179645,38.705963
33,0.566678,4.066000,0.342680,37.289968,0.962960,42.805508,38.429879
34,0.583345,4.516600,0.366600,37.265615,0.963332,42.803480,38.277610
35,0.600012,4.024200,0.366520,37.311044,0.963798,43.208132,38.582455
36,0.616679,4.600800,0.369360,37.430684,0.964305,43.623865,38.880691
37,0.633346,4.556800,0.349880,37.415803,0.964772,43.582847,38.787966
38,0.650013,4.222600,0.377200,37.350574,0.965004,43.681488,38.705926
39,0.666680,4.679400,0.356000,37.231104,0.964953,43.544631,38.702060
40,0.683347,4.307300,0.364040,37.323835,0.965658,43.331947,38.660158
41,0.700014,5.198100,0.353160,37.223313,0.966256,43.744036,38.462738
42,0.716681,4.347800,0.382520,37.344656,0.966972,43.460033,38.411519
43,0.733348,4.425500,0.370280,37.240709,0.967340,43.337118,38.315817
44,0.750015,4.877700,0.357640,37.280814,0.967956,42.961203,38.105708
45,0.766682,4.193700,0.388360,37.218202,0.968499,42.629921,37.911986
46,0.783349,4.808100,0.391200,37.227693,0.969249,42.389838,37.730076
47,0.800016,4.306600,0.377440,37.216000,0.969813,41.924956,37.479513
48,0.816683,4.330700,0.373480,37.206552,0.970199,41.481775,37.297606
49,0.833350,4.425800,0.367360,37.181577,0.970631,41.118411,37.131908
50,0.850017,4.225000,0.365880,37.204058,0.971385,40.847096,37.155820
51,0.866684,4.701800,0.353160,37.272367,0.972029,40.511837,37.062377
52,0.883351,4.167200,0.381880,37.245350,0.972672,40.537356,36.855317
53,0.900018,4.586600,0.414080,37.063227,0.972214,30.373831,29.581484
54,0.916685,3.856300,0.342840,36.052834,0.965011,21.863303,21.537501
55,0.933352,3.781700,0.359840,35.567014,0.961358,21.318751,20.949920
56,0.950019,3.655500,0.316280,35.270631,0.960270,20.496412,20.125133
57,0.966686,4.050500,0.325080,36.308938,0.964450,21.962067,21.579425
58,0.983353,3.840800,0.317920,36.924020,0.968692,24.481647,23.999094
59,1.000020,3.732900,0.338360,36.919957,0.972968,26.378629,25.780005
60,1.016687,4.098400,0.303880,37.717113,0.977656,28.518218,27.777745
61,1.033354,3.721000,0.285280,36.708185,0.973368,25.689267,24.985865
62,1.050021,4.203500,0.305680,35.112207,0.959067,22.628407,21.976275
63,1.066688,3.738400,0.290680,33.733964,0.945150,21.028430,20.366556
64,1.083355,3.839700,0.305240,31.471327,0.921669,20.598764,19.761008
65,1.100022,3.908900,0.332280,30.094423,0.902774,22.845719,21.501861
66,1.116689,3.574400,0.320600,29.886862,0.899323,25.111386,23.523603
67,1.133356,3.773400,0.371400,30.355449,0.901888,26.053396,24.710421
68,1.150023,4.028400,0.330880,30.967304,0.906814,26.556156,25.514276
69,1.166690,4.022600,0.341200,31.469914,0.910885,28.357286,27.080437
70,1.183357,4.134500,0.367680,31.867789,0.915438,35.123374,32.048589
71,1.200024,4.083200,0.349200,32.093489,0.917703,35.309282,32.250308
72,1.216691,3.939200,0.366080,32.242025,0.918429,35.522312,32.395580
73,1.233358,3.982300,0.356240,32.402984,0.918939,35.918111,32.724511
74,1.250025,3.968900,0.336480,32.534019,0.919565,36.136364,32.948419
75,1.266692,3.788600,0.353680,32.546236,0.919823,36.500428,33.096266
76,1.283359,4.273700,0.345080,32.531618,0.919782,36.647557,33.138865
77,1.300026,3.775800,0.372680,32.586827,0.920301,36.688514,33.221554
78,1.316693,3.953100,0.349680,32.640769,0.920844,36.874072,33.317965
79,1.333360,3.941700,0.376800,32.726523,0.921118,36.951919,33.391719
80,1.350027,4.231000,0.359480,32.731606,0.921217,37.116362,33.476181
81,1.366694,4.426700,0.347120,32.767247,0.921275,37.050930,33.540363
82,1.383361,4.141500,0.367240,32.822947,0.921405,37.070915,33.635533
83,1.400028,4.131100,0.381480,32.845656,0.921319,37.107123,33.639570
84,1.416695,3.995100,0.351680,32.906062,0.921001,37.146073,33.717851
85,1.433362,3.949700,0.364240,32.947528,0.921069,37.399157,33.827237
86,1.450029,4.149600,0.407880,33.007142,0.921344,37.446951,33.916253
87,1.466696,4.113300,0.363320,33.004476,0.921222,37.656778,33.967240
88,1.483363,3.957800,0.358080,33.084900,0.921689,37.640407,34.033292
89,1.500030,3.958600,0.367040,33.119925,0.921683,37.837563,34.176261
90,1.516697,3.881100,0.373760,33.178467,0.921898,38.054672,34.341521
91,1.533364,3.970800,0.367440,33.245747,0.921836,38.100104,34.460901
92,1.550031,4.113400,0.368840,33.255780,0.921615,38.391403,34.616326
93,1.566698,3.881300,0.367680,33.296524,0.921570,38.455176,34.660601
94,1.583365,3.881800,0.354920,33.284823,0.921202,38.636322,34.716027
95,1.600032,3.696200,0.367120,33.298863,0.920847,38.757303,34.747496
96,1.616699,4.003900,0.358720,33.321104,0.920871,39.018184,34.939526
97,1.633366,3.908600,0.358960,33.412481,0.921115,39.250322,35.106939
98,1.650033,3.815900,0.345960,33.486510,0.921262,39.387290,35.302214
99,1.666700,3.989000,0.365680,33.611036,0.921703,39.371956,35.458560
100,1.683367,3.905700,0.558840,33.658385,0.921842,39.553608,35.585230
101,1.700034,4.001500,0.362000,33.697128,0.922298,39.689057,35.714797
102,1.716701,4.089500,0.351480,33.703552,0.921969,39.748403,35.828962
103,1.733368,4.038100,0.369080,33.736378,0.922166,39.810699,35.838483
104,1.750035,3.581500,0.376920,33.740019,0.922101,39.964732,35.898017
105,1.766702,4.123100,0.349280,33.776997,0.922485,40.011699,35.998182
106,1.783369,4.093300,0.362200,33.802652,0.922586,40.134581,36.018863
107,1.800036,3.830400,0.362800,33.807977,0.922876,40.151790,36.027792
108,1.816703,3.818900,0.362240,33.843346,0.923141,40.184691,36.068567
109,1.833370,3.878900,0.347840,33.838880,0.923193,40.224264,36.054167
110,1.850037,3.927300,0.390480,33.823351,0.923301,40.193809,35.980813
111,1.866704,3.880800,0.365880,33.794823,0.923418,40.149843,35.841330
112,1.883371,4.111500,0.377080,33.784997,0.923392,39.944398,35.580997
113,1.900038,3.918000,0.376680,33.749138,0.923454,39.682514,35.370749
114,1.916705,3.924000,0.351960,33.790000,0.923927,39.322169,35.165773
115,1.933372,4.150100,0.380000,33.784030,0.924080,39.009069,35.013151
116,1.950039,3.926000,0.361960,33.788466,0.924355,38.590791,34.842206
117,1.966706,3.964500,0.355920,33.780955,0.924335,38.411423,34.742678
118,1.983373,4.121400,0.367480,33.797491,0.924488,38.258006,34.683501
119,2.000040,4.103600,0.377760,33.798507,0.924599,38.128860,34.606692
