frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.041400,0.382000,37.043274,0.961598,39.125355,37.241282
17,0.300006,4.164000,0.367600,37.023607,0.961963,39.787888,37.522106
18,0.316673,4.500700,0.438480,37.166534,0.962074,39.711545,37.717465
19,0.333340,4.230300,0.375080,37.346965,0.962841,40.279749,38.054645
20,0.350007,4.276400,0.420840,37.449265,0.963622,39.588357,37.860444
21,0.366674,4.191100,0.365360,37.327487,0.963562,40.713043,38.310170
22,0.383341,4.303800,0.384480,37.462072,0.964425,40.390735,38.288561
23,0.400008,4.259000,0.369520,37.575100,0.965015,41.271525,38.943355
24,0.416675,4.325200,0.381000,37.651828,0.965449,40.141709,38.510721
25,0.433342,4.269000,0.369200,37.610106,0.965509,41.274543,38.963392
26,0.450009,4.290000,0.450880,37.608072,0.966118,40.994353,38.605594
27,0.466676,4.198100,0.364960,37.767319,0.966614,41.202178,38.783904
28,0.483343,4.143700,0.384720,37.534373,0.966814,40.678835,38.361075
29,0.500010,4.032100,0.370040,37.727915,0.967627,41.269686,38.993057
30,0.516677,4.373100,0.388040,37.864355,0.968423,41.252776,38.973503
31,0.533344,4.412700,0.370560,37.647089,0.968055,41.382051,39.027368
32,0.550011,4.505400,0.429160,37.736582,0.968873,39.835751,38.074629
33,0.566678,4.255100,0.369840,37.579084,0.968801,41.061922,38.501026
34,0.583345,4.326400,0.414440,37.541221,0.969066,40.400209,37.903001
35,0.600012,4.258700,0.413560,37.620678,0.969787,41.307048,38.538501
36,0.616679,4.167600,0.382760,37.651336,0.969718,41.204623,38.504283
37,0.633346,4.233700,0.414680,37.919291,0.970906,41.443764,38.920702
38,0.650013,4.257300,0.376520,37.944940,0.971450,40.311322,38.295460
39,0.666680,4.220700,0.416200,37.748760,0.971350,41.720710,38.896863
40,0.683347,4.249700,0.393960,37.963638,0.972009,40.943321,38.419579
41,0.700014,5.326100,0.385760,37.739281,0.972191,41.529884,38.902707
42,0.716681,4.530100,0.384400,37.803553,0.972932,39.858508,37.679330
43,0.733348,4.232100,0.400160,37.533652,0.972605,41.273222,38.297358
44,0.750015,5.232200,0.378120,37.663442,0.973120,40.315455,37.676760
45,0.766682,4.203400,0.396160,37.758609,0.973838,41.203855,38.108446
46,0.783349,4.406400,0.415320,37.480076,0.973949,39.824789,37.225144
47,0.800016,4.213100,0.390720,37.619530,0.974875,40.110362,37.677163
48,0.816683,4.358000,0.396600,37.611443,0.975472,39.631661,37.222660
49,0.833350,4.380100,0.380120,37.363084,0.975199,39.399221,37.340713
50,0.850017,4.546500,0.392960,37.666875,0.976106,37.973744,36.404713
51,0.866684,4.486200,0.373640,37.673932,0.976506,39.531370,37.071907
52,0.883351,4.084000,0.393760,37.750742,0.977136,38.343230,36.378381
53,0.900018,4.582100,0.407320,37.324174,0.976415,30.249375,29.590812
54,0.916685,4.099200,0.397080,36.386714,0.969275,21.804846,21.521319
55,0.933352,3.891100,0.440120,35.955681,0.965615,21.273365,20.951734
56,0.950019,3.755400,0.351760,35.750860,0.964483,20.453136,20.122082
57,0.966686,3.921500,0.474520,36.393944,0.967924,21.934558,21.607458
