frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.714700,0.068560,30.493889,0.944338,28.139253,30.072289
17,0.300006,2.522500,0.069280,30.512123,0.944153,28.058692,29.962191
18,0.316673,2.543300,0.068000,30.568403,0.944747,28.067786,29.933897
19,0.333340,2.407600,0.068160,30.514822,0.944456,28.093379,29.930495
20,0.350007,2.582100,0.068440,30.520670,0.944529,28.084201,30.051394
21,0.366674,2.410700,0.068760,30.567079,0.944769,28.185926,30.149532
22,0.383341,2.455600,0.068880,30.640151,0.945580,28.222937,30.169540
23,0.400008,2.440400,0.114320,30.603541,0.945120,28.365042,30.517509
24,0.416675,2.322800,0.068600,30.685163,0.945696,28.448109,30.761823
25,0.433342,2.461500,0.068520,30.726483,0.946122,28.527284,30.765846
26,0.450009,2.242100,0.069040,30.765275,0.946573,28.522256,30.726281
27,0.466676,2.163600,0.068280,30.802539,0.946533,28.520369,30.730042
28,0.483343,2.395200,0.067880,30.697376,0.946246,28.517457,30.681311
29,0.500010,2.159900,0.069720,30.755060,0.946519,28.438117,30.660179
30,0.516677,2.282100,0.075600,30.735579,0.946354,28.694559,31.019428
31,0.533344,2.426700,0.069040,30.748332,0.946238,28.674097,30.978667
32,0.550011,2.432600,0.068480,30.765370,0.946522,28.539878,30.690966
33,0.566678,2.549600,0.068400,30.761528,0.946055,28.340629,30.358356
34,0.583345,2.381700,0.068200,30.747369,0.946139,28.367607,30.348177
35,0.600012,2.306000,0.074960,30.747631,0.946140,28.346237,30.336624
36,0.616679,2.382300,0.068280,30.681192,0.945580,28.522845,30.552719
37,0.633346,2.401400,0.069960,30.722671,0.945716,28.583893,30.668774
38,0.650013,2.074400,0.086640,30.746775,0.945932,28.633685,30.741908
39,0.666680,2.655200,0.069680,30.731096,0.945664,28.682075,30.768697
40,0.683347,2.506800,0.070320,30.760906,0.945976,28.667129,30.777599
41,0.700014,2.149300,0.067560,30.749538,0.945846,28.667298,30.790737
42,0.716681,2.289900,0.068160,30.755218,0.946062,28.584112,30.628354
43,0.733348,2.485100,0.068480,30.751011,0.945587,28.407680,30.289437
44,0.750015,2.503400,0.070160,30.713300,0.945603,28.418059,30.353762
45,0.766682,2.472000,0.069120,30.743389,0.945514,28.426643,30.420479
46,0.783349,2.632200,0.068600,30.703509,0.945427,28.369043,30.319936
47,0.800016,2.096500,0.068760,30.674058,0.945313,28.294830,30.254410
48,0.816683,2.170300,0.070560,30.731160,0.945536,28.344443,30.313811
49,0.833350,2.177000,0.173440,30.715726,0.945514,28.371603,30.319994
50,0.850017,2.336800,0.068000,30.727403,0.945596,28.311706,30.304781
51,0.866684,2.437100,0.067760,30.721385,0.945505,28.341400,30.289378
52,0.883351,2.635300,0.068800,30.772424,0.945790,28.345023,30.388909
53,0.900018,2.064600,0.068520,30.702520,0.945515,28.345392,30.395666
54,0.916685,2.522100,0.070760,30.694416,0.945696,28.271092,30.314650
55,0.933352,2.208500,0.108400,30.786450,0.945914,28.243574,30.293086
56,0.950019,2.514800,0.069000,30.724038,0.945606,28.363458,30.404924
57,0.966686,2.159000,0.069160,30.709722,0.945462,28.277212,30.367128
58,0.983353,2.353200,0.068720,30.736995,0.945695,28.331609,30.377122
59,1.000020,2.229300,0.067720,30.711455,0.945596,28.345311,30.430263
60,1.016687,2.684000,0.067920,30.723484,0.945659,28.378589,30.452210
61,1.033354,2.648500,0.069240,30.734301,0.945515,28.383093,30.477291
62,1.050021,2.765600,0.068160,30.711106,0.945415,28.472039,30.612323
63,1.066688,2.236000,0.070640,30.717292,0.945576,28.554927,30.747260
64,1.083355,2.253700,0.069200,30.751644,0.945789,28.577313,30.739490
65,1.100022,2.584700,0.074560,30.761418,0.945732,28.598514,30.698979
66,1.116689,2.381800,0.071000,30.715667,0.946019,28.358172,30.343901
67,1.133356,2.420900,0.068480,30.686052,0.945654,28.190729,30.001829
68,1.150023,2.636400,0.069000,30.702494,0.945626,28.179235,30.026103
69,1.166690,2.479800,0.069240,30.711645,0.945965,28.191638,29.993491
70,1.183357,2.648200,0.110680,30.700380,0.945338,28.192369,30.047916
71,1.200024,2.730200,0.069080,30.766038,0.945723,28.218126,30.074388
72,1.216691,2.453700,0.096040,30.857024,0.946626,28.298674,30.152963
73,1.233358,3.741200,0.069320,30.860290,0.946657,28.391723,30.230912
74,1.250025,2.152000,0.072080,30.865429,0.946771,28.386056,30.227186
75,1.266692,2.383600,0.094400,30.872594,0.946961,28.378944,30.166877
76,1.283359,2.416300,0.068440,30.896836,0.946990,28.383684,30.206846
77,1.300026,2.411800,0.068640,30.897748,0.947029,28.724144,30.685269
78,1.316693,2.426500,0.068840,30.890652,0.946809,28.775825,30.740166
79,1.333360,2.388000,0.068520,30.869309,0.946509,28.741713,30.739711
80,1.350027,2.432300,0.077920,30.845458,0.946160,28.429307,30.141865
81,1.366694,2.378700,0.069120,30.815967,0.946103,28.407319,30.092825
82,1.383361,2.164200,0.069880,30.810463,0.946325,28.376025,30.065396
83,1.400028,2.315300,0.068240,30.817269,0.946267,28.418759,30.140214
84,1.416695,2.410000,0.069600,30.784227,0.945864,28.424759,30.131744
85,1.433362,2.406600,0.068120,30.837866,0.946623,28.442958,30.114585
86,1.450029,2.145500,0.067840,30.858446,0.946822,28.423950,30.113211
87,1.466696,2.162700,0.070760,30.871512,0.946869,28.471435,30.125432
88,1.483363,2.463600,0.069120,30.871443,0.947058,28.436250,30.155252
89,1.500030,2.159200,0.068240,30.983467,0.947630,28.497005,30.182135
90,1.516697,2.442600,0.068600,30.972757,0.947743,28.582431,30.245747
91,1.533364,2.808200,0.068200,30.955761,0.947752,28.622188,30.320594
92,1.550031,2.825100,0.071680,30.981334,0.947993,28.637056,30.316459
93,1.566698,2.469500,0.068120,30.938780,0.947883,28.654234,30.353001
94,1.583365,2.586200,0.085440,30.989510,0.948220,28.634600,30.389085
95,1.600032,2.212000,0.067960,31.010034,0.948401,28.663925,30.369917
96,1.616699,2.282100,0.068120,31.016899,0.948558,28.656144,30.349259
97,1.633366,2.445200,0.067880,31.030352,0.948699,28.672432,30.315655
98,1.650033,2.650900,0.067680,31.000165,0.948755,28.780245,30.485849
99,1.666700,2.328800,0.068160,30.995193,0.948610,28.805674,30.495677
100,1.683367,2.389100,0.068520,30.973143,0.948100,28.703375,30.462062
101,1.700034,2.449200,0.085680,30.999921,0.948757,28.785532,30.466303
102,1.716701,2.524800,0.068800,31.075425,0.949058,28.829609,30.616615
103,1.733368,2.450900,0.068040,31.096049,0.949102,28.890952,30.605573
104,1.750035,2.442800,0.068840,31.135856,0.949150,29.064476,30.944712
105,1.766702,2.348200,0.068440,31.138531,0.949126,29.136091,31.028568
106,1.783369,2.434600,0.068720,31.159077,0.949352,29.168652,31.033199
107,1.800036,2.409000,0.068400,31.169668,0.949543,29.191649,31.054762
108,1.816703,2.530700,0.068960,31.150547,0.949477,29.199664,30.994485
109,1.833370,2.308100,0.067560,31.118601,0.949119,29.210921,31.054332
110,1.850037,2.317700,0.067960,31.129319,0.949222,29.409771,31.328419
111,1.866704,2.391300,0.068680,31.128061,0.948986,29.276962,31.221905
112,1.883371,2.369200,0.069600,31.075147,0.948519,28.935887,30.564284
113,1.900038,2.683400,0.067480,31.061796,0.948822,28.734245,30.240990
114,1.916705,2.430700,0.068360,31.057318,0.948648,28.804997,30.267349
115,1.933372,2.382900,0.067960,31.028643,0.948371,28.851063,30.368617
116,1.950039,2.771700,0.068720,31.033159,0.948735,28.877764,30.444022
117,1.966706,2.374300,0.068320,31.070093,0.948994,28.915820,30.413838
118,1.983373,2.686300,0.269680,31.064255,0.949044,28.843428,30.332660
119,2.000040,2.577100,0.067880,31.033927,0.948849,28.794847,30.309890
