frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.437900,0.060960,30.903983,0.945233,29.316806,30.072289
17,0.300006,2.365200,0.060640,30.914907,0.945074,29.214140,29.962191
18,0.316673,2.327500,0.059440,30.966976,0.945562,29.220479,29.933897
19,0.333340,2.439900,0.058280,30.922042,0.945392,29.258632,29.930495
20,0.350007,2.193700,0.058240,30.928265,0.945440,29.256455,30.051394
21,0.366674,2.585300,0.058760,30.973870,0.945640,29.373699,30.149532
22,0.383341,2.577100,0.059560,31.051279,0.946458,29.421099,30.169540
23,0.400008,2.691400,0.056200,31.021527,0.946073,29.599610,30.517509
24,0.416675,2.191200,0.060640,31.092118,0.946544,29.697122,30.761823
25,0.433342,2.578100,0.059720,31.137706,0.946998,29.790630,30.765846
26,0.450009,2.517000,0.060400,31.159660,0.947280,29.771946,30.726281
27,0.466676,2.441700,0.061400,31.207291,0.947311,29.763344,30.730042
28,0.483343,2.488800,0.061400,31.108768,0.947082,29.769723,30.681311
29,0.500010,2.262900,0.060320,31.173000,0.947394,29.678596,30.660179
30,0.516677,2.610100,0.059720,31.149760,0.947265,30.004001,31.019428
31,0.533344,2.377500,0.057840,31.166815,0.947150,29.985024,30.978667
32,0.550011,2.228300,0.060440,31.184191,0.947429,29.825086,30.690966
33,0.566678,2.721300,0.058920,31.174789,0.946959,29.565126,30.358356
34,0.583345,2.554000,0.058000,31.163041,0.947056,29.610602,30.348177
35,0.600012,2.503700,0.056920,31.169203,0.947081,29.585348,30.336624
36,0.616679,2.183100,0.058080,31.109989,0.946586,29.803241,30.552719
37,0.633346,2.413100,0.058440,31.138649,0.946675,29.876306,30.668774
38,0.650013,2.321800,0.057880,31.171829,0.946963,29.923603,30.741908
39,0.666680,2.440200,0.061560,31.155166,0.946723,29.991677,30.768697
40,0.683347,2.420700,0.059440,31.190971,0.947080,29.968404,30.777599
41,0.700014,2.256800,0.059400,31.165866,0.946881,29.962887,30.790737
42,0.716681,2.317700,0.064200,31.175850,0.947099,29.876804,30.628354
43,0.733348,2.189700,0.058480,31.175778,0.946672,29.647453,30.289437
44,0.750015,2.657300,0.059520,31.139033,0.946729,29.703250,30.353762
45,0.766682,2.692200,0.058560,31.164673,0.946619,29.719815,30.420479
46,0.783349,2.510000,0.058160,31.127842,0.946567,29.646788,30.319936
47,0.800016,2.509300,0.059320,31.103209,0.946523,29.566464,30.254410
48,0.816683,2.199900,0.058200,31.158180,0.946716,29.621512,30.313811
49,0.833350,2.456800,0.058520,31.139958,0.946695,29.652976,30.319994
50,0.850017,2.349500,0.058280,31.156953,0.946809,29.598640,30.304781
51,0.866684,2.502900,0.059240,31.144133,0.946635,29.618063,30.289378
52,0.883351,2.427000,0.061520,31.205791,0.947023,29.625710,30.388909
53,0.900018,2.644600,0.060760,31.135355,0.946697,29.637555,30.395666
54,0.916685,2.332800,0.059040,31.127349,0.946878,29.555905,30.314650
55,0.933352,2.358900,0.058520,31.211326,0.946951,29.524899,30.293086
56,0.950019,2.264000,0.058000,31.154144,0.946782,29.653872,30.404924
57,0.966686,2.467900,0.064840,31.139971,0.946626,29.558074,30.367128
58,0.983353,2.305600,0.059400,31.160133,0.946809,29.617121,30.377122
59,1.000020,2.012800,0.058560,31.139593,0.946750,29.630950,30.430263
60,1.016687,2.321600,0.057080,31.155819,0.946839,29.677154,30.452210
61,1.033354,2.584500,0.058200,31.159133,0.946646,29.682521,30.477291
62,1.050021,2.486500,0.057760,31.141506,0.946567,29.807849,30.612323
63,1.066688,2.602100,0.063000,31.147295,0.946756,29.903842,30.747260
64,1.083355,2.628800,0.059640,31.183159,0.946963,29.929130,30.739490
65,1.100022,2.356100,0.059560,31.179307,0.946817,29.944698,30.698979
