frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.452100,0.143200,30.868005,0.952936,27.085279,30.157022
17,0.300006,2.633500,0.142720,30.857442,0.952883,27.082590,30.022349
18,0.316673,2.804200,0.143640,30.868136,0.952875,27.092723,29.968219
19,0.333340,2.575700,0.140880,30.831101,0.952657,27.075755,30.001055
20,0.350007,2.456500,0.143800,30.908653,0.953112,27.164674,30.130216
21,0.366674,2.450000,0.143560,30.942850,0.953428,27.232923,30.202565
22,0.383341,2.482600,0.144320,30.976820,0.953529,27.252557,30.250919
23,0.400008,2.288900,0.142360,30.948582,0.953644,27.377724,30.558370
24,0.416675,2.377500,0.143200,30.988006,0.953935,27.489172,30.795410
25,0.433342,2.309800,0.142040,30.998599,0.954130,27.520639,30.809908
26,0.450009,2.395400,0.138240,31.024433,0.954465,27.546183,30.798862
27,0.466676,2.526900,0.139960,31.050767,0.954471,27.593699,30.803602
28,0.483343,2.471000,0.138880,31.100174,0.954867,27.550811,30.758924
29,0.500010,2.484200,0.139440,31.057287,0.954468,27.531812,30.743894
30,0.516677,2.590000,0.139640,31.077712,0.954787,27.681076,31.100428
31,0.533344,2.681300,0.142160,31.056667,0.954249,27.661894,31.064325
32,0.550011,2.680100,0.144760,31.061062,0.954256,27.503552,30.767799
33,0.566678,2.324700,0.142080,31.082966,0.954395,27.391656,30.418211
34,0.583345,2.622000,0.139320,31.013784,0.954098,27.342483,30.406985
35,0.600012,2.653400,0.142120,31.070424,0.954443,27.370776,30.392296
36,0.616679,2.549500,0.341480,31.025618,0.954335,27.472433,30.625900
37,0.633346,2.509500,0.140960,31.012931,0.954044,27.521559,30.753063
38,0.650013,2.565200,0.143000,31.023415,0.954204,27.566706,30.790522
39,0.666680,2.520700,0.180160,30.985949,0.953941,27.558808,30.829511
40,0.683347,2.623900,0.142960,31.039121,0.953983,27.548617,30.867415
41,0.700014,2.506900,0.144600,31.048853,0.953911,27.582741,30.861245
42,0.716681,2.651200,0.142960,31.030773,0.954179,27.448881,30.695016
43,0.733348,2.412800,0.137520,31.056366,0.953879,27.351245,30.353209
44,0.750015,2.284300,0.141400,30.997971,0.953568,27.359731,30.392839
45,0.766682,2.579300,0.142600,31.031796,0.953759,27.402172,30.481573
46,0.783349,2.554900,0.143520,30.969878,0.953308,27.380749,30.383854
47,0.800016,2.494900,0.137600,30.985074,0.953558,27.345310,30.314806
48,0.816683,2.681900,0.139800,31.021871,0.953792,27.362502,30.381873
49,0.833350,2.468500,0.139200,31.010160,0.953659,27.413099,30.401381
50,0.850017,2.623500,0.200640,31.032046,0.953764,27.376451,30.379534
51,0.866684,2.316500,0.139320,31.008297,0.953576,27.377790,30.357217
52,0.883351,2.545400,0.142160,31.025187,0.953432,27.421271,30.455685
53,0.900018,2.482300,0.140280,31.014850,0.953939,27.397333,30.464214
54,0.916685,2.555700,0.139480,31.118679,0.954516,27.339598,30.376163
55,0.933352,2.396000,0.139200,31.019403,0.954149,27.314756,30.360609
56,0.950019,2.653700,0.143880,31.007233,0.953953,27.408167,30.500383
57,0.966686,2.420300,0.143840,31.010136,0.953907,27.388890,30.443903
58,0.983353,2.653600,0.143960,31.009978,0.953967,27.373872,30.448371
59,1.000020,2.360900,0.143880,31.011320,0.953904,27.415043,30.496417
60,1.016687,2.724400,0.144760,31.005289,0.953913,27.428051,30.520491
61,1.033354,2.462700,0.144840,31.034404,0.954240,27.462770,30.539645
62,1.050021,2.437400,0.143920,31.024251,0.953860,27.534148,30.692456
63,1.066688,2.372800,0.143920,30.990831,0.953849,27.601625,30.806937
64,1.083355,2.500500,0.144640,30.984531,0.953685,27.575414,30.802298
65,1.100022,2.420700,0.143520,31.028697,0.953958,27.571147,30.751821
66,1.116689,2.548500,0.142240,30.993382,0.954022,27.415130,30.420123
67,1.133356,2.640000,0.201560,30.975841,0.953657,27.283428,30.060318
68,1.150023,2.637600,0.139760,30.958062,0.953749,27.255860,30.068406
69,1.166690,2.412400,0.144800,30.972931,0.953883,27.282884,30.061033
70,1.183357,3.047000,0.139680,30.971107,0.953559,27.281047,30.091046
71,1.200024,2.597000,0.364160,31.050007,0.953989,27.308104,30.101069
72,1.216691,2.329500,0.149680,31.156459,0.954858,27.412246,30.212802
73,1.233358,3.381500,0.140120,31.159682,0.954877,27.542692,30.274710
74,1.250025,2.717300,0.377520,31.123486,0.954589,27.483327,30.281814
75,1.266692,2.466100,0.141440,31.157723,0.954942,27.498598,30.240265
76,1.283359,2.647300,0.143440,31.151727,0.954844,27.473226,30.249902
77,1.300026,2.471300,0.144080,31.176823,0.954908,27.760368,30.743715
78,1.316693,2.444500,0.143520,31.138659,0.954539,27.800246,30.810270
79,1.333360,2.547400,0.146160,31.124615,0.954225,27.742116,30.807673
80,1.350027,2.574200,0.142560,31.099719,0.954422,27.472278,30.250662
81,1.366694,2.518300,0.144960,31.087231,0.954324,27.436072,30.156934
82,1.383361,2.411100,0.160800,31.082419,0.954226,27.397588,30.128361
83,1.400028,2.608900,0.140840,31.105004,0.954401,27.465450,30.193505
84,1.416695,2.580400,0.139640,31.132482,0.954750,27.454089,30.184332
85,1.433362,2.292700,0.138040,31.139101,0.954727,27.464607,30.147981
86,1.450029,2.347200,0.183640,31.154148,0.954973,27.463377,30.161376
87,1.466696,2.349100,0.142280,31.195661,0.955082,27.488578,30.160803
88,1.483363,2.663600,0.139760,31.183184,0.955248,27.497932,30.183252
89,1.500030,2.681100,0.140040,31.232144,0.955547,27.541117,30.237861
90,1.516697,2.843500,0.143560,31.259351,0.955681,27.587226,30.260710
91,1.533364,2.423000,0.142560,31.252429,0.955774,27.608844,30.343563
92,1.550031,2.688800,0.144160,31.281152,0.956110,27.623860,30.351787
93,1.566698,2.615200,0.145240,31.264333,0.956093,27.636968,30.368255
94,1.583365,2.320400,0.142520,31.272904,0.956294,27.693062,30.425168
95,1.600032,2.664400,0.143320,31.261739,0.956377,27.669777,30.389322
96,1.616699,2.394500,0.145040,31.232477,0.956078,27.653807,30.389372
97,1.633366,2.304900,0.142400,31.316201,0.956698,27.672374,30.342915
98,1.650033,2.465100,0.141960,31.313855,0.956732,27.795192,30.537900
99,1.666700,2.313900,0.140280,31.283618,0.956327,27.814259,30.578546
100,1.683367,2.456100,0.143320,31.313007,0.956601,27.793579,30.505783
101,1.700034,2.410900,0.140120,31.362898,0.957118,27.823798,30.517314
102,1.716701,2.439800,0.138720,31.387263,0.957032,27.893107,30.640537
103,1.733368,2.521400,0.141360,31.384280,0.957119,27.874697,30.615784
104,1.750035,2.598200,0.139480,31.400585,0.957071,28.070163,30.981544
105,1.766702,2.499300,0.177360,31.427130,0.957081,28.106826,31.067824
106,1.783369,2.309300,0.142760,31.421271,0.956768,28.147092,31.117748
107,1.800036,2.456500,0.142840,31.442344,0.957049,28.181150,31.109409
108,1.816703,2.239900,0.144360,31.422995,0.957002,28.167027,31.044994
109,1.833370,2.388000,0.145640,31.449646,0.956973,28.210849,31.168137
110,1.850037,2.401000,0.141240,31.440732,0.956821,28.313390,31.356928
111,1.866704,2.466800,0.140360,31.384938,0.956515,28.238648,31.255706
112,1.883371,2.541400,0.182400,31.358764,0.956160,27.929329,30.595246
113,1.900038,2.436100,0.139520,31.346999,0.956335,27.697656,30.273548
114,1.916705,2.356000,0.139000,31.335758,0.956215,27.733132,30.250205
115,1.933372,2.576800,0.138640,31.325489,0.955971,27.760285,30.400899
116,1.950039,2.491500,0.140640,31.333494,0.956046,27.840050,30.463681
117,1.966706,2.542100,0.142640,31.331545,0.956132,27.808543,30.393668
118,1.983373,2.493800,0.144000,31.322845,0.956082,27.757665,30.324835
119,2.000040,2.385300,0.143080,31.316453,0.956130,27.772508,30.290199
