frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.764200,0.070640,30.026935,0.943996,27.108413,30.157022
17,0.300006,2.825400,0.071040,29.994625,0.943787,27.081376,30.022349
18,0.316673,2.548900,0.148680,30.006993,0.943984,27.063649,29.968219
19,0.333340,2.269400,0.070640,29.992029,0.943572,27.102723,30.001055
20,0.350007,2.528600,0.074200,30.113671,0.944672,27.168556,30.130216
21,0.366674,2.498500,0.072400,30.056119,0.944352,27.278849,30.202565
22,0.383341,2.474500,0.074800,30.107436,0.944617,27.248799,30.250919
23,0.400008,2.332200,0.074440,30.161481,0.944928,27.358003,30.558370
24,0.416675,2.385000,0.074320,30.169969,0.945191,27.527624,30.795410
25,0.433342,2.158000,0.075280,30.139007,0.945019,27.479885,30.809908
26,0.450009,2.502100,0.074800,30.177653,0.945523,27.529914,30.798862
27,0.466676,2.220600,0.147360,30.229294,0.945468,27.611817,30.803602
28,0.483343,2.487600,0.091640,30.203260,0.945693,27.580116,30.758924
29,0.500010,2.202200,0.073120,30.261771,0.945621,27.566823,30.743894
30,0.516677,2.718800,0.073280,30.211431,0.945729,27.689046,31.100428
31,0.533344,2.528900,0.076800,30.201058,0.945185,27.738920,31.064325
32,0.550011,2.629700,0.074960,30.183751,0.944856,27.494692,30.767799
33,0.566678,2.475500,0.074480,30.182546,0.945045,27.407212,30.418211
34,0.583345,2.538600,0.076000,30.144619,0.944919,27.362494,30.406985
35,0.600012,2.318600,0.074440,30.185860,0.945143,27.412722,30.392296
36,0.616679,2.386900,0.077000,30.149251,0.945018,27.500763,30.625900
37,0.633346,2.274500,0.075880,30.109366,0.944162,27.549958,30.753063
38,0.650013,2.190100,0.074240,30.086927,0.944318,27.580100,30.790522
39,0.666680,2.273200,0.075960,30.028241,0.944017,27.546736,30.829511
40,0.683347,2.237200,0.075560,30.111956,0.944157,27.572212,30.867415
41,0.700014,2.363100,0.072320,30.079774,0.943916,27.581011,30.861245
42,0.716681,2.758900,0.071720,30.100365,0.944059,27.466174,30.695016
43,0.733348,2.432400,0.075040,30.066911,0.943392,27.343610,30.353209
44,0.750015,2.544100,0.074200,30.020471,0.943292,27.315939,30.392839
45,0.766682,2.513000,0.074240,30.067680,0.943577,27.353173,30.481573
46,0.783349,2.687800,0.075640,30.030501,0.943216,27.338571,30.383854
47,0.800016,2.395500,0.073560,30.043247,0.943225,27.291264,30.314806
48,0.816683,2.294400,0.075360,30.017980,0.943392,27.310198,30.381873
49,0.833350,2.348700,0.073840,29.974390,0.942813,27.349434,30.401381
