frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.295100,1.567680,37.546409,0.958499,37.752368,37.524645
17,0.300006,13.463800,1.561760,37.559243,0.958451,38.322240,38.000241
18,0.316673,14.498900,1.628240,37.621301,0.958810,38.390761,38.102567
19,0.333340,13.950800,1.651160,37.603833,0.958480,38.851580,38.593342
20,0.350007,13.723300,2.032800,37.657690,0.958919,38.870812,38.710510
21,0.366674,13.504100,1.579640,37.672895,0.959136,39.305324,38.981392
22,0.383341,13.423100,1.564000,37.719781,0.959322,38.727119,38.568142
23,0.400008,13.543300,1.616720,37.795031,0.959843,39.784423,39.708460
24,0.416675,13.552700,1.560600,37.791372,0.960242,39.695568,39.550556
25,0.433342,13.717900,1.555160,37.890620,0.961114,39.940861,39.820194
26,0.450009,13.587400,1.570280,37.831812,0.961068,39.335664,39.094195
27,0.466676,13.516600,1.689600,37.841650,0.961354,39.653361,39.374168
28,0.483343,13.747000,1.557840,37.858180,0.961492,39.292383,39.134173
29,0.500010,13.262700,1.930640,37.932652,0.961993,39.783329,39.658287
30,0.516677,13.697500,1.862160,37.947601,0.962556,38.874385,38.835200
31,0.533344,13.678400,1.556760,37.953565,0.962732,39.571652,39.406927
32,0.550011,14.258800,1.550040,38.015674,0.963632,38.983878,38.661732
33,0.566678,13.957900,1.560080,38.106576,0.964098,39.274659,38.825344
34,0.583345,13.760700,1.815120,38.095147,0.963934,38.220386,38.067970
35,0.600012,13.545300,1.642160,38.141475,0.964437,39.174176,39.017693
36,0.616679,13.859700,1.548560,38.194509,0.965005,38.975499,38.754868
37,0.633346,13.956300,1.812920,38.221106,0.965279,39.622808,39.366504
38,0.650013,14.157200,1.638440,38.187206,0.965297,38.445254,38.277628
39,0.666680,14.890100,1.640680,38.267451,0.965900,39.135893,38.996758
40,0.683347,14.051800,1.564280,38.331556,0.966671,38.745818,38.515580
41,0.700014,14.401000,1.582720,38.380538,0.967277,39.665688,39.076070
42,0.716681,14.105200,1.573960,38.288922,0.966858,38.329973,38.047005
43,0.733348,13.893600,1.608760,38.322581,0.967281,38.928141,38.510208
44,0.750015,14.302900,1.669080,38.335825,0.968259,38.264296,37.879325
45,0.766682,14.089500,1.662480,38.237898,0.968604,38.795527,38.132538
46,0.783349,14.185500,1.942960,38.330419,0.969181,37.097234,36.924448
47,0.800016,13.900200,1.875920,38.357495,0.969971,37.562880,37.322316
48,0.816683,14.019600,1.589960,38.468165,0.971188,36.953525,36.750857
49,0.833350,14.365100,1.619760,38.455037,0.971553,37.483485,37.169607
50,0.850017,14.439800,1.874560,38.317490,0.971300,36.308788,36.289504
51,0.866684,14.326000,1.933720,38.354025,0.971219,37.050697,36.846855
52,0.883351,13.737500,1.593600,38.488982,0.972446,36.641037,36.395266
53,0.900018,13.757400,1.593200,38.418478,0.972631,29.595617,29.563051
54,0.916685,13.226500,1.564680,37.814241,0.968924,21.511148,21.506012
