frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.189600,1.339720,37.797684,0.960417,38.036434,37.524832
17,0.300006,13.158700,1.379080,37.817464,0.960434,38.628922,38.000337
18,0.316673,13.418400,1.352040,37.886195,0.960835,38.699285,38.102567
19,0.333340,13.240600,1.372920,37.872996,0.960551,39.174433,38.593342
20,0.350007,13.220000,1.356080,37.916002,0.960892,39.194610,38.710510
21,0.366674,13.574400,1.348600,37.932489,0.961107,39.648378,38.981392
22,0.383341,13.274000,1.371120,37.986383,0.961323,39.031853,38.568041
23,0.400008,13.971400,1.354200,38.057552,0.961791,40.162703,39.708417
24,0.416675,13.822200,1.346880,38.048605,0.962160,40.060759,39.550566
25,0.433342,13.473100,1.349680,38.145264,0.962959,40.325215,39.820224
26,0.450009,13.235100,1.350920,38.090169,0.962981,39.674963,39.094205
27,0.466676,13.099000,1.346680,38.103431,0.963287,40.003992,39.374168
28,0.483343,13.469200,1.337960,38.115160,0.963375,39.616702,39.134173
29,0.500010,13.600000,1.341680,38.184540,0.963816,40.134910,39.658287
30,0.516677,13.524500,1.401680,38.198678,0.964328,39.188627,38.835200
31,0.533344,13.091700,1.366440,38.206102,0.964501,39.910491,39.406927
32,0.550011,13.395300,1.361200,38.268137,0.965400,39.295758,38.661732
33,0.566678,13.369300,1.340880,38.359858,0.965827,39.590096,38.825344
34,0.583345,13.566300,1.410720,38.342008,0.965625,38.497637,38.067970
35,0.600012,13.607700,1.351040,38.390422,0.966105,39.493157,39.017693
36,0.616679,14.166900,1.369080,38.441261,0.966630,39.287064,38.755332
37,0.633346,13.886200,1.591720,38.459298,0.966836,39.962397,39.366870
38,0.650013,14.083500,1.642120,38.421486,0.966829,38.746168,38.277628
39,0.666680,14.039100,1.364680,38.492000,0.967326,39.462870,38.996758
40,0.683347,15.443400,1.365080,38.558653,0.968093,39.051127,38.515580
41,0.700014,13.883900,1.583400,38.610815,0.968710,40.010003,39.076070
42,0.716681,14.248800,1.469720,38.520543,0.968325,38.616655,38.047031
43,0.733348,14.234700,1.667960,38.548729,0.968693,39.242026,38.510218
44,0.750015,14.163600,1.376920,38.552613,0.969575,38.548891,37.879325
45,0.766682,13.984800,1.405680,38.451728,0.969900,39.086746,38.132538
46,0.783349,14.017700,1.749440,38.534662,0.970379,37.337118,36.924448
47,0.800016,13.776400,1.661200,38.554606,0.971090,37.810233,37.322316
48,0.816683,14.142700,1.664800,38.660099,0.972225,37.178217,36.750857
49,0.833350,13.978500,1.386080,38.645539,0.972575,37.717746,37.169607
50,0.850017,14.136100,1.695360,38.505781,0.972331,36.517515,36.289504
51,0.866684,14.057800,1.681960,38.541926,0.972236,37.277154,36.846835
52,0.883351,13.456500,1.369120,38.659624,0.973286,36.856694,36.395258
53,0.900018,14.158100,1.667280,38.587399,0.973421,29.635512,29.563051
54,0.916685,12.927500,1.362560,38.001457,0.969929,21.518773,21.506012
55,0.933352,12.099800,1.332960,37.930980,0.969125,20.967131,20.947416
56,0.950019,11.579000,1.589600,38.162659,0.972522,20.135653,20.116695
57,0.966686,11.455500,1.254120,38.566984,0.976944,21.650945,21.603186
58,0.983353,11.924400,1.240640,38.958516,0.980976,24.042170,23.990359
59,1.000020,11.842000,1.223440,38.744738,0.984553,25.974472,25.785964
60,1.016687,14.177300,1.189680,39.603033,0.987157,27.864622,27.749499
61,1.033354,12.673600,1.184360,39.823227,0.986540,25.029798,24.961452
62,1.050021,12.583400,1.169920,38.716090,0.976310,21.988043,21.946111
63,1.066688,12.402900,1.245800,37.582314,0.962858,20.360723,20.344105
64,1.083355,12.952700,1.228080,35.149439,0.946759,19.752510,19.744462
65,1.100022,12.229600,1.259040,34.186353,0.940599,21.500977,21.481847
66,1.116689,12.510000,1.576280,34.733841,0.943617,23.382363,23.455572
67,1.133356,11.484500,1.383200,34.758405,0.943458,24.621597,24.618573
68,1.150023,12.140700,1.473280,34.763712,0.942868,25.495266,25.412718
69,1.166690,12.160700,1.368800,34.720517,0.941444,27.049723,26.958733
70,1.183357,11.644900,1.662800,34.663723,0.940392,32.339286,31.875454
71,1.200024,11.559700,1.381240,34.595886,0.939502,32.399656,32.061034
72,1.216691,11.887700,1.409760,34.601961,0.939110,32.640982,32.258034
73,1.233358,11.796000,1.387240,34.535893,0.938456,32.930762,32.532177
74,1.250025,11.793100,1.402320,34.484170,0.937662,33.336738,32.840211
75,1.266692,11.922900,1.670400,34.479448,0.937395,33.392671,32.987992
76,1.283359,11.724400,1.379640,34.485334,0.937624,33.487028,33.063047
77,1.300026,11.960100,1.630520,34.422515,0.937429,33.609628,33.145546
78,1.316693,11.840100,1.410880,34.431753,0.937064,33.701921,33.236377
79,1.333360,11.428400,1.455200,34.473798,0.936976,33.770391,33.366361
80,1.350027,11.755200,1.376600,34.498210,0.937195,33.824672,33.397310
81,1.366694,11.739900,1.389640,34.525852,0.937203,33.984169,33.549298
82,1.383361,11.972000,1.477920,34.541165,0.937586,34.149160,33.632605
