frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,3.794600,0.173920,34.503445,0.913988,34.927297,37.160948
17,0.300006,3.714500,0.178000,34.504800,0.914504,35.014696,37.391706
18,0.316673,3.852800,0.208360,34.556662,0.915325,35.333147,37.671800
19,0.333340,3.885700,0.174400,34.560774,0.916035,35.306160,37.921052
20,0.350007,3.809400,0.189920,34.627893,0.917146,35.563794,38.032688
21,0.366674,3.906400,0.183480,34.695634,0.917971,35.422113,38.041934
22,0.383341,3.944700,0.173040,34.646891,0.918402,35.628804,38.267128
23,0.400008,4.389500,0.208920,34.750640,0.919543,35.901235,38.743964
24,0.416675,3.838500,0.175320,34.779755,0.920593,36.040133,38.881420
25,0.433342,4.307700,0.284800,34.719235,0.921127,36.024506,38.935694
26,0.450009,4.170600,0.187280,34.826408,0.922403,35.994695,38.795080
27,0.466676,4.026700,0.185920,34.867550,0.923396,35.938457,38.519292
28,0.483343,3.928800,0.195800,34.997140,0.924294,36.084512,38.617222
29,0.500010,3.906800,0.213240,34.951589,0.925108,36.167588,38.843776
30,0.516677,4.381000,0.199080,35.021316,0.926011,36.160334,38.889240
31,0.533344,4.130700,0.181040,34.981415,0.926478,36.207092,38.833634
32,0.550011,4.505000,0.582200,35.037024,0.927811,36.170358,38.533653
33,0.566678,4.042500,0.182000,35.054514,0.928464,36.086813,38.247121
34,0.583345,4.243200,0.207600,35.080147,0.929222,36.063774,38.185996
35,0.600012,3.870900,0.180640,35.145866,0.930312,36.224344,38.421912
36,0.616679,4.690500,0.202880,35.138924,0.930776,36.424603,38.596684
37,0.633346,4.059000,0.200360,35.280550,0.932208,36.492258,38.681292
38,0.650013,4.189300,0.188120,35.204597,0.932794,36.547656,38.591507
39,0.666680,3.851900,0.183120,35.232714,0.933747,36.440880,38.634538
40,0.683347,4.180400,0.225880,35.375214,0.935223,36.600135,38.624440
41,0.700014,4.880600,0.187520,35.407795,0.936229,36.695626,38.444858
42,0.716681,4.590300,0.191480,35.480254,0.937478,36.621037,38.325787
43,0.733348,3.822900,0.192080,35.498539,0.938605,36.622065,38.076348
44,0.750015,4.035800,0.201160,35.492800,0.939514,36.557043,37.882591
45,0.766682,4.224600,0.182560,35.566853,0.940991,36.281319,37.690786
46,0.783349,4.503000,0.199440,35.594705,0.942297,36.198966,37.481750
47,0.800016,4.038600,0.187640,35.674853,0.943841,36.192037,37.350565
48,0.816683,4.269200,0.201840,35.683994,0.944923,36.066075,37.073950
49,0.833350,3.936800,0.182320,35.666879,0.945977,35.904252,36.925442
50,0.850017,4.309000,0.202640,35.762671,0.947455,35.895776,36.927253
51,0.866684,4.057000,0.181160,35.789061,0.948646,35.958452,36.767682
52,0.883351,4.134600,0.240800,35.935801,0.950565,35.779875,36.494558
53,0.900018,3.853900,0.186920,35.863055,0.951506,29.362685,29.543381
54,0.916685,3.727100,0.203160,35.424369,0.947600,21.519569,21.526299
55,0.933352,3.901600,0.188560,35.239445,0.946968,20.924748,20.941881
56,0.950019,3.789400,0.165800,35.551403,0.951889,20.103187,20.113874
57,0.966686,3.834100,0.178600,36.311725,0.956473,21.532728,21.564818
58,0.983353,3.604800,0.161200,36.925562,0.961733,23.952568,23.967631
59,1.000020,3.601200,0.160680,36.838066,0.967549,25.762544,25.756573
60,1.016687,3.993200,0.171800,37.436977,0.972656,27.660756,27.720649
61,1.033354,3.874000,0.162200,37.279025,0.970532,24.954363,24.971886
62,1.050021,3.723200,0.161160,36.495279,0.959452,21.974550,21.981031
63,1.066688,3.701300,0.174040,35.593950,0.946522,20.349615,20.372549
64,1.083355,3.632800,0.158840,33.680876,0.928671,19.755367,19.764305
65,1.100022,4.015400,0.180760,32.447848,0.913287,21.465175,21.503110
66,1.116689,3.954400,0.182360,32.111864,0.906599,23.373580,23.507886
67,1.133356,3.788500,0.167360,31.981237,0.902082,24.491550,24.700706
68,1.150023,3.821100,0.193920,31.877188,0.898788,25.214804,25.506262
