frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.016100,0.197480,36.294075,0.940878,37.333862,37.355037
17,0.300006,4.326400,0.202480,36.366239,0.941680,37.626135,37.555162
18,0.316673,4.121800,0.200840,36.474377,0.942262,37.892875,37.842472
19,0.333340,4.040600,0.227800,36.462680,0.942555,38.057135,38.018510
20,0.350007,3.744600,0.200280,36.525541,0.943356,38.046253,38.168078
21,0.366674,4.098600,0.203760,36.569226,0.943828,38.084159,38.226003
22,0.383341,3.755200,0.231920,36.565112,0.944408,38.316120,38.422996
23,0.400008,3.861200,0.197200,36.671370,0.944955,38.720188,38.848554
24,0.416675,4.240000,0.224680,36.663336,0.945426,38.885769,38.999003
25,0.433342,4.695400,0.204560,36.693181,0.945863,38.859814,38.970895
26,0.450009,4.227800,0.202240,36.732172,0.946725,38.661403,38.854783
27,0.466676,3.959000,0.211080,36.707761,0.947123,38.542997,38.625735
28,0.483343,4.342800,0.236120,36.775484,0.947778,38.510124,38.755787
29,0.500010,4.015900,0.210240,36.894112,0.948525,38.803000,38.937764
30,0.516677,4.463000,0.413640,36.936349,0.949003,38.907213,39.043202
31,0.533344,4.086800,0.223320,36.885565,0.949404,38.966317,39.014247
32,0.550011,4.432000,0.199840,36.923185,0.950038,38.651000,38.710517
33,0.566678,4.092300,0.197960,36.987256,0.950620,38.460607,38.427316
34,0.583345,4.396100,0.245320,36.973205,0.951113,38.255525,38.294017
35,0.600012,4.339000,0.207160,37.065450,0.951938,38.547488,38.575302
36,0.616679,4.532200,0.241720,37.101594,0.952432,38.825520,38.907769
37,0.633346,4.078100,0.211200,37.122495,0.953058,38.994092,38.797040
38,0.650013,4.504200,0.225560,37.165115,0.953428,38.892142,38.709092
39,0.666680,4.005900,0.206560,37.134073,0.953853,38.991638,38.722015
40,0.683347,4.186800,0.290480,37.158403,0.954631,38.700996,38.655847
41,0.700014,4.871500,0.208160,37.263606,0.955544,39.108197,38.499162
42,0.716681,3.904000,0.229560,37.268064,0.956230,38.732297,38.427850
43,0.733348,4.027500,0.212840,37.317020,0.956934,39.078703,38.352544
44,0.750015,4.149100,0.220040,37.304634,0.957712,38.448686,38.104465
45,0.766682,4.090900,0.211560,37.372208,0.958603,38.362701,37.918342
46,0.783349,4.763600,0.233720,37.389220,0.959456,38.158947,37.730958
47,0.800016,4.147000,0.214360,37.471663,0.960333,38.080954,37.496791
48,0.816683,4.359400,0.233440,37.484913,0.961035,37.953895,37.316740
49,0.833350,4.272200,0.221560,37.488415,0.961702,37.806120,37.148654
50,0.850017,4.232800,0.272720,37.565635,0.962749,37.783550,37.163646
51,0.866684,3.954800,0.208240,37.680605,0.963702,37.561824,37.071464
52,0.883351,4.416200,0.245080,37.666359,0.964603,37.585345,36.871342
53,0.900018,3.893200,0.207760,37.675910,0.965282,29.733155,29.583268
54,0.916685,4.580800,0.225640,37.129748,0.962090,21.591368,21.537356
55,0.933352,3.583600,0.195640,37.044083,0.961522,20.994649,20.950618
56,0.950019,4.056500,0.212960,37.310152,0.964859,20.160832,20.125298
57,0.966686,3.823200,0.175200,38.068962,0.968470,21.614251,21.579516
58,0.983353,3.733700,0.219520,38.724371,0.972438,24.067924,23.999092
59,1.000020,3.994700,0.204320,38.682401,0.977012,25.917204,25.779986
60,1.016687,3.770200,0.177120,39.378387,0.980760,27.979512,27.777749
61,1.033354,3.809200,0.179320,39.274396,0.979353,25.097828,24.985738
62,1.050021,4.098000,0.170800,38.329329,0.970681,22.052000,21.976117
63,1.066688,3.604400,0.175760,37.339509,0.960661,20.416962,20.366478
64,1.083355,4.164400,0.186560,35.550792,0.947885,19.839691,19.761176
65,1.100022,3.571700,0.172720,34.389141,0.937572,21.623293,21.502332
