frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.439500,0.642280,39.809659,0.978526,38.433615,37.695567
17,0.300006,4.858900,0.627920,39.287163,0.976159,39.188117,37.761969
18,0.316673,4.447100,0.647120,39.677956,0.978610,39.139292,38.184261
19,0.333340,4.599900,0.633720,39.678623,0.978421,39.085245,38.377923
20,0.350007,4.404600,0.645360,39.710826,0.978564,39.365029,38.545039
21,0.366674,4.293500,0.895840,39.511190,0.979100,39.532508,38.463356
22,0.383341,4.403500,0.635160,39.394211,0.975314,40.631726,38.525986
23,0.400008,4.441200,0.660040,39.613089,0.979421,39.143868,39.097477
24,0.416675,4.734400,0.633840,40.212867,0.979928,40.069593,39.269440
25,0.433342,4.348400,0.652760,39.647279,0.977813,40.888813,39.139691
26,0.450009,4.980600,0.781360,40.007827,0.980251,39.994817,38.934899
27,0.466676,4.509200,0.646280,39.998615,0.980059,39.589868,38.818246
28,0.483343,4.598900,0.646480,39.988446,0.980184,39.663921,38.997409
29,0.500010,4.832200,0.699520,39.753962,0.980692,40.054129,39.066055
30,0.516677,4.602700,0.635640,39.600932,0.977394,40.871762,38.949402
31,0.533344,4.427700,0.716280,39.806620,0.981179,39.214974,39.121715
32,0.550011,4.318900,0.669800,40.293094,0.981837,39.624664,38.969943
33,0.566678,4.604800,0.696600,39.781210,0.979897,40.005473,38.550393
34,0.583345,4.543100,0.761360,40.135176,0.982130,39.205133,38.394065
35,0.600012,4.568300,0.667560,40.183272,0.982033,39.519939,38.853252
36,0.616679,4.457800,0.679920,40.327123,0.982325,39.719863,39.109487
37,0.633346,4.968600,0.658160,39.954666,0.982272,40.131905,39.065400
38,0.650013,4.687600,0.675920,39.795198,0.979486,40.444587,38.791403
39,0.666680,4.613900,0.702640,40.131351,0.983255,39.189171,39.103365
40,0.683347,5.561400,0.637200,40.711820,0.984031,39.764195,39.161379
41,0.700014,5.089200,0.657280,40.085409,0.981912,40.572245,39.030938
42,0.716681,4.604700,0.657440,40.436923,0.984316,39.584970,38.724515
