frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.031100,0.468240,36.065728,0.945312,37.457692,37.126836
17,0.300006,4.256200,0.571200,36.150429,0.945843,38.062564,37.581346
18,0.316673,4.225200,0.445040,36.189409,0.945808,37.848726,37.616502
19,0.333340,4.437900,0.551160,36.137910,0.945536,38.322013,37.993116
20,0.350007,4.012100,0.451240,36.207625,0.946191,38.349671,38.041747
21,0.366674,4.378600,0.457440,36.198145,0.946421,38.843206,38.328801
22,0.383341,4.302600,0.449240,36.276104,0.947111,38.146210,37.911452
23,0.400008,4.239100,0.561880,36.277163,0.948076,39.044420,38.759051
24,0.416675,4.300700,0.455440,36.331832,0.948556,39.040622,38.673551
25,0.433342,4.275600,0.472600,36.325360,0.948447,39.399117,39.038190
26,0.450009,4.852000,0.450680,36.385486,0.949086,38.728465,38.377911
27,0.466676,4.293100,0.472320,36.416739,0.949519,39.220484,38.711539
28,0.483343,4.876400,0.457600,36.418444,0.950096,38.827299,38.503301
29,0.500010,4.185400,0.467160,36.509377,0.950644,39.348300,39.032825
30,0.516677,4.507900,0.568240,36.482091,0.951122,38.687654,38.549329
31,0.533344,4.547000,0.458560,36.485107,0.951624,39.158974,38.911036
32,0.550011,4.570400,0.521800,36.479823,0.952502,38.672178,38.361991
33,0.566678,4.759100,0.460560,36.575385,0.953024,39.005595,38.540334
34,0.583345,4.574500,0.471280,36.640598,0.953640,38.286764,37.851516
35,0.600012,4.290400,0.542240,36.714147,0.954301,39.168582,38.678365
36,0.616679,4.458300,0.462720,36.754709,0.954699,39.058453,38.692150
37,0.633346,4.296900,0.481360,36.734802,0.955001,39.509637,38.949980
38,0.650013,4.623800,0.540880,36.702750,0.955535,38.315375,38.104574
39,0.666680,5.149800,0.476720,36.760016,0.955985,39.110871,38.807959
40,0.683347,4.345000,0.541960,36.834656,0.956683,38.588050,38.279581
41,0.700014,4.513500,0.549800,36.898938,0.957866,39.508124,38.780595
42,0.716681,4.287300,0.477560,36.972449,0.958728,38.292174,37.890860
43,0.733348,4.720100,0.478840,36.981769,0.959163,39.080981,38.430046
44,0.750015,4.271400,0.460040,37.042303,0.960094,38.345581,37.900610
45,0.766682,4.323400,0.480640,37.047599,0.960796,38.800432,38.017489
46,0.783349,4.369500,0.454040,37.037756,0.961428,37.245706,36.985796
47,0.800016,4.535300,0.524120,37.018864,0.962340,37.722695,37.461549
48,0.816683,4.574400,0.504360,37.078177,0.963633,36.963665,36.881835
49,0.833350,4.411800,0.496760,37.071657,0.963834,37.644485,37.128774
50,0.850017,4.561400,0.504920,37.028349,0.964584,36.275053,36.443364
51,0.866684,4.398600,0.480320,37.202041,0.965780,37.345263,37.126765
52,0.883351,4.424200,0.471680,37.300981,0.966502,36.687092,36.591957
53,0.900018,4.659500,0.501880,37.183256,0.967027,29.624968,29.575879
54,0.916685,3.968000,0.467960,36.499877,0.962068,21.515663,21.510740
55,0.933352,4.162900,0.484640,36.369434,0.960790,20.972527,20.945331
56,0.950019,3.922700,0.431240,36.566829,0.964433,20.137394,20.123031
57,0.966686,3.913700,0.457160,36.796708,0.968618,21.676126,21.606524
58,0.983353,4.260100,0.442480,36.971416,0.972021,24.053009,23.932423
59,1.000020,3.946300,0.395840,36.855603,0.976253,25.985357,25.776687
60,1.016687,4.328200,0.428000,37.294056,0.979165,27.851015,27.731019
61,1.033354,4.033600,0.388000,37.432586,0.976269,25.053355,24.967681
62,1.050021,4.480100,0.399080,36.564946,0.962863,22.026253,21.976785
63,1.066688,4.278200,0.386280,35.674705,0.948377,20.386917,20.381599
64,1.083355,4.056400,0.490320,33.608486,0.934403,19.741804,19.752435
65,1.100022,4.086400,0.421240,32.621330,0.926777,21.516340,21.506194
66,1.116689,3.927500,0.506840,33.076436,0.930000,23.365527,23.525260
67,1.133356,4.149000,0.434520,33.153502,0.929195,24.603791,24.696877
68,1.150023,4.292100,0.455400,33.204608,0.927411,25.544211,25.524964
69,1.166690,4.165000,0.466440,33.195837,0.926408,27.040514,27.032704
70,1.183357,3.932800,0.442880,33.166731,0.925886,32.420266,32.136424
71,1.200024,3.698200,0.446520,32.978985,0.923807,32.456099,32.218040
72,1.216691,4.019100,0.472520,33.039251,0.922964,32.709012,32.499740
73,1.233358,4.306800,0.454480,32.980896,0.921956,32.855043,32.650464
74,1.250025,3.670400,0.475520,33.049484,0.922182,33.212890,32.996109
75,1.266692,4.070200,0.456000,32.970743,0.921332,33.313579,33.060448
76,1.283359,4.066800,0.473880,32.884916,0.920375,33.426699,33.145004
77,1.300026,4.031200,0.451480,32.802083,0.919840,33.389474,33.138890
78,1.316693,3.912600,0.459960,32.898395,0.919961,33.638330,33.407062
79,1.333360,4.165400,0.474760,32.856331,0.918984,33.648916,33.374803
