frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,3.869700,0.244840,33.505971,0.901223,32.710185,37.160948
17,0.300006,4.284000,0.259240,33.500801,0.901488,32.765845,37.391706
18,0.316673,4.104900,0.248840,33.527297,0.902241,33.005937,37.671800
19,0.333340,4.069300,0.275800,33.526532,0.902772,32.983374,37.921052
20,0.350007,4.019700,0.257880,33.583878,0.903652,33.184149,38.032688
21,0.366674,3.787800,0.285240,33.649899,0.904631,33.081830,38.041577
22,0.383341,3.889900,0.241840,33.590301,0.904959,33.244628,38.267030
23,0.400008,4.006500,0.238760,33.702264,0.906077,33.408635,38.743964
24,0.416675,4.342900,0.316760,33.731177,0.907087,33.533068,38.881420
25,0.433342,4.155100,0.244600,33.663756,0.907413,33.529034,38.935694
26,0.450009,4.389700,0.287000,33.764710,0.908768,33.516910,38.795080
27,0.466676,4.107900,0.237160,33.805194,0.909977,33.482294,38.519292
28,0.483343,4.379800,0.342400,33.943605,0.911081,33.612933,38.617222
29,0.500010,4.126300,0.257360,33.904309,0.911944,33.681602,38.843776
30,0.516677,4.591700,0.337040,33.970131,0.912995,33.668118,38.889240
31,0.533344,4.167300,0.245360,33.940754,0.913682,33.733014,38.833634
32,0.550011,4.660700,0.251880,34.012616,0.915428,33.698195,38.533653
33,0.566678,4.483700,0.242800,34.017004,0.916142,33.683943,38.247121
34,0.583345,4.593800,0.276200,34.052190,0.917008,33.664743,38.185996
35,0.600012,4.460500,0.253000,34.117149,0.918365,33.798160,38.421912
36,0.616679,4.175300,0.288040,34.123819,0.919025,33.966993,38.596684
37,0.633346,4.184600,0.272400,34.264737,0.920792,34.030375,38.681292
38,0.650013,3.929900,0.248240,34.218736,0.921570,34.091542,38.591507
39,0.666680,4.364600,0.306520,34.254225,0.922666,34.043771,38.634538
40,0.683347,3.918000,0.249880,34.404847,0.924629,34.165559,38.624440
41,0.700014,5.197800,0.285760,34.429789,0.926047,34.260086,38.444858
42,0.716681,4.001900,0.250000,34.525104,0.927677,34.245056,38.325787
43,0.733348,4.428000,0.306440,34.565760,0.929127,34.288063,38.076348
44,0.750015,3.984300,0.242120,34.571518,0.930284,34.261370,37.882717
45,0.766682,4.244400,0.292720,34.649667,0.932243,34.102657,37.690865
46,0.783349,4.065700,0.249080,34.694167,0.933865,34.094261,37.481750
47,0.800016,5.006900,0.317120,34.827803,0.936143,34.128052,37.350565
48,0.816683,4.065300,0.248800,34.863294,0.937686,34.074262,37.073950
49,0.833350,4.390000,0.248840,34.848786,0.939273,33.982320,36.925442
50,0.850017,4.330600,0.246680,34.959390,0.941090,33.989349,36.927253
51,0.866684,4.268200,0.263640,34.996959,0.942530,34.030803,36.767682
