frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.126800,0.155320,32.902319,0.892978,31.980018,37.160948
17,0.300006,3.896500,0.187440,32.881028,0.892856,32.004410,37.391706
18,0.316673,3.809500,0.178480,32.930704,0.893354,32.217784,37.671800
19,0.333340,3.859800,0.382920,32.910386,0.893524,32.186855,37.921052
20,0.350007,3.787100,0.180160,32.985860,0.894466,32.339275,38.032688
21,0.366674,4.041100,0.160000,33.024063,0.895136,32.288604,38.041934
22,0.383341,4.035100,0.174880,32.960596,0.894958,32.388558,38.267128
23,0.400008,3.903000,0.159040,33.076627,0.896150,32.544141,38.743964
24,0.416675,4.000200,0.163000,33.120172,0.897086,32.630471,38.881420
25,0.433342,3.956400,0.158360,33.034517,0.897225,32.604912,38.935694
26,0.450009,3.981700,0.196800,33.139700,0.898449,32.615636,38.795080
27,0.466676,3.972700,0.173200,33.179923,0.899523,32.594279,38.519292
28,0.483343,3.905400,0.160800,33.319438,0.900509,32.713507,38.617222
29,0.500010,4.367400,0.168240,33.268354,0.901353,32.784997,38.843776
30,0.516677,4.304300,0.157880,33.329249,0.902330,32.778448,38.889240
31,0.533344,3.892500,0.191440,33.312975,0.902953,32.841599,38.833634
32,0.550011,4.177300,0.208360,33.382557,0.904780,32.835878,38.533653
33,0.566678,4.334400,0.199320,33.390158,0.905315,32.838876,38.247121
34,0.583345,4.058800,0.181560,33.419972,0.906294,32.874983,38.185996
35,0.600012,4.065700,0.164200,33.483385,0.907800,32.978689,38.421912
36,0.616679,4.093600,0.175480,33.487447,0.908132,33.109900,38.596684
37,0.633346,4.216400,0.160360,33.645552,0.910010,33.187693,38.681292
38,0.650013,4.531100,0.170200,33.586586,0.910990,33.286389,38.591507
39,0.666680,3.973000,0.167880,33.587567,0.912111,33.265989,38.634538
40,0.683347,4.152700,0.190200,33.746948,0.914347,33.380100,38.624440
41,0.700014,5.053300,0.159240,33.821645,0.915987,33.497177,38.444858
42,0.716681,4.157800,0.175080,33.937553,0.918018,33.475160,38.325787
43,0.733348,4.341300,0.167280,33.961795,0.919832,33.553981,38.076348
44,0.750015,3.782000,0.170560,33.951106,0.921011,33.541734,37.882717
45,0.766682,4.175900,0.163800,34.039006,0.923383,33.368513,37.690865
46,0.783349,4.195500,0.177720,34.106904,0.925487,33.411836,37.481750
47,0.800016,4.241500,0.160760,34.221246,0.927985,33.453352,37.350565
48,0.816683,4.223600,0.194280,34.219907,0.929814,33.408704,37.073950
49,0.833350,3.901800,0.164200,34.228184,0.931686,33.357147,36.925442
50,0.850017,4.362200,0.179440,34.378188,0.934533,33.394281,36.927253
51,0.866684,4.032800,0.159520,34.412537,0.936716,33.442292,36.767682
52,0.883351,4.468100,0.171360,34.604209,0.940292,33.352250,36.494558
53,0.900018,3.787100,0.169000,34.510004,0.942223,28.704938,29.543381
54,0.916685,3.781700,0.167120,34.103753,0.939045,21.397164,21.526299
55,0.933352,3.561500,0.155760,33.942284,0.939291,20.808571,20.941881
56,0.950019,4.072700,0.169880,34.267681,0.945352,20.011704,20.113874
57,0.966686,3.640600,0.155840,34.983305,0.950493,21.421116,21.564818
58,0.983353,3.690700,0.212160,35.603029,0.956056,23.777881,23.967631
59,1.000020,4.457400,0.155120,35.452116,0.961997,25.525612,25.756573
