frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.117500,0.384720,35.417985,0.934672,39.923326,36.994862
17,0.300006,4.175300,0.350800,35.475059,0.936534,40.425680,37.514699
18,0.316673,4.395500,0.346360,35.863593,0.940126,40.154361,37.563835
19,0.333340,4.109900,0.437840,35.949785,0.941159,41.129237,37.970616
20,0.350007,4.142100,0.346480,35.696978,0.938192,40.692508,37.973544
21,0.366674,4.049500,0.354280,35.675082,0.938975,41.372188,38.299631
22,0.383341,4.375400,0.612840,35.946774,0.941503,40.322347,37.787512
23,0.400008,3.995700,0.373680,36.099805,0.941934,42.012802,38.854675
24,0.416675,4.387500,0.423720,35.855581,0.941018,41.587972,38.713918
25,0.433342,3.932200,0.348400,35.816090,0.940713,41.566797,38.966735
26,0.450009,4.186700,0.345080,36.237405,0.945146,41.035911,38.388546
27,0.466676,4.249200,0.341800,36.375746,0.947525,42.492437,38.773617
28,0.483343,4.143500,0.345720,36.061808,0.944934,41.374661,38.544268
29,0.500010,4.373300,0.363280,36.013518,0.943576,41.243624,38.958648
30,0.516677,4.812700,0.346840,36.170937,0.946215,40.533216,38.372081
31,0.533344,4.389500,0.361080,36.135286,0.946540,42.108838,38.803076
32,0.550011,4.365200,0.361440,36.017723,0.948790,42.267821,38.307396
33,0.566678,4.454000,0.355160,35.934078,0.949231,41.455684,38.434764
34,0.583345,4.143200,0.345200,36.282684,0.948907,40.289120,37.730134
35,0.600012,4.188400,0.393920,36.456451,0.951457,42.458137,38.701985
36,0.616679,3.996300,0.348160,36.239515,0.952049,42.036507,38.245008
37,0.633346,4.475900,0.386840,36.241976,0.950684,41.720549,38.933483
38,0.650013,4.025500,0.369160,36.444769,0.951240,40.337175,37.999867
39,0.666680,4.247600,0.354080,36.443453,0.951040,41.701960,38.645856
40,0.683347,4.130900,0.362160,36.337860,0.953287,42.085679,38.098776
41,0.700014,5.509300,0.353160,36.309712,0.955301,42.329806,38.693351
