frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,3.018300,0.136720,32.437600,0.963580,31.520584,30.082700
17,0.300006,2.579100,0.278280,32.391524,0.963260,31.746919,29.997918
18,0.316673,2.834700,0.134840,32.350975,0.963073,31.586184,29.985386
19,0.333340,2.353800,0.136360,32.527971,0.964550,31.579283,30.000954
20,0.350007,2.716000,0.135040,32.669827,0.965178,31.544886,30.122428
21,0.366674,2.493800,0.134680,32.604246,0.965040,32.007870,30.244761
22,0.383341,2.508200,0.135120,32.748040,0.966121,31.650381,30.198262
23,0.400008,2.531800,0.136000,32.638886,0.965667,32.285213,30.636988
24,0.416675,2.401500,0.135160,32.857941,0.966616,32.163631,30.810886
25,0.433342,2.439700,0.136160,32.766061,0.965792,32.600152,30.744798
26,0.450009,2.687400,0.135120,32.870632,0.966116,32.369008,30.729418
27,0.466676,2.403100,0.135760,32.960506,0.966306,32.453085,30.849587
28,0.483343,2.355100,0.178640,32.931909,0.966881,32.449541,30.657299
29,0.500010,2.149700,0.174080,33.098013,0.967553,32.371983,30.765865
30,0.516677,2.824000,0.136080,33.101706,0.967970,32.956598,31.130307
31,0.533344,2.502600,0.134360,32.851633,0.966062,33.039189,31.153401
32,0.550011,2.438800,0.135440,32.727583,0.966003,32.455478,30.725520
33,0.566678,2.590300,0.134360,32.584205,0.964927,32.251101,30.471579
34,0.583345,2.640900,0.134560,32.668419,0.965306,31.934518,30.309225
35,0.600012,2.471200,0.135240,32.503758,0.964188,32.222003,30.358212
36,0.616679,2.546200,0.134960,32.587085,0.964486,32.305550,30.599318
37,0.633346,2.285400,0.134840,32.768828,0.965946,32.589846,30.718783
38,0.650013,2.485100,0.139560,32.742540,0.965730,32.421970,30.726985
39,0.666680,2.320000,0.136760,32.681523,0.965499,32.789569,30.880645
40,0.683347,2.287100,0.135440,32.694603,0.965725,32.594305,30.786262
41,0.700014,2.457900,0.135280,32.679229,0.965353,32.690912,30.951281
42,0.716681,2.628600,0.135000,32.534060,0.964986,32.361209,30.672013
43,0.733348,2.569100,0.135280,32.376587,0.963972,31.994593,30.275932
44,0.750015,2.358100,0.173160,32.511618,0.964254,32.030856,30.339078
45,0.766682,2.409500,0.175080,32.565087,0.964400,32.224527,30.573366
46,0.783349,2.636600,0.135200,32.554560,0.965342,32.009155,30.263407
47,0.800016,2.482400,0.135120,32.633194,0.965782,31.976171,30.361856
48,0.816683,2.773900,0.134840,32.733122,0.966195,31.915821,30.399823
49,0.833350,2.353100,0.135440,32.524590,0.964764,32.088707,30.515384
50,0.850017,2.292500,0.135640,32.524345,0.964569,31.658153,30.253113
51,0.866684,2.470400,0.135200,32.476833,0.964435,32.081317,30.400762
52,0.883351,2.315600,0.216000,32.656563,0.965202,31.860568,30.313105
53,0.900018,2.727100,0.201880,32.504818,0.964232,32.188732,30.407363
54,0.916685,2.365200,0.134480,32.533523,0.964152,31.929859,30.293935
55,0.933352,2.893200,0.135840,32.639855,0.965314,31.923444,30.344072
56,0.950019,2.566400,0.176640,32.733264,0.965583,31.780042,30.336459
57,0.966686,2.441300,0.136840,32.720393,0.965637,32.165098,30.511039
58,0.983353,2.630900,0.135680,32.691329,0.965573,31.919884,30.343754
59,1.000020,2.777200,0.135680,32.568272,0.965156,32.262659,30.660184
60,1.016687,2.406300,0.137200,32.703346,0.965796,31.740968,30.381679
61,1.033354,2.359000,0.136880,32.520763,0.964365,32.235350,30.471448
62,1.050021,2.622100,0.135360,32.599020,0.964345,32.221093,30.568396
63,1.066688,2.362200,0.138360,32.639625,0.964484,32.749854,30.965505
64,1.083355,2.991400,0.176520,32.632575,0.965290,32.426085,30.629002
65,1.100022,2.682500,0.136800,32.716540,0.965736,32.566533,30.829025
66,1.116689,2.433400,0.141240,32.545505,0.965737,32.249476,30.446875
67,1.133356,2.412500,0.139640,32.377688,0.964246,31.655457,30.170296
68,1.150023,2.747100,0.156400,32.379145,0.964395,31.371028,29.959538
69,1.166690,2.241700,0.136920,32.300612,0.963953,31.676727,30.099431
70,1.183357,2.236200,0.135440,32.453120,0.964354,31.338307,29.960640
71,1.200024,2.499400,0.136560,32.353304,0.963600,31.701122,30.065713
72,1.216691,3.559700,0.138440,32.541013,0.964538,31.588440,30.187397
73,1.233358,2.553200,0.162160,32.702924,0.966031,31.808649,30.293334
74,1.250025,2.400800,0.136720,32.664595,0.965908,31.548266,30.186752
75,1.266692,2.910100,0.136320,32.625313,0.965909,31.881234,30.295851
76,1.283359,2.402200,0.136480,32.622431,0.966039,31.667117,30.175905
77,1.300026,2.444700,0.136440,32.572791,0.965686,32.583184,30.876819
78,1.316693,2.636100,0.136480,32.611934,0.965665,32.279938,30.747909
79,1.333360,2.533500,0.136680,32.520697,0.964511,32.616868,30.749803
80,1.350027,2.658500,0.162680,32.414983,0.964359,32.075847,30.195060
81,1.366694,2.783900,0.173200,32.490978,0.964439,31.800836,30.278780
82,1.383361,2.691800,0.135760,32.489419,0.965246,31.707004,30.032029
83,1.400028,2.380200,0.145080,32.593834,0.965711,31.775833,30.233655
84,1.416695,2.427500,0.173640,32.644343,0.966127,31.796323,30.196385
85,1.433362,2.618000,0.135680,32.482711,0.964999,31.822311,30.240095
86,1.450029,2.485200,0.136080,32.409873,0.964457,31.504009,30.078262
