frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.332400,0.176520,31.123721,0.951852,31.443800,29.988747
17,0.300006,2.575400,0.144400,31.150123,0.952146,31.318685,30.018176
18,0.316673,2.598400,0.146040,31.397708,0.954874,31.085475,29.944019
19,0.333340,2.715400,0.144120,31.368077,0.955406,31.305438,29.939860
20,0.350007,2.496200,0.145160,31.299272,0.953324,31.316119,30.055183
21,0.366674,2.549600,0.162240,31.518025,0.956109,31.595902,30.355583
22,0.383341,2.627700,0.145200,31.590036,0.956713,31.296509,30.099030
23,0.400008,2.731600,0.142240,31.841792,0.958587,31.761901,30.553341
24,0.416675,2.695300,0.145760,31.509296,0.955070,32.099733,30.755048
25,0.433342,2.440900,0.144360,31.478934,0.954525,32.158078,30.831715
26,0.450009,2.227800,0.144240,31.869315,0.957648,31.737250,30.648412
27,0.466676,2.321000,0.145120,31.885316,0.957818,32.065095,30.803438
28,0.483343,2.598900,0.144240,31.905980,0.958542,32.106722,30.630002
29,0.500010,2.282000,0.144760,31.663392,0.955844,32.053941,30.793680
30,0.516677,2.854700,0.143080,31.795542,0.958246,32.169429,30.965278
31,0.533344,2.497300,0.160320,31.791570,0.958026,32.592174,30.956748
32,0.550011,2.732100,0.208520,31.360022,0.956001,32.568632,30.646800
33,0.566678,2.503400,0.141280,31.352913,0.954924,31.722460,30.428163
34,0.583345,2.760300,0.143480,31.570937,0.954885,31.187560,30.264899
35,0.600012,2.521300,0.140800,31.593499,0.956448,31.791552,30.455752
36,0.616679,2.447600,0.143720,31.510953,0.956766,32.011745,30.429813
37,0.633346,2.421000,0.141320,31.574530,0.955621,32.185413,30.817837
38,0.650013,2.433600,0.158640,31.722339,0.956851,31.862498,30.757309
39,0.666680,2.380600,0.142840,31.573280,0.955035,32.167923,30.701201
40,0.683347,2.663900,0.144320,31.601482,0.956200,32.449475,30.728441
41,0.700014,2.624200,0.181360,31.542056,0.955969,32.403600,30.933768
42,0.716681,2.493000,0.148320,31.499440,0.955883,31.753436,30.452901
43,0.733348,2.589700,0.145720,31.195320,0.952639,31.778854,30.393652
44,0.750015,2.312500,0.146680,31.339303,0.954903,31.808703,30.350957
45,0.766682,2.527800,0.144400,31.297259,0.955028,31.911643,30.550253
46,0.783349,2.404400,0.144280,31.503855,0.955973,31.262378,30.219173
47,0.800016,2.488000,0.144680,31.502134,0.955314,31.733247,30.337208
48,0.816683,2.620700,0.144320,31.179484,0.953189,31.626480,30.090658
49,0.833350,2.403800,0.163720,31.184634,0.953176,31.832022,30.515318
50,0.850017,2.374900,0.218800,31.350686,0.954971,31.297787,30.189748
51,0.866684,2.989300,0.141160,31.452542,0.955918,31.633833,30.337816
52,0.883351,2.547800,0.143680,31.410520,0.953981,31.532897,30.321773
53,0.900018,2.678900,0.184720,31.547879,0.956204,31.894818,30.697460
54,0.916685,2.244800,0.144320,31.496813,0.955978,31.360231,30.085440
55,0.933352,2.514300,0.150840,31.610932,0.957123,31.594221,30.383646
56,0.950019,2.329000,0.142320,31.312407,0.953565,31.644904,30.378673
57,0.966686,2.660100,0.145160,31.204202,0.952712,31.735875,30.463319
58,0.983353,2.435500,0.146640,31.467218,0.954969,31.299964,30.226234
59,1.000020,2.619700,0.184600,31.426541,0.955306,31.755121,30.589893
60,1.016687,2.680700,0.144160,31.553212,0.956144,31.631575,30.359150
61,1.033354,2.563000,0.145640,31.432367,0.954014,31.892986,30.727271
62,1.050021,2.569200,0.143440,31.583918,0.956111,31.616864,30.375888
63,1.066688,2.576800,0.143720,31.533858,0.955992,32.252363,30.731725
64,1.083355,2.700700,0.143520,31.280385,0.954422,32.290802,30.632567
65,1.100022,2.740300,0.182600,31.227951,0.953436,32.092298,30.760148
66,1.116689,2.895600,0.184240,31.159593,0.953020,31.462920,30.209381
67,1.133356,2.551200,0.185160,31.198981,0.954429,31.350338,30.110201
68,1.150023,2.594600,0.144040,31.165562,0.955054,31.326485,29.911013
69,1.166690,2.578900,0.143440,31.204680,0.954110,31.239682,30.185704
70,1.183357,2.446700,0.146160,31.450110,0.955899,30.869003,29.925480
71,1.200024,2.330400,0.161600,31.353584,0.954325,31.259439,30.039649
72,1.216691,3.463700,0.143040,31.365152,0.955740,31.574699,30.110701
73,1.233358,2.921900,0.142440,31.339956,0.955800,31.666989,30.409187
74,1.250025,2.499800,0.143800,31.513284,0.956475,31.002611,30.082758
75,1.266692,2.797200,0.145400,31.326525,0.953946,31.413321,30.299996
76,1.283359,2.690800,0.143040,31.428949,0.956314,31.475500,30.198030
77,1.300026,2.417100,0.142600,31.335246,0.955939,32.324559,30.911459
78,1.316693,2.419100,0.142720,31.602774,0.956600,31.668588,30.615566
79,1.333360,2.664900,0.144720,31.555343,0.955452,32.348506,30.804825
80,1.350027,2.370200,0.143200,31.066138,0.953063,31.754459,30.028396
81,1.366694,2.622800,0.144200,31.085528,0.952872,31.594483,30.265971
82,1.383361,2.468000,0.143000,31.293548,0.955068,31.129570,30.021141
83,1.400028,2.605400,0.144200,31.369617,0.955694,31.492153,30.184273
84,1.416695,2.628600,0.144760,31.222887,0.953186,31.452159,30.093043
85,1.433362,2.532600,0.143320,31.401216,0.955858,31.673868,30.347361
86,1.450029,2.539700,0.145160,31.355177,0.955580,31.194345,29.997438
87,1.466696,2.174500,0.144080,31.545851,0.957240,31.502837,30.183405
88,1.483363,2.442100,0.145160,31.258790,0.954099,31.618690,30.121644
89,1.500030,2.326000,0.145680,31.245656,0.953389,31.531503,30.300497
90,1.516697,2.719900,0.202080,31.469181,0.955922,31.248286,30.137884
91,1.533364,2.557100,0.141400,31.520156,0.956449,31.655685,30.486975
92,1.550031,2.605600,0.165400,31.579221,0.957060,31.623242,30.265786
93,1.566698,2.462500,0.156120,31.464906,0.954934,31.809992,30.656061
94,1.583365,2.514900,0.143560,31.560800,0.957334,31.478531,30.327105
95,1.600032,2.617800,0.142960,31.610882,0.957924,31.727921,30.361590
96,1.616699,2.820600,0.144760,31.294481,0.956181,31.802362,30.264922
97,1.633366,2.614000,0.143160,31.295227,0.955289,31.542731,30.394332
98,1.650033,2.628300,0.149040,31.572323,0.956060,31.246955,30.400735
99,1.666700,2.505600,0.142720,31.625258,0.957769,31.920478,30.596309
100,1.683367,2.851700,0.144600,31.548725,0.958177,31.806995,30.362004
101,1.700034,2.643500,0.144440,31.527968,0.956950,31.808718,30.681044
102,1.716701,2.711300,0.144400,31.932920,0.958946,31.423136,30.546764
103,1.733368,2.747500,0.143080,31.793724,0.957824,31.850597,30.581906
104,1.750035,2.392000,0.145160,31.831318,0.958603,32.483046,30.875169
105,1.766702,2.937200,0.142000,31.725163,0.958181,32.527307,31.177600
106,1.783369,2.708800,0.143360,32.024245,0.959544,31.831796,30.927267
107,1.800036,2.511300,0.144760,31.781892,0.956661,32.348257,31.151845
108,1.816703,2.406500,0.143960,31.921147,0.958798,32.443241,30.980727
109,1.833370,2.556400,0.157040,31.789370,0.958777,32.648922,31.285873
110,1.850037,2.396200,0.144320,32.023230,0.959603,32.334350,31.265820
111,1.866704,2.540700,0.180640,31.919292,0.958063,32.804937,31.273509
112,1.883371,2.407000,0.186840,31.433589,0.955261,32.103136,30.467145
113,1.900038,2.729300,0.182240,31.247234,0.955065,31.851697,30.405693
114,1.916705,2.643500,0.146600,31.398678,0.956476,31.345740,30.221664
115,1.933372,2.609400,0.143600,31.462030,0.957186,31.683921,30.439938
116,1.950039,2.674200,0.146200,31.314299,0.954826,31.693645,30.405596
117,1.966706,2.604300,0.144640,31.464902,0.956780,31.830469,30.651363
118,1.983373,2.577900,0.145720,31.506473,0.957364,31.374383,30.267122
119,2.000040,2.359500,0.144600,31.587176,0.958374,31.632076,30.363146
