frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,12.268500,0.692480,37.191052,0.954737,36.262367,37.709852
17,0.300006,13.073300,0.695000,37.243389,0.955046,36.446335,37.924181
18,0.316673,12.920200,0.709640,37.288586,0.955406,36.713178,38.253388
19,0.333340,12.650000,0.696520,37.357536,0.955862,36.801238,38.545775
20,0.350007,12.748800,0.692400,37.414455,0.956203,37.082735,38.782812
21,0.366674,12.786300,0.696120,37.408808,0.956538,37.046493,38.784823
22,0.383341,12.689000,0.697960,37.474514,0.956922,37.125669,38.971740
23,0.400008,12.776400,0.692640,37.535682,0.957265,37.666245,39.594476
24,0.416675,12.802800,0.704440,37.615466,0.957841,37.810795,39.689446
25,0.433342,12.873000,0.722160,37.572889,0.958198,37.696979,39.660757
26,0.450009,12.579500,0.692200,37.579515,0.958316,37.593544,39.458299
27,0.466676,13.114500,0.691720,37.699818,0.958963,37.488261,39.166747
28,0.483343,12.828800,0.694720,37.692694,0.959299,37.567211,39.200150
29,0.500010,12.824200,0.696880,37.688348,0.959584,37.672337,39.388908
30,0.516677,13.032500,0.719920,37.740834,0.959911,37.694577,39.470198
31,0.533344,13.607500,0.690840,37.799115,0.960353,37.855624,39.423043
32,0.550011,13.410400,0.698360,37.749619,0.960562,37.581111,38.958756
33,0.566678,13.343500,0.727040,37.732686,0.960772,37.301632,38.650869
34,0.583345,13.158000,0.710560,37.757690,0.961050,37.104951,38.527350
35,0.600012,13.868900,0.739240,37.876223,0.961737,37.483338,38.839865
36,0.616679,13.000500,0.710600,37.847432,0.961911,37.669269,38.979532
37,0.633346,13.218700,0.735280,37.830729,0.962019,37.603789,39.002372
38,0.650013,13.082100,0.700680,37.863890,0.962456,37.652121,38.986480
39,0.666680,13.291200,0.719360,37.945509,0.962903,37.635748,38.860339
40,0.683347,13.536800,0.733240,37.950382,0.963322,37.581144,38.795233
41,0.700014,14.045300,0.746400,37.939516,0.963687,37.508629,38.712484
42,0.716681,13.387900,0.710640,37.988323,0.964186,37.409988,38.506115
43,0.733348,13.431300,0.713280,38.085304,0.964814,37.292852,38.240034
44,0.750015,13.306200,0.716360,38.048373,0.965226,37.098477,37.995400
45,0.766682,13.286100,0.709760,38.065491,0.965625,36.893753,37.784573
46,0.783349,13.274400,0.717160,38.069418,0.966129,36.728516,37.502189
47,0.800016,13.464500,0.714800,37.959718,0.966536,36.577200,37.283983
48,0.816683,13.097100,0.911200,38.048098,0.967321,36.365618,37.091164
49,0.833350,13.878900,0.765840,38.017481,0.967637,36.311169,36.928075
50,0.850017,13.307000,0.707480,38.049682,0.968006,36.267379,36.790446
51,0.866684,13.386800,0.717560,38.105800,0.968519,36.168159,36.660721
52,0.883351,13.225200,0.714600,38.128414,0.968900,36.151712,36.559360
53,0.900018,12.712300,0.744920,38.082039,0.968912,29.440714,29.515179
54,0.916685,12.011900,0.710520,37.589552,0.965789,21.524460,21.523765
55,0.933352,11.591300,0.701320,37.415868,0.964552,20.939206,20.943562
56,0.950019,10.981000,0.667960,37.751337,0.968348,20.119548,20.119295
57,0.966686,10.984200,0.624760,38.711014,0.973497,21.595401,21.607888
58,0.983353,11.257900,0.640280,39.499250,0.978376,24.007621,24.010665
59,1.000020,11.521200,0.594280,39.647979,0.983017,25.789976,25.784941
60,1.016687,11.283600,0.579480,40.301695,0.986068,27.783490,27.789443
61,1.033354,11.211500,0.575320,40.400641,0.985869,24.958832,24.959103
62,1.050021,11.006100,0.571200,39.316804,0.977513,21.949945,21.940658
63,1.066688,11.331400,0.568800,38.013581,0.964578,20.346384,20.347674
