frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,12.528100,0.662280,36.802147,0.945160,37.719959,37.709852
17,0.300006,12.993900,0.663600,36.848038,0.945518,37.929030,37.924181
18,0.316673,12.745100,0.669040,36.890886,0.945951,38.242575,38.253388
19,0.333340,12.747100,0.662040,36.952316,0.946454,38.358751,38.545775
20,0.350007,12.766600,0.703120,36.998090,0.946852,38.682973,38.782812
21,0.366674,12.938500,0.892520,37.001382,0.947243,38.631583,38.784823
22,0.383341,12.671600,0.690920,37.058854,0.947721,38.718218,38.971740
23,0.400008,12.705300,0.670960,37.111663,0.948135,39.402062,39.594476
24,0.416675,12.927900,0.670560,37.180705,0.948772,39.569458,39.689446
25,0.433342,12.774800,0.668960,37.157410,0.949202,39.431229,39.660757
26,0.450009,12.922000,0.673040,37.162988,0.949416,39.274453,39.458299
27,0.466676,13.341100,0.672520,37.269686,0.950130,39.096611,39.166747
28,0.483343,12.647900,0.674760,37.272857,0.950548,39.189105,39.200243
29,0.500010,13.208500,0.669720,37.270436,0.950923,39.331818,39.388960
30,0.516677,13.031800,0.668880,37.317154,0.951315,39.363897,39.470198
31,0.533344,13.327600,0.870400,37.365851,0.951827,39.561126,39.423043
32,0.550011,13.105700,0.723640,37.334950,0.952140,39.204276,38.958756
33,0.566678,13.269600,0.671680,37.330885,0.952437,38.836243,38.650869
34,0.583345,13.300100,0.683680,37.358264,0.952823,38.604918,38.527365
35,0.600012,13.153500,0.699040,37.461044,0.953568,39.059893,38.839876
36,0.616679,13.029400,0.697320,37.447503,0.953846,39.317179,38.979532
37,0.633346,13.285700,0.676960,37.441776,0.954052,39.237907,39.002372
38,0.650013,13.385200,0.687480,37.474763,0.954575,39.311934,38.986479
39,0.666680,13.475100,0.706680,37.548803,0.955136,39.292763,38.860339
40,0.683347,13.834600,0.702080,37.557942,0.955660,39.212737,38.795233
41,0.700014,14.075700,0.705520,37.558241,0.956169,39.164496,38.712484
42,0.716681,13.230400,0.682600,37.614738,0.956790,39.033735,38.506115
43,0.733348,13.526500,0.734760,37.693686,0.957489,38.882173,38.240034
44,0.750015,13.351500,0.711760,37.670275,0.958011,38.656961,37.995400
45,0.766682,13.156000,0.684360,37.691900,0.958539,38.411691,37.784573
46,0.783349,13.714300,0.703000,37.707104,0.959166,38.230465,37.502189
47,0.800016,13.564300,0.684080,37.633007,0.959723,38.018452,37.283983
48,0.816683,13.736900,0.684520,37.723275,0.960654,37.754977,37.091164
49,0.833350,13.862600,0.696400,37.704465,0.961076,37.705351,36.928075
50,0.850017,13.588700,0.686600,37.744896,0.961577,37.662373,36.790446
51,0.866684,13.445000,0.688720,37.798896,0.962205,37.543209,36.660721
52,0.883351,13.232400,0.681600,37.825788,0.962727,37.514642,36.559360
53,0.900018,12.923800,0.672560,37.778981,0.962795,29.708501,29.515179
54,0.916685,12.137600,0.671680,37.314268,0.959168,21.579123,21.523765
55,0.933352,12.155000,0.683040,37.125222,0.957762,20.989183,20.943562
56,0.950019,11.279200,0.621640,37.420967,0.961989,20.160559,20.119295
57,0.966686,11.077200,0.601120,38.245864,0.967475,21.634114,21.607888
58,0.983353,11.011700,0.607720,38.974589,0.973137,24.071476,24.010665
59,1.000020,11.356500,0.589240,39.257955,0.978799,25.901904,25.784941
60,1.016687,11.371000,0.558600,39.976762,0.982644,27.953500,27.789443
61,1.033354,11.591000,0.576320,40.082157,0.982357,25.060965,24.959103
62,1.050021,11.111900,0.541320,39.022075,0.973028,22.017253,21.940658
63,1.066688,11.074700,0.551080,37.746046,0.959049,20.397557,20.347674
64,1.083355,10.996000,0.574360,35.775049,0.942131,19.810625,19.745035
65,1.100022,11.086000,0.621520,34.662017,0.931608,21.587566,21.477088
66,1.116689,11.210000,0.625560,34.462183,0.928893,23.597212,23.465900
67,1.133356,11.558600,0.645240,34.328558,0.926380,24.771717,24.620803
68,1.150023,11.178000,0.662880,34.241073,0.924699,25.560233,25.414710
69,1.166690,11.739700,0.652840,34.212928,0.923422,27.155883,26.973333
70,1.183357,11.352300,0.674240,34.103131,0.921677,32.311793,31.861815
