frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,12.342300,0.636680,35.182456,0.932265,33.501773,37.709852
17,0.300006,12.707800,0.641560,35.238334,0.932572,33.618006,37.924181
18,0.316673,12.672000,0.656280,35.277292,0.932934,33.789691,38.253388
19,0.333340,12.771500,0.643600,35.335664,0.933380,33.845208,38.545775
20,0.350007,12.557200,0.634600,35.401281,0.933862,34.011513,38.782812
21,0.366674,12.767900,0.634680,35.389020,0.934193,34.007458,38.784823
22,0.383341,12.274700,0.647840,35.446437,0.934668,34.074691,38.971740
23,0.400008,12.867000,0.685840,35.521095,0.935161,34.393025,39.594476
24,0.416675,12.715000,0.640960,35.584747,0.935814,34.486838,39.689446
25,0.433342,12.750400,0.638840,35.549630,0.936285,34.435764,39.660757
26,0.450009,13.041200,0.651440,35.561218,0.936461,34.406194,39.458299
27,0.466676,12.958200,0.705760,35.669577,0.937418,34.377651,39.166747
28,0.483343,12.869400,0.637000,35.685660,0.938030,34.421480,39.200243
29,0.500010,13.317200,0.652920,35.689105,0.938543,34.489592,39.388960
30,0.516677,12.958100,0.648080,35.734053,0.939122,34.503814,39.470198
31,0.533344,13.260200,0.645600,35.814137,0.940020,34.613792,39.423043
32,0.550011,13.129700,0.646400,35.780670,0.940504,34.497331,38.958755
33,0.566678,13.229400,0.670600,35.768963,0.940976,34.369126,38.650868
34,0.583345,13.415500,0.668080,35.812331,0.941624,34.282369,38.527365
35,0.600012,13.100000,0.652120,35.926974,0.942619,34.531908,38.839876
36,0.616679,13.110600,0.657960,35.920167,0.943091,34.646781,38.979532
37,0.633346,13.307000,0.653160,35.910835,0.943479,34.636005,39.002372
38,0.650013,13.174400,0.672920,35.964800,0.944379,34.676779,38.986480
39,0.666680,13.280100,0.688120,36.054410,0.945245,34.697942,38.860338
40,0.683347,13.431700,0.664960,36.085137,0.946123,34.668951,38.795233
41,0.700014,14.287600,0.652280,36.075023,0.946836,34.620657,38.712484
42,0.716681,13.094600,0.695160,36.150670,0.947867,34.599000,38.506115
43,0.733348,13.265500,0.689720,36.245068,0.949045,34.532210,38.240034
44,0.750015,13.399400,0.661280,36.227855,0.949901,34.436815,37.995400
45,0.766682,13.429400,0.667520,36.283306,0.950852,34.337740,37.784573
46,0.783349,13.464900,0.686520,36.288551,0.951926,34.245931,37.502189
47,0.800016,13.305400,0.654880,36.230097,0.952899,34.192963,37.283983
48,0.816683,13.378000,0.655600,36.327881,0.954332,34.091769,37.091125
49,0.833350,13.409400,0.649120,36.320858,0.955292,34.093215,36.928065
50,0.850017,13.243300,0.660520,36.365473,0.956346,34.133766,36.790446
51,0.866684,13.790400,0.649160,36.456662,0.957662,34.088290,36.660721
52,0.883351,13.095200,0.686120,36.532804,0.959025,34.099122,36.559360
53,0.900018,12.744000,0.644920,36.521727,0.959890,28.923810,29.515179
54,0.916685,12.120400,0.654840,36.024923,0.956912,21.429927,21.523765
55,0.933352,11.446400,0.623360,35.885608,0.956410,20.851443,20.943562
56,0.950019,11.034100,0.600120,36.204990,0.961064,20.049243,20.119295
57,0.966686,11.188000,0.578200,37.129447,0.966697,21.517954,21.607888
58,0.983353,10.945600,0.562560,37.811397,0.971842,23.895420,24.010665
59,1.000020,11.124800,0.571160,37.885103,0.976943,25.630562,25.784941
60,1.016687,11.306000,0.540520,38.484323,0.980751,27.539142,27.789443
61,1.033354,11.387900,0.534040,38.521998,0.980160,24.836001,24.959103
62,1.050021,10.805900,0.534040,37.482471,0.970070,21.877598,21.940658
63,1.066688,11.661300,0.550960,36.303412,0.955873,20.281844,20.347674
64,1.083355,11.450800,0.585600,34.328941,0.937926,19.661850,19.745036
65,1.100022,11.004900,0.565920,33.124866,0.925051,21.302982,21.477088
66,1.116689,11.564500,0.620040,32.847003,0.919770,23.115661,23.465900
67,1.133356,11.306800,0.617400,32.703063,0.915784,24.138945,24.620803
68,1.150023,11.256400,0.635680,32.605755,0.912885,24.807366,25.414710
69,1.166690,11.406100,0.660360,32.568069,0.910734,26.105357,26.973333
70,1.183357,11.468400,0.648840,32.476017,0.908979,29.556524,31.861815
71,1.200024,11.412500,0.668080,32.386513,0.907377,29.625465,32.072294
72,1.216691,11.530000,0.645040,32.325567,0.905993,29.703417,32.252948
73,1.233358,11.653500,0.667640,32.271236,0.904816,29.823084,32.560738
74,1.250025,11.223100,0.637560,32.209233,0.903651,29.963283,32.860543
75,1.266692,11.225200,0.640640,32.141149,0.902737,29.990870,32.976617
76,1.283359,11.073600,0.685000,32.099499,0.901953,29.985502,33.073188
77,1.300026,11.357400,0.644440,32.054199,0.901311,29.980326,33.143109
78,1.316693,11.413700,0.674560,32.010655,0.900849,29.989815,33.266576
79,1.333360,11.492300,0.644640,31.998635,0.900356,30.055746,33.342078
80,1.350027,11.363700,0.691960,32.024525,0.900311,30.065509,33.443865
81,1.366694,11.355200,0.674200,31.989985,0.899833,30.115979,33.536203
82,1.383361,11.077500,0.670320,31.985497,0.899616,30.096633,33.580869
83,1.400028,11.616900,0.654120,31.963761,0.898979,30.085213,33.653073
84,1.416695,11.281800,0.648640,31.979337,0.899101,30.145959,33.793990
85,1.433362,11.364800,0.688760,31.966454,0.898696,30.198620,33.931228
86,1.450029,11.332300,0.642160,31.983017,0.898606,30.221931,34.009228
87,1.466696,11.112900,0.760040,32.026714,0.898844,30.274320,34.095348
88,1.483363,11.181600,0.645720,32.026878,0.898458,30.334900,34.196544
89,1.500030,11.788700,0.660880,32.039922,0.898427,30.414613,34.347688
90,1.516697,11.534600,0.641000,32.041727,0.898187,30.468603,34.463002
91,1.533364,11.255200,0.646800,32.066374,0.898104,30.548592,34.616470
92,1.550031,11.464000,0.650760,32.070496,0.897858,30.688872,34.787756
93,1.566698,11.580500,0.629320,32.047040,0.897729,30.746526,34.866697
94,1.583365,11.493000,0.644680,32.060781,0.897626,30.744966,34.932298
95,1.600032,11.357900,0.671320,32.082820,0.897616,30.809594,34.972291
96,1.616699,11.500700,0.672240,32.136116,0.897733,30.905244,35.135937
97,1.633366,11.403500,0.680840,32.107000,0.897566,30.945048,35.371275
98,1.650033,11.200100,0.646080,32.127985,0.897380,30.994339,35.687688
99,1.666700,12.248300,0.661480,32.193617,0.897358,31.115942,35.905321
100,1.683367,11.465000,0.650240,32.252091,0.897684,31.204794,36.002762
101,1.700034,11.835900,0.679240,32.186185,0.897127,31.266460,36.085756
102,1.716701,11.558800,0.670960,32.279562,0.898052,31.348047,36.168602
103,1.733368,11.800000,0.642040,32.287831,0.897928,31.415726,36.199979
104,1.750035,11.391200,0.663000,32.282441,0.897655,31.505088,36.265028
105,1.766702,11.562900,0.642160,32.242487,0.897201,31.528295,36.305176
106,1.783369,11.493700,0.653760,32.262562,0.897374,31.538388,36.350966
107,1.800036,11.878900,0.929560,32.250778,0.897167,31.537766,36.358231
108,1.816703,11.471100,0.660720,32.289215,0.897244,31.474155,36.381528
109,1.833370,12.287700,0.668720,32.303823,0.897410,31.527352,36.372757
110,1.850037,11.575300,0.646720,32.288762,0.897387,31.517833,36.340011
111,1.866704,11.898600,0.662480,32.279870,0.897355,31.440402,36.144658
112,1.883371,12.159100,0.653480,32.292883,0.897611,31.313078,35.828339
113,1.900038,11.828700,0.923080,32.285898,0.897443,31.278109,35.586463
