frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,2.001400,0.036256,27.599520,0.921925,24.298102,0.852706,0.997841
17,0.300006,1.717600,0.036160,27.564600,0.922390,24.282688,0.852994,0.997840
18,0.316673,1.657300,0.037024,27.560680,0.921913,24.294032,0.853749,0.997838
19,0.333340,1.744400,0.036896,27.554067,0.922468,24.335581,0.854447,0.997834
20,0.350007,1.668200,0.035392,27.559797,0.921463,24.290551,0.853833,0.997834
21,0.366674,1.431700,0.036000,27.601080,0.922097,24.418071,0.856177,0.997828
22,0.383341,2.254600,0.036608,27.676644,0.922541,24.470342,0.857006,0.997824
23,0.400008,1.777800,0.035680,27.711638,0.922555,24.647402,0.858412,0.997822
24,0.416675,1.439200,0.036480,27.856057,0.923160,24.717642,0.858854,0.997822
25,0.433342,1.449400,0.048160,27.879038,0.923304,24.652960,0.859096,0.997828
26,0.450009,1.653800,0.035744,27.887361,0.923481,24.598772,0.858313,0.997828
27,0.466676,1.558900,0.036864,27.883747,0.922702,24.702444,0.858896,0.997828
28,0.483343,1.610400,0.037536,27.867903,0.923528,24.721114,0.858847,0.997832
29,0.500010,1.748600,0.035936,27.823059,0.922769,24.706044,0.859013,0.997851
30,0.516677,2.060000,0.036768,28.076033,0.925084,24.831967,0.860985,0.997868
31,0.533344,1.537200,0.036896,28.045441,0.924446,24.749748,0.858517,0.997865
32,0.550011,1.502600,0.037024,27.918419,0.924172,24.695718,0.857989,0.997857
33,0.566678,1.902600,0.036384,27.736656,0.923950,24.615849,0.858540,0.997857
34,0.583345,1.769900,0.036160,27.747224,0.922971,24.588144,0.856313,0.997857
35,0.600012,1.730600,0.036352,27.742962,0.923107,24.609344,0.857602,0.997851
36,0.616679,1.801100,0.035584,27.890515,0.924434,24.633019,0.857217,0.997847
37,0.633346,1.597200,0.036544,28.000793,0.924994,24.606758,0.856588,0.997845
38,0.650013,1.801700,0.036192,28.026680,0.925130,24.629588,0.856444,0.997843
39,0.666680,1.906400,0.035904,28.073164,0.925215,24.623245,0.856209,0.997840
40,0.683347,1.984000,0.035712,28.087638,0.925578,24.595799,0.855516,0.997840
41,0.700014,1.722100,0.036192,28.089030,0.925769,24.596394,0.855328,0.997849
42,0.716681,1.423800,0.036320,27.995958,0.925059,24.530034,0.853852,0.997853
43,0.733348,1.531900,0.036224,27.814869,0.925035,24.476762,0.854103,0.997845
44,0.750015,1.521500,0.035520,27.816188,0.924825,24.469776,0.853171,0.997845
45,0.766682,1.393000,0.035712,27.846647,0.924874,24.440205,0.853344,0.997843
46,0.783349,1.771600,0.356384,27.805346,0.923993,24.363151,0.851355,0.997840
47,0.800016,1.545100,0.036512,27.728400,0.923049,24.353259,0.850864,0.997838
48,0.816683,1.412800,0.036416,27.766700,0.923500,24.326810,0.851044,0.997836
49,0.833350,1.943400,0.037248,27.793056,0.923507,24.333792,0.850610,0.997832
50,0.850017,1.630700,0.036160,27.720405,0.922895,24.272241,0.850122,0.997822
51,0.866684,1.404800,0.036544,27.752760,0.923062,24.288671,0.850849,0.997812
52,0.883351,1.737300,0.036512,27.745950,0.922613,24.351211,0.852290,0.997809
53,0.900018,1.455400,0.035872,27.703257,0.922653,24.383925,0.851827,0.997807
54,0.916685,1.657100,0.036256,27.632442,0.921984,24.362673,0.851526,0.997799
55,0.933352,1.657200,0.035616,27.636909,0.921896,24.302463,0.850998,0.997797
56,0.950019,1.411600,0.036224,27.693543,0.922324,24.348272,0.852202,0.997795
57,0.966686,1.530700,0.036224,27.677717,0.922672,24.220910,0.850112,0.997793
58,0.983353,1.534500,0.037280,27.709001,0.922907,24.275274,0.850759,0.997791
59,1.000020,1.498600,0.049664,27.681634,0.922978,24.274284,0.851392,0.997787
60,1.016687,1.653900,0.036096,27.741143,0.923094,24.293188,0.851047,0.997787
61,1.033354,1.865200,0.036096,27.729303,0.922653,24.286259,0.850750,0.997785
62,1.050021,1.685700,0.035616,27.786605,0.922595,24.349800,0.851494,0.997780
63,1.066688,1.920100,0.036384,27.877803,0.923891,24.323647,0.850981,0.997774
64,1.083355,1.454400,0.036608,27.871274,0.923389,24.356383,0.851068,0.997772
65,1.100022,2.098900,0.036224,27.906890,0.924290,24.396472,0.851853,0.997774
66,1.116689,1.614000,0.036448,27.687556,0.923496,24.351954,0.851560,0.997770
67,1.133356,1.662700,0.036352,27.510845,0.923288,24.277903,0.850729,0.997770
68,1.150023,1.845000,0.036320,27.540092,0.922576,24.350764,0.851271,0.997768
69,1.166690,1.446600,0.035328,27.546804,0.922180,24.365705,0.851995,0.997762
70,1.183357,1.766200,0.036480,27.578616,0.922934,24.524035,0.852746,0.997764
71,1.200024,2.106300,0.036320,27.582995,0.922796,24.570342,0.853315,0.997757
72,1.216691,1.431600,0.035744,27.707614,0.924383,24.693439,0.855590,0.997755
73,1.233358,1.661200,0.036288,27.780246,0.924541,24.585271,0.855246,0.997755
74,1.250025,1.560400,0.035552,27.775103,0.925063,24.594051,0.855182,0.997751
75,1.266692,2.080500,0.297632,27.772207,0.925084,24.573610,0.855641,0.997747
76,1.283359,2.116100,0.036544,27.767890,0.925122,24.574483,0.855550,0.997749
77,1.300026,1.472700,0.035808,28.068393,0.926764,24.690491,0.856988,0.997743
78,1.316693,1.436800,0.036768,28.123319,0.926931,24.684322,0.857088,0.997739
79,1.333360,1.616400,0.035744,28.107952,0.926686,24.668051,0.856321,0.997735
80,1.350027,1.455700,0.036256,27.826841,0.927037,24.523306,0.855871,0.997735
81,1.366694,1.991800,0.036320,27.775437,0.925613,24.545574,0.855794,0.997733
82,1.383361,2.046100,0.035488,27.767095,0.925633,24.529591,0.854951,0.997733
83,1.400028,2.191000,0.036096,27.807972,0.926018,24.561972,0.855550,0.997730
84,1.416695,1.419900,0.036192,27.792953,0.925536,24.581807,0.855307,0.997728
85,1.433362,1.418000,0.036448,27.829251,0.926320,24.596635,0.855965,0.997724
86,1.450029,1.566700,0.035680,27.807706,0.926103,24.615323,0.856830,0.997718
87,1.466696,1.815900,0.035456,27.856374,0.927115,24.649277,0.858096,0.997716
88,1.483363,1.668400,0.036128,27.797970,0.926028,24.630326,0.858111,0.997716
89,1.500030,1.676500,0.035584,27.879815,0.926785,24.740953,0.858327,0.997716
90,1.516697,1.410300,0.036320,27.902993,0.927240,24.831236,0.860471,0.997716
91,1.533364,1.961700,0.036864,27.950672,0.928035,24.803111,0.860000,0.997716
92,1.550031,5.382400,0.036576,27.934093,0.927453,24.816115,0.860213,0.997714
93,1.566698,2.113800,0.036448,27.939058,0.927667,24.806083,0.860271,0.997708
94,1.583365,2.371300,0.037408,27.934977,0.927625,24.775060,0.859410,0.997704
95,1.600032,2.636800,0.036480,27.944708,0.928126,24.813061,0.861112,0.997703
96,1.616699,2.556600,0.036704,27.947585,0.928068,24.800195,0.860829,0.997701
97,1.633366,2.342200,0.036992,27.989018,0.928420,24.855964,0.861657,0.997701
98,1.650033,2.621000,0.036992,28.100664,0.929624,24.825568,0.860686,0.997699
99,1.666700,2.662900,0.036640,28.131341,0.930145,24.838123,0.861140,0.997697
100,1.683367,2.175600,0.036608,28.056281,0.929161,24.787718,0.860020,0.997695
101,1.700034,2.149000,0.036544,28.082591,0.929551,24.819895,0.861287,0.997689
102,1.716701,1.600400,0.036480,28.122906,0.930168,24.971970,0.862852,0.997687
103,1.733368,2.060700,0.036672,28.133503,0.930240,24.993981,0.862510,0.997685
104,1.750035,2.267600,0.036256,28.356032,0.932505,25.010040,0.863320,0.997685
105,1.766702,2.191800,0.036480,28.420782,0.932403,24.945812,0.862458,0.997683
106,1.783369,2.234100,0.036448,28.461834,0.932778,24.978538,0.862427,0.997683
107,1.800036,1.777700,0.036832,28.469525,0.933070,24.951441,0.862137,0.997679
108,1.816703,1.539800,0.037024,28.465395,0.933026,24.948025,0.861935,0.997674
109,1.833370,2.131400,0.036096,28.487380,0.933209,24.905474,0.861098,0.997677
110,1.850037,1.855700,0.036736,28.666529,0.934230,24.912668,0.861051,0.997674
111,1.866704,1.447000,0.037248,28.562529,0.933863,24.892274,0.860860,0.997677
112,1.883371,1.546300,0.036928,28.206957,0.932818,24.757304,0.859552,0.997676
113,1.900038,1.879300,0.036320,27.989767,0.931504,24.660264,0.858585,0.997672
114,1.916705,2.199900,0.036896,28.017011,0.931328,24.651800,0.857482,0.997670
115,1.933372,1.825400,0.037376,28.049450,0.931218,24.694665,0.857655,0.997664
116,1.950039,1.820100,0.037184,28.069045,0.930736,24.699554,0.857891,0.997662
117,1.966706,1.621700,0.036768,28.129775,0.931445,24.680300,0.857541,0.997664
118,1.983373,2.120400,0.038144,28.058310,0.931268,24.675243,0.857705,0.997662
119,2.000040,2.141400,0.037344,28.043571,0.931478,24.656983,0.857621,0.997662
