frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.257700,0.316896
17,0.300006,0.229000,0.317984
18,0.316673,0.233800,0.318112
19,0.333340,0.298200,0.319648
20,0.350007,0.230100,0.320096
21,0.366674,0.240100,0.325696
22,0.383341,0.235500,0.326912
23,0.400008,0.211500,0.319840
24,0.416675,0.209300,0.611904
25,0.433342,0.207500,0.322176
26,0.450009,0.288100,0.321472
27,0.466676,0.253400,0.632416
28,0.483343,0.216800,0.325248
29,0.500010,0.115500,0.323776
30,0.516677,0.281000,0.601024
31,0.533344,0.241000,0.322560
32,0.550011,0.269100,0.497152
33,0.566678,0.258100,0.328096
34,0.583345,0.212900,0.326176
35,0.600012,0.236100,0.329728
36,0.616679,0.209900,0.330752
37,0.633346,0.329300,0.330912
38,0.650013,0.250200,0.331136
39,0.666680,0.240000,0.341312
40,0.683347,0.289300,0.343136
41,0.700014,0.233300,0.332576
42,0.716681,0.214900,0.333408
43,0.733348,0.210700,0.337856
44,0.750015,0.273700,0.341216
45,0.766682,0.238800,0.807264
46,0.783349,0.224200,0.346880
47,0.800016,0.277400,0.348128
48,0.816683,0.219400,0.346976
49,0.833350,0.233700,0.657792
50,0.850017,0.302700,0.348736
51,0.866684,0.284200,0.553888
52,0.883351,0.278600,0.355744
53,0.900018,0.239200,0.358976
54,0.916685,0.234000,0.348672
55,0.933352,0.234800,0.336704
56,0.950019,0.215000,0.518528
57,0.966686,0.224900,0.296416
58,0.983353,0.217100,0.289920
59,1.000020,0.126400,0.282176
60,1.016687,0.251600,0.280768
61,1.033354,0.238500,0.276960
62,1.050021,0.217100,0.452512
63,1.066688,0.214400,0.284448
64,1.083355,0.213500,0.280288
65,1.100022,0.227100,0.291680
66,1.116689,0.215700,0.299232
67,1.133356,0.333200,0.309568
68,1.150023,0.321600,0.317888
69,1.166690,0.237400,0.635840
70,1.183357,0.235500,0.321856
71,1.200024,0.221500,0.318976
72,1.216691,0.345200,0.636544
73,1.233358,0.298100,0.323200
74,1.250025,0.234800,0.319712
75,1.266692,0.237300,0.602816
76,1.283359,0.232800,0.325888
77,1.300026,0.225400,0.320064
78,1.316693,0.217500,0.634208
79,1.333360,0.256100,0.322592
80,1.350027,0.242700,0.322528
81,1.366694,0.267700,0.634880
82,1.383361,0.259900,0.323904
83,1.400028,0.260400,0.322720
84,1.416695,0.235600,0.633728
85,1.433362,0.344000,0.636960
86,1.450029,0.253800,0.325344
87,1.466696,0.233600,0.533600
88,1.483363,0.232900,0.325728
89,1.500030,0.120100,0.325472
90,1.516697,0.255800,0.326048
91,1.533364,0.281700,0.326080
92,1.550031,0.234400,0.326560
93,1.566698,0.269200,0.327328
94,1.583365,0.237900,0.321216
95,1.600032,0.219800,0.648352
96,1.616699,0.295400,0.321984
97,1.633366,0.241700,0.322336
98,1.650033,0.226900,0.602016
99,1.666700,0.262800,0.322816
100,1.683367,0.217100,0.321056
101,1.700034,0.253000,0.634688
102,1.716701,0.221400,0.324192
103,1.733368,0.219600,0.321632
104,1.750035,0.209100,0.629504
105,1.766702,0.214500,0.325120
106,1.783369,0.237900,0.325088
107,1.800036,0.237000,0.324128
108,1.816703,0.235700,0.324192
109,1.833370,0.245600,0.322624
110,1.850037,0.235500,0.321952
111,1.866704,0.123900,0.326400
112,1.883371,0.297100,0.329536
113,1.900038,0.341600,0.326112
114,1.916705,0.239500,0.328448
115,1.933372,0.299100,0.327392
116,1.950039,0.238000,0.327616
117,1.966706,0.245400,0.326336
118,1.983373,0.301500,0.325824
119,2.000040,0.156300,0.327072
