frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.196100,0.137408
17,0.300006,0.306100,0.138336
18,0.316673,0.242900,0.138016
19,0.333340,0.369100,0.140128
20,0.350007,0.273500,0.137696
21,0.366674,0.272100,0.141376
22,0.383341,0.354800,0.138944
23,0.400008,0.282700,0.138144
24,0.416675,0.251200,0.136960
25,0.433342,0.311400,0.137376
26,0.450009,0.335400,0.138176
27,0.466676,0.449900,0.137728
28,0.483343,0.343400,0.142368
29,0.500010,0.131400,0.137728
30,0.516677,0.282100,0.137600
31,0.533344,0.363500,0.138464
32,0.550011,0.305900,0.136992
33,0.566678,0.328300,0.136704
34,0.583345,0.251100,0.139200
35,0.600012,0.269700,0.139328
36,0.616679,0.362900,0.137216
37,0.633346,0.253700,0.137824
38,0.650013,0.338200,0.139488
39,0.666680,0.293800,0.138240
40,0.683347,0.380100,0.140960
41,0.700014,0.295800,0.139616
42,0.716681,0.259100,0.139584
43,0.733348,0.226300,0.140064
44,0.750015,0.307700,0.143040
45,0.766682,0.497500,0.140928
46,0.783349,0.306600,0.139552
47,0.800016,0.326300,0.143776
48,0.816683,0.296600,0.143776
49,0.833350,0.304400,0.143104
50,0.850017,0.260400,0.142656
51,0.866684,0.262100,0.142912
52,0.883351,0.277400,0.142016
53,0.900018,0.272800,0.144320
54,0.916685,0.303000,0.147680
55,0.933352,0.308700,0.137792
56,0.950019,0.289500,0.133632
57,0.966686,0.270800,0.127200
58,0.983353,0.252600,0.127008
59,1.000020,0.129700,0.126944
60,1.016687,0.342400,0.126400
61,1.033354,0.269700,0.127200
62,1.050021,0.368900,0.128480
63,1.066688,0.253100,0.127456
64,1.083355,0.290800,0.127488
65,1.100022,0.144700,0.130496
66,1.116689,0.250900,0.130336
67,1.133356,0.260000,0.136160
68,1.150023,0.227000,0.144832
69,1.166690,0.318400,0.140672
70,1.183357,0.314900,0.138752
71,1.200024,0.258400,0.137312
72,1.216691,0.253200,0.136352
73,1.233358,0.229600,0.136352
74,1.250025,0.262400,0.137408
75,1.266692,0.226500,0.137952
76,1.283359,0.224400,0.138784
77,1.300026,0.257500,0.135872
78,1.316693,0.241600,0.138944
79,1.333360,0.262400,0.138432
80,1.350027,0.269500,0.139072
81,1.366694,0.256400,0.141344
82,1.383361,0.231200,0.136192
83,1.400028,0.240100,0.137312
84,1.416695,0.231700,0.138848
85,1.433362,0.242900,0.136480
86,1.450029,0.386600,0.138656
87,1.466696,0.253300,0.138816
88,1.483363,0.319800,0.140064
89,1.500030,0.123300,0.138144
90,1.516697,0.275800,0.138336
91,1.533364,0.257800,0.139424
92,1.550031,0.267300,0.137472
93,1.566698,0.230300,0.138496
94,1.583365,0.242000,0.140896
95,1.600032,0.314200,0.138656
96,1.616699,0.290300,0.139808
97,1.633366,0.260800,0.138816
98,1.650033,0.223700,0.139584
99,1.666700,0.317700,0.135872
100,1.683367,0.260700,0.137568
101,1.700034,0.259900,0.139616
102,1.716701,0.250000,0.138784
103,1.733368,0.241900,0.137440
104,1.750035,0.224900,0.135680
105,1.766702,0.223200,0.136768
106,1.783369,0.224300,0.139232
107,1.800036,0.303800,0.136768
108,1.816703,0.236100,0.136032
109,1.833370,0.228300,0.136992
110,1.850037,0.277800,0.135296
111,1.866704,0.303500,0.135456
112,1.883371,0.256700,0.136992
113,1.900038,0.232500,0.135744
114,1.916705,0.233200,0.138592
115,1.933372,0.227000,0.136704
116,1.950039,0.233200,0.138624
117,1.966706,0.225600,0.137536
118,1.983373,0.223800,0.137536
119,2.000040,0.133900,0.138144
