frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.281900,0.187616
17,0.300006,0.244200,0.191040
18,0.316673,0.226700,0.189024
19,0.333340,0.243800,0.188064
20,0.350007,0.246000,0.190048
21,0.366674,0.223300,0.188352
22,0.383341,0.243200,0.188832
23,0.400008,0.229800,0.188960
24,0.416675,0.267900,0.188384
25,0.433342,0.247500,0.188736
26,0.450009,0.255200,0.190976
27,0.466676,0.271500,0.189536
28,0.483343,0.234300,0.189280
29,0.500010,0.139500,0.190336
30,0.516677,0.285500,0.190336
31,0.533344,0.252700,0.189312
32,0.550011,0.244800,0.191680
33,0.566678,0.281500,0.194464
34,0.583345,0.230200,0.192288
35,0.600012,0.331300,0.192224
36,0.616679,0.273800,0.190752
37,0.633346,0.253000,0.192224
38,0.650013,0.246800,0.189664
39,0.666680,0.249700,0.190304
40,0.683347,0.244200,0.193344
41,0.700014,0.271900,0.193408
42,0.716681,0.244600,0.194752
43,0.733348,0.252500,0.196288
44,0.750015,0.252800,0.196736
45,0.766682,0.263700,0.197376
46,0.783349,0.252800,0.196736
47,0.800016,0.256700,0.199808
48,0.816683,0.252700,0.198880
49,0.833350,0.239800,0.200480
50,0.850017,0.237300,0.203968
51,0.866684,0.263400,0.203104
52,0.883351,0.229900,0.205312
53,0.900018,0.225200,0.204384
54,0.916685,0.327100,0.200928
55,0.933352,0.255300,0.203296
56,0.950019,0.254200,0.185376
57,0.966686,0.262300,0.176384
58,0.983353,0.261500,0.169408
59,1.000020,0.129700,0.167680
60,1.016687,0.308400,0.171296
61,1.033354,0.257000,0.170240
62,1.050021,0.250400,0.171744
63,1.066688,0.242500,0.173568
64,1.083355,0.261600,0.171584
65,1.100022,0.239400,0.177184
66,1.116689,0.330800,0.178784
67,1.133356,0.247000,0.183968
68,1.150023,0.256600,0.188288
69,1.166690,0.227600,0.191840
70,1.183357,0.308900,0.188352
71,1.200024,0.251500,0.185536
72,1.216691,0.224600,0.187712
73,1.233358,0.274400,0.186528
74,1.250025,0.242600,0.188512
75,1.266692,0.228000,0.187264
76,1.283359,0.350300,0.189216
77,1.300026,0.252300,0.187840
78,1.316693,0.235000,0.188000
79,1.333360,0.226000,0.187680
80,1.350027,0.240300,0.188512
81,1.366694,0.239200,0.189120
82,1.383361,0.244100,0.189600
83,1.400028,0.285400,0.188064
84,1.416695,0.238200,0.188608
85,1.433362,0.223600,0.190240
86,1.450029,0.236300,0.189600
87,1.466696,0.257000,0.188960
88,1.483363,0.247800,0.188992
89,1.500030,0.158100,0.188736
90,1.516697,0.238500,0.187584
91,1.533364,0.250100,0.188608
92,1.550031,0.267700,0.187840
93,1.566698,0.274400,0.187872
94,1.583365,0.321000,0.188864
95,1.600032,0.286500,0.187840
96,1.616699,0.234100,0.186336
97,1.633366,0.241800,0.185760
98,1.650033,0.267700,0.187904
99,1.666700,0.267700,0.187776
100,1.683367,0.319100,0.186912
101,1.700034,0.250900,0.189760
102,1.716701,0.249200,0.188032
103,1.733368,0.319500,0.187520
104,1.750035,0.248600,0.189760
105,1.766702,0.244700,0.188064
106,1.783369,0.250600,0.188288
107,1.800036,0.255200,0.188320
108,1.816703,0.237900,0.188992
109,1.833370,0.392800,0.190016
110,1.850037,0.309300,0.188864
111,1.866704,0.308400,0.191456
112,1.883371,0.255400,0.189280
113,1.900038,0.244200,0.189952
114,1.916705,0.249500,0.191680
115,1.933372,0.257500,0.192512
116,1.950039,0.259500,0.191904
117,1.966706,0.415100,0.191328
118,1.983373,0.246500,0.189312
119,2.000040,0.123100,0.188320
