frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.248756,5.118880
17,0.300006,0.231264,5.055040
18,0.316673,0.221225,5.049600
19,0.333340,0.230953,5.070720
20,0.350007,0.243477,5.055040
21,0.366674,0.240771,5.107040
22,0.383341,0.226936,5.072800
23,0.400008,0.217428,5.119040
24,0.416675,0.240431,5.117120
25,0.433342,0.229159,5.114880
26,0.450009,0.209663,5.123200
27,0.466676,0.218460,5.144000
28,0.483343,0.221506,5.164160
29,0.500010,0.217238,5.151200
30,0.516677,0.239119,5.173440
31,0.533344,0.376746,5.208480
32,0.550011,0.345589,5.153280
33,0.566678,0.324849,5.231040
34,0.583345,0.301635,5.195840
35,0.600012,0.219411,5.267840
36,0.616679,0.207650,5.248320
37,0.633346,0.217558,5.258720
38,0.650013,0.228068,5.274080
39,0.666680,0.242996,5.301760
40,0.683347,0.201368,5.323520
41,0.700014,0.204384,5.339360
42,0.716681,0.206277,5.329440
43,0.733348,0.200877,5.412000
44,0.750015,0.229781,5.364640
45,0.766682,0.220494,5.461280
46,0.783349,0.213250,5.450080
47,0.800016,0.212849,7.038400
48,0.816683,0.222507,5.491520
49,0.833350,0.223889,5.507520
50,0.850017,0.219301,5.548160
51,0.866684,0.200526,5.631040
52,0.883351,0.214562,5.603840
53,0.900018,0.200506,5.624960
54,0.916685,0.219071,5.521920
55,0.933352,0.225062,5.290240
56,0.950019,0.204133,4.828000
57,0.966686,0.232115,4.451520
58,0.983353,0.208782,4.194560
59,1.000020,0.248596,4.066400
60,1.016687,0.249498,4.044000
61,1.033354,0.380012,4.039360
62,1.050021,0.334107,4.024480
63,1.066688,0.400812,4.078080
64,1.083355,0.495499,4.029120
65,1.100022,0.284814,4.205280
66,1.116689,0.256681,4.286080
67,1.133356,0.214162,5.981120
68,1.150023,0.228408,4.487040
69,1.166690,0.222227,4.587680
70,1.183357,0.216426,4.542400
71,1.200024,0.207580,4.491520
72,1.216691,0.232967,4.440480
73,1.233358,0.220684,4.472640
74,1.250025,0.210776,4.455520
75,1.266692,0.221365,4.483520
76,1.283359,0.218069,4.484160
77,1.300026,0.210806,4.504160
78,1.316693,0.237655,4.430880
79,1.333360,0.209904,4.465120
80,1.350027,0.211577,4.440000
81,1.366694,0.206818,4.475840
82,1.383361,0.207880,4.484480
83,1.400028,0.226935,4.489920
84,1.416695,0.211637,4.436960
85,1.433362,0.209443,4.494400
86,1.450029,0.211417,4.458400
87,1.466696,0.240030,6.014240
88,1.483363,0.216596,4.469920
89,1.500030,0.278022,4.492160
90,1.516697,0.286568,4.491520
91,1.533364,0.299111,4.485120
92,1.550031,0.316764,4.485120
93,1.566698,0.353253,4.484480
94,1.583365,0.316043,4.501280
95,1.600032,0.338666,4.499680
96,1.616699,0.278382,4.505120
97,1.633366,0.278903,4.512160
98,1.650033,0.227657,4.527520
99,1.666700,0.286928,4.488640
100,1.683367,0.217769,4.507840
101,1.700034,0.277270,4.497120
102,1.716701,0.219091,4.521600
103,1.733368,0.284123,4.524000
104,1.750035,0.267792,4.531840
105,1.766702,0.256631,4.525440
106,1.783369,0.235221,4.553920
107,1.800036,0.264266,4.588160
108,1.816703,0.235111,4.573120
109,1.833370,0.238858,4.568640
110,1.850037,0.226294,4.579040
111,1.866704,0.266059,4.600800
112,1.883371,0.222357,4.578880
113,1.900038,0.273703,4.567680
114,1.916705,0.222227,4.589120
115,1.933372,0.263044,4.603200
116,1.950039,0.232406,4.600640
117,1.966706,0.237766,4.592320
118,1.983373,0.361668,4.617920
119,2.000040,0.223369,4.630080
