frame,time_s,cpu_ms,gpu_ms
16,0.283339,0.258565,1.610880
17,0.300006,0.308018,1.612480
18,0.316673,0.334617,1.627680
19,0.333340,0.290404,1.626240
20,0.350007,0.314700,1.624000
21,0.366674,0.270638,1.635520
22,0.383341,0.275998,1.607040
23,0.400008,0.280566,1.640320
24,0.416675,0.322776,1.641280
25,0.433342,0.243146,1.641920
26,0.450009,0.272601,1.635680
27,0.466676,0.297849,1.630560
28,0.483343,0.256110,1.644000
29,0.500010,0.274915,1.659840
30,0.516677,0.266280,1.652960
31,0.533344,0.357581,1.668960
32,0.550011,0.362550,1.723680
33,0.566678,0.307146,1.659200
34,0.583345,0.345788,1.674240
35,0.600012,0.308238,1.668640
36,0.616679,0.253285,1.664160
37,0.633346,0.334076,1.777280
38,0.650013,0.386294,1.688160
39,0.666680,0.357110,1.689600
40,0.683347,0.357220,1.684960
41,0.700014,0.377298,1.676320
42,0.716681,0.241764,1.696800
43,0.733348,0.231254,1.710720
44,0.750015,0.232786,1.707040
45,0.766682,0.229501,1.717760
46,0.783349,0.247014,1.693920
47,0.800016,0.239259,3.345440
48,0.816683,0.228599,1.727360
49,0.833350,0.237175,1.736480
50,0.850017,0.225192,1.745280
51,0.866684,0.253476,1.727200
52,0.883351,0.210335,1.765280
53,0.900018,0.210746,1.775360
54,0.916685,0.229019,1.740640
55,0.933352,0.206307,1.672800
56,0.950019,0.215795,1.519200
57,0.966686,0.216916,3.026400
58,0.983353,0.209954,1.372000
59,1.000020,0.215824,1.344000
60,1.016687,0.247144,1.344160
61,1.033354,0.367650,1.337760
62,1.050021,0.293140,1.366720
63,1.066688,0.325731,1.342560
64,1.083355,0.267341,1.350880
65,1.100022,0.239880,1.382720
66,1.116689,0.238488,1.405440
67,1.133356,0.245500,1.439520
68,1.150023,0.328647,1.443040
69,1.166690,0.265047,1.495200
70,1.183357,0.380003,1.484960
71,1.200024,0.322865,1.471520
72,1.216691,0.247324,1.462240
73,1.233358,0.219782,1.462240
74,1.250025,0.201047,1.454720
75,1.266692,0.197650,1.478560
76,1.283359,0.197721,1.485440
77,1.300026,0.201508,1.487520
78,1.316693,0.208691,1.474560
79,1.333360,0.208932,1.456640
80,1.350027,0.199294,1.475680
81,1.366694,0.212769,1.490560
82,1.383361,0.203872,1.481120
83,1.400028,0.213621,1.482560
84,1.416695,0.197811,1.480640
85,1.433362,0.202209,1.463680
86,1.450029,0.200907,1.484800
87,1.466696,0.207018,1.498240
88,1.483363,0.209523,1.484000
89,1.500030,0.207109,1.481440
90,1.516697,0.202660,1.475360
91,1.533364,0.211367,1.467840
92,1.550031,0.337543,1.483200
93,1.566698,0.300023,1.483200
94,1.583365,0.279775,1.488800
95,1.600032,0.281598,1.488320
96,1.616699,0.318677,1.463520
97,1.633366,0.257624,1.490880
98,1.650033,0.297758,1.490240
99,1.666700,0.229290,1.493120
100,1.683367,0.237094,1.484000
101,1.700034,0.252784,1.488960
102,1.716701,0.293471,1.467680
103,1.733368,0.297308,1.489440
104,1.750035,0.215694,1.501280
105,1.766702,0.212668,1.496480
106,1.783369,0.215504,1.496960
107,1.800036,0.216927,1.499680
108,1.816703,0.224290,1.497120
109,1.833370,0.225072,1.514240
110,1.850037,0.210815,1.508640
111,1.866704,0.218369,1.509920
112,1.883371,0.218530,1.507360
113,1.900038,0.264395,1.488800
114,1.916705,0.211847,1.509600
115,1.933372,0.211657,1.523200
116,1.950039,0.226084,1.511680
117,1.966706,0.230272,1.538560
118,1.983373,0.215514,1.512000
119,2.000040,0.201047,1.506880
