frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,20.618783,6.703840,38.975169,0.972719,27.535441,0.669165
17,0.300006,19.256448,6.686720,39.040101,0.972303,27.561947,0.670971
18,0.316673,19.530291,6.684480,38.948903,0.971909,27.554149,0.670462
19,0.333340,19.822389,6.734400,39.126201,0.973252,27.497867,0.667569
20,0.350007,19.564195,6.718400,39.351275,0.974214,27.440470,0.665508
21,0.366674,19.193940,6.729760,39.210742,0.974090,27.430105,0.664404
22,0.383341,20.578898,6.756800,39.035988,0.972540,27.436017,0.665465
23,0.400008,19.297814,6.713760,39.252238,0.973675,27.388494,0.663192
24,0.416675,19.647701,6.712480,39.514589,0.975181,27.299926,0.657374
25,0.433342,19.611844,6.750400,39.451280,0.974481,27.313266,0.658556
26,0.450009,19.214068,6.731520,39.355888,0.974316,27.314972,0.658807
27,0.466676,21.595905,6.760160,39.300564,0.974917,27.259094,0.658310
28,0.483343,20.946046,6.745920,39.521359,0.976176,27.214421,0.658870
29,0.500010,20.547860,6.740480,39.427211,0.975932,27.207626,0.659372
30,0.516677,19.617915,6.775840,39.257136,0.974487,27.261596,0.662187
31,0.533344,19.474146,6.735680,39.474473,0.975863,27.284492,0.662632
32,0.550011,19.549387,6.753920,39.648094,0.976979,27.272597,0.660778
33,0.566678,19.909442,6.752800,39.484434,0.976653,27.337652,0.665733
34,0.583345,19.631070,6.753920,39.448547,0.976225,27.419964,0.669690
35,0.600012,19.612375,6.765440,39.668883,0.977202,27.491426,0.674381
36,0.616679,29.900311,6.769760,39.814853,0.977985,27.567486,0.678368
37,0.633346,21.185526,6.774720,39.620555,0.977226,27.659181,0.682018
38,0.650013,20.538602,6.752000,39.466715,0.975882,27.774724,0.689065
39,0.666680,25.738135,6.794080,39.503608,0.976458,27.830012,0.694700
40,0.683347,20.942009,6.762240,39.815204,0.977567,27.854400,0.696735
41,0.700014,19.818341,6.837440,39.619387,0.977023,27.955542,0.705948
42,0.716681,19.693637,6.784800,39.444595,0.976161,28.052445,0.713997
43,0.733348,20.316486,6.821440,39.546835,0.976889,28.094813,0.719814
44,0.750015,23.806451,6.814720,39.527269,0.977442,28.052412,0.723648
45,0.766682,23.864170,6.847360,39.360404,0.976749,28.023287,0.728035
46,0.783349,24.353257,6.853760,39.097265,0.975905,28.044363,0.736970
47,0.800016,22.274468,6.850080,39.194300,0.977279,28.068529,0.746688
48,0.816683,23.601256,6.856800,39.147631,0.977718,28.120620,0.754487
49,0.833350,20.285798,6.892320,39.190551,0.977677,28.227301,0.767545
50,0.850017,23.124322,6.851360,38.856228,0.977357,28.366500,0.778602
51,0.866684,24.598287,6.917760,38.350920,0.977408,28.372981,0.791248
52,0.883351,21.215491,6.897280,37.846398,0.977222,28.378835,0.806848
53,0.900018,25.075231,6.895360,35.058073,0.971627,27.403232,0.819097
54,0.916685,19.651718,6.832320,32.403595,0.950882,24.159533,0.811973
55,0.933352,23.000660,6.831840,31.491843,0.948938,23.465847,0.812784
56,0.950019,20.380836,6.676960,29.971639,0.936304,22.592272,0.799352
57,0.966686,28.567862,6.589760,27.876503,0.940930,22.086041,0.800430
58,0.983353,28.200413,6.435520,30.343180,0.958237,21.414252,0.795013
59,1.000020,24.703224,6.415040,29.661166,0.963299,21.618316,0.804126
60,1.016687,22.492768,6.436640,33.009884,0.970782,22.217191,0.820239
61,1.033354,21.021838,6.463360,29.583609,0.956601,22.720905,0.830860
62,1.050021,19.601775,6.478560,31.657307,0.954883,24.038025,0.827458
63,1.066688,21.708606,6.461760,31.068764,0.935322,24.384813,0.809520
64,1.083355,19.825865,6.485760,28.654613,0.918979,23.998173,0.785309
65,1.100022,20.016553,6.504960,29.542974,0.931823,24.515550,0.756361
66,1.116689,24.020774,6.513760,32.226750,0.949058,24.180512,0.713601
67,1.133356,20.069943,6.513920,33.065072,0.954306,23.854001,0.673420
68,1.150023,23.756197,6.516000,33.900517,0.956589,23.897403,0.640366
69,1.166690,22.360759,6.565120,31.446372,0.954396,24.078802,0.618776
70,1.183357,21.548296,6.539680,35.286377,0.958020,24.660814,0.613812
71,1.200024,19.226401,11.129440,35.767674,0.959485,24.622396,0.610097
72,1.216691,22.468181,6.518560,36.054027,0.962392,24.549488,0.606293
73,1.233358,19.879887,6.545920,35.962515,0.959631,24.562081,0.606426
74,1.250025,25.544462,6.531840,35.828768,0.958356,24.567292,0.607687
75,1.266692,19.332800,6.524480,35.987487,0.959664,24.502600,0.607502
76,1.283359,18.604685,6.566080,36.063106,0.959865,24.393349,0.601691
77,1.300026,19.018751,6.532800,36.011040,0.959772,24.344480,0.602193
78,1.316693,18.436419,6.545280,35.608292,0.955744,24.375491,0.604169
79,1.333360,18.889178,6.519200,35.671537,0.957114,24.402976,0.604318
80,1.350027,18.683523,6.549920,36.054728,0.960609,24.457721,0.605614
81,1.366694,18.222689,6.547840,36.026859,0.958470,24.610458,0.610855
82,1.383361,20.776429,6.560480,35.906085,0.957198,24.730361,0.615178
83,1.400028,19.233634,6.543840,36.107145,0.959079,24.811885,0.616948
84,1.416695,19.364320,6.548800,36.203539,0.959362,24.848500,0.615142
85,1.433362,18.863190,6.529440,36.147620,0.959217,24.942153,0.619303
86,1.450029,19.288417,6.574240,35.874864,0.955434,25.091124,0.624937
87,1.466696,18.955152,6.563200,36.000497,0.956661,25.155743,0.626685
88,1.483363,18.766698,6.565760,36.190437,0.958657,25.206710,0.627626
89,1.500030,18.777238,6.560320,36.125002,0.956756,25.353781,0.632394
90,1.516697,20.466387,6.571200,36.076178,0.955825,25.489847,0.636425
91,1.533364,18.321594,6.567680,36.279906,0.957789,25.570171,0.638138
92,1.550031,18.880753,6.568320,36.447623,0.958935,25.623563,0.637004
93,1.566698,19.022058,6.539520,36.376657,0.959230,25.723780,0.640696
94,1.583365,19.053917,6.567040,36.083311,0.955299,25.870657,0.645607
95,1.600032,18.928101,6.563520,36.245957,0.956565,25.927836,0.646406
96,1.616699,19.806800,6.568000,36.461441,0.959535,25.944955,0.645797
97,1.633366,18.096832,6.557280,36.311307,0.956805,26.066817,0.649399
98,1.650033,19.530862,6.576160,36.268536,0.956089,26.189698,0.652002
99,1.666700,18.351841,6.573440,36.445365,0.957029,26.309043,0.654361
100,1.683367,18.825489,6.549440,36.600598,0.957559,26.372937,0.653779
101,1.700034,19.312562,6.555680,36.540606,0.957763,26.484839,0.657606
102,1.716701,18.626516,6.601280,36.285310,0.954479,26.618029,0.661839
103,1.733368,20.484691,6.583200,36.439071,0.955804,26.668734,0.661747
104,1.750035,19.062834,6.549760,36.642132,0.959009,26.685657,0.660852
105,1.766702,18.753504,6.569120,36.574138,0.956683,26.825813,0.664752
106,1.783369,19.254394,6.563200,36.428012,0.955693,26.937479,0.667908
107,1.800036,17.976106,6.568960,36.595480,0.957429,26.995964,0.669027
