frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.632000,0.865472,35.382437,0.930187,27.614392,0.678684
17,0.300006,5.545500,1.033984,35.547679,0.932368,27.586172,0.676141
18,0.316673,5.645600,0.861248,35.637885,0.933861,27.547599,0.674458
19,0.333340,5.416100,0.864192,35.709044,0.935493,27.518740,0.672380
20,0.350007,5.539500,0.862464,35.718516,0.934760,27.476094,0.670476
21,0.366674,5.553700,0.862784,35.733035,0.934646,27.443225,0.668816
22,0.383341,5.637000,0.863296,35.741699,0.935882,27.400160,0.667495
23,0.400008,5.601500,0.862176,35.768406,0.936253,27.371894,0.665662
24,0.416675,5.624000,0.905120,35.762094,0.936531,27.324887,0.662285
25,0.433342,6.451800,0.866048,35.755841,0.935924,27.287485,0.659436
26,0.450009,5.687900,1.028192,35.825122,0.937377,27.254013,0.658460
27,0.466676,6.336600,1.247456,35.830887,0.939187,27.212809,0.659078
28,0.483343,5.551700,1.202112,35.851615,0.940000,27.197174,0.660286
29,0.500010,6.126100,1.053792,35.923646,0.940117,27.186130,0.660607
30,0.516677,6.122500,0.862848,35.925945,0.940187,27.204517,0.661605
31,0.533344,5.641600,1.390240,35.959470,0.941321,27.244225,0.662553
32,0.550011,5.911100,1.215328,35.965723,0.942192,27.278381,0.664329
33,0.566678,6.081000,0.864896,36.083151,0.944077,27.314273,0.665755
34,0.583345,5.348100,0.994848,36.181693,0.944477,27.366641,0.668505
35,0.600012,5.573200,0.869472,36.229052,0.944744,27.459511,0.674347
36,0.616679,5.520600,0.873888,36.259634,0.945581,27.557771,0.678878
37,0.633346,5.327800,1.038304,36.276854,0.945462,27.640099,0.682012
38,0.650013,5.579000,1.045440,36.268022,0.945199,27.711616,0.687081
39,0.666680,5.638800,0.861888,36.229294,0.944945,27.782026,0.693166
40,0.683347,5.733700,1.036608,36.325384,0.946161,27.869098,0.698416
41,0.700014,5.550800,0.865600,36.428165,0.947873,27.937942,0.704758
42,0.716681,5.644700,0.867648,36.456404,0.948318,28.004243,0.711891
43,0.733348,5.673000,0.867616,36.369739,0.947641,28.072603,0.718477
44,0.750015,6.071000,0.870272,36.333238,0.948204,28.066435,0.723361
45,0.766682,5.214200,0.864864,36.374857,0.949393,28.013568,0.727634
46,0.783349,5.636400,1.058784,36.290242,0.950319,27.985364,0.734715
47,0.800016,5.814600,0.873024,36.223214,0.950046,28.042753,0.744948
48,0.816683,5.450800,0.873344,36.236545,0.951612,28.145984,0.755961
49,0.833350,5.609800,0.863968,36.271737,0.951786,28.221022,0.765570
50,0.850017,5.359700,0.858976,36.142164,0.952693,28.310060,0.776155
51,0.866684,5.459700,0.861280,35.712151,0.951815,28.349933,0.789921
52,0.883351,5.452200,0.872480,35.557774,0.951821,28.383250,0.806619
53,0.900018,5.343200,0.862528,33.738882,0.949752,27.407115,0.819004
54,0.916685,5.419900,0.852928,31.876799,0.932172,24.143248,0.810251
55,0.933352,5.459000,0.846656,31.288290,0.928249,23.463584,0.811960
